
Segment Center Intensity Max Ch=2 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
117,,Segment,2,14,Image 1,7,1,100000001,510000000060,
3,,Segment,2,13,Image 1,6,1,100000001,510000000065,
2,,Segment,2,12,Image 1,5,1,100000001,510000000069,
2,,Segment,2,11,Image 1,5,1,100000001,510000000074,
7,,Segment,2,10,Image 1,5,1,100000001,510000000076,
4,,Segment,2,9,Image 1,5,1,100000001,510000000078,
11,,Segment,2,8,Image 1,5,1,100000001,510000000086,
6,,Segment,2,7,Image 1,4,1,100000001,510000000093,
25,,Segment,2,6,Image 1,4,1,100000001,510000000129,
2,,Segment,2,4,Image 1,3,1,100000001,510000000139,
2,,Segment,2,3,Image 1,3,1,100000001,510000000148,
6,,Segment,2,2,Image 1,2,1,100000001,510000000168,
3,,Segment,2,1,Image 1,2,1,100000001,510000000184,
3,,Segment,2,0,Image 1,1,1,100000001,510000000228,
13,,Segment,2,14,Image 1,6,1,100000002,510000000278,
6,,Segment,2,13,Image 1,6,1,100000002,510000000298,
2,,Segment,2,12,Image 1,6,1,100000002,510000000319,
1,,Segment,2,11,Image 1,5,1,100000002,510000000321,
5,,Segment,2,10,Image 1,5,1,100000002,510000000356,
3,,Segment,2,9,Image 1,5,1,100000002,510000000395,
2,,Segment,2,7,Image 1,4,1,100000002,510000000400,
2,,Segment,2,6,Image 1,4,1,100000002,510000000402,
3,,Segment,2,5,Image 1,3,1,100000002,510000000421,
6,,Segment,2,4,Image 1,3,1,100000002,510000000438,
6,,Segment,2,3,Image 1,3,1,100000002,510000000443,
3,,Segment,2,2,Image 1,2,1,100000002,510000000496,
2,,Segment,2,1,Image 1,2,1,100000002,510000000517,
2,,Segment,2,0,Image 1,1,1,100000002,510000000546,
3,,Segment,2,14,Image 1,7,1,100000002,510000000558,
3,,Segment,2,13,Image 1,7,1,100000002,510000000563,
2,,Segment,2,12,Image 1,5,1,100000002,510000000575,
22,,Segment,2,12,Image 1,7,1,100000002,510000000617,
5,,Segment,2,11,Image 1,6,1,100000002,510000000653,
2,,Segment,2,12,Image 1,6,1,100000002,510000000658,
2,,Segment,2,11,Image 1,6,1,100000002,510000000676,
3,,Segment,2,10,Image 1,6,1,100000002,510000000695,
9,,Segment,2,11,Image 1,7,1,100000002,510000000709,
3,,Segment,2,4,Image 1,4,1,100000002,510000000728,
2,,Segment,2,3,Image 1,3,1,100000002,510000000734,
109,,Segment,2,2,Image 1,3,1,100000002,510000000757,
30,,Segment,2,8,Image 1,4,1,100000003,510000000804,
7,,Segment,2,7,Image 1,3,1,100000003,510000000811,
6,,Segment,2,6,Image 1,3,1,100000003,510000000820,
11,,Segment,2,5,Image 1,3,1,100000003,510000000828,
63,,Segment,2,4,Image 1,2,1,100000003,510000000840,
63,,Segment,2,3,Image 1,2,1,100000003,510000000842,
22,,Segment,2,2,Image 1,2,1,100000003,510000000860,
6,,Segment,2,0,Image 1,1,1,100000003,510000000877,
6,,Segment,2,3,Image 1,4,1,100000002,510000000888,
4,,Segment,2,15,Image 1,6,1,100000002,510000000936,
2,,Segment,2,14,Image 1,6,1,100000002,510000000947,
2,,Segment,2,13,Image 1,6,1,100000002,510000000950,
2,,Segment,2,12,Image 1,6,1,100000002,510000000960,
2,,Segment,2,11,Image 1,6,1,100000002,510000000967,
1,,Segment,2,10,Image 1,5,1,100000002,510000000971,
2,,Segment,2,9,Image 1,5,1,100000002,510000000976,
3,,Segment,2,8,Image 1,5,1,100000002,510000000981,
2,,Segment,2,15,Image 1,7,1,100000002,510000000992,
3,,Segment,2,9,Image 1,4,1,100000002,510000001014,
4,,Segment,2,15,Image 1,7,1,100000002,510000001045,
1,,Segment,2,14,Image 1,7,1,100000002,510000001052,
1,,Segment,2,15,Image 1,8,1,100000002,510000001054,
2,,Segment,2,12,Image 1,7,1,100000002,510000001071,
4,,Segment,2,13,Image 1,7,1,100000002,510000001076,
2,,Segment,2,11,Image 1,5,1,100000002,510000001087,
2,,Segment,2,9,Image 1,6,1,100000002,510000001096,
1,,Segment,2,11,Image 1,6,1,100000002,510000001099,
3,,Segment,2,9,Image 1,5,1,100000002,510000001112,
1,,Segment,2,7,Image 1,5,1,100000002,510000001118,
2,,Segment,2,5,Image 1,4,1,100000002,510000001123,
7,,Segment,2,3,Image 1,2,1,100000002,510000001136,
38,,Segment,2,4,Image 1,4,1,100000002,510000001148,
3,,Segment,2,7,Image 1,3,1,100000003,510000001196,
5,,Segment,2,6,Image 1,2,1,100000003,510000001212,
3,,Segment,2,5,Image 1,1,1,100000003,510000001236,
1,,Segment,2,4,Image 1,1,1,100000003,510000001242,
1,,Segment,2,3,Image 1,1,1,100000003,510000001246,
2,,Segment,2,2,Image 1,1,1,100000003,510000001251,
2,,Segment,2,1,Image 1,1,1,100000003,510000001279,
1,,Segment,2,0,Image 1,1,1,100000003,510000001301,
10,,Segment,2,9,Image 1,7,1,100000003,510000001337,
7,,Segment,2,8,Image 1,6,1,100000003,510000001365,
3,,Segment,2,7,Image 1,6,1,100000003,510000001387,
1,,Segment,2,6,Image 1,5,1,100000003,510000001389,
34,,Segment,2,5,Image 1,5,1,100000003,510000001397,
2,,Segment,2,4,Image 1,5,1,100000003,510000001399,
2,,Segment,2,3,Image 1,4,1,100000003,510000001410,
8,,Segment,2,2,Image 1,3,1,100000003,510000001457,
2,,Segment,2,1,Image 1,2,1,100000003,510000001470,
12,,Segment,2,0,Image 1,1,1,100000003,510000001520,
5,,Segment,2,12,Image 1,9,1,100000001,510000001532,
2,,Segment,2,11,Image 1,8,1,100000001,510000001536,
2,,Segment,2,10,Image 1,7,1,100000001,510000001553,
37,,Segment,2,9,Image 1,6,1,100000001,510000001568,
7,,Segment,2,8,Image 1,5,1,100000001,510000001595,
2,,Segment,2,7,Image 1,4,1,100000001,510000001598,
3,,Segment,2,6,Image 1,3,1,100000001,510000001611,
1,,Segment,2,5,Image 1,2,1,100000001,510000001613,
8,,Segment,2,3,Image 1,2,1,100000001,510000001637,
30,,Segment,2,2,Image 1,2,1,100000001,510000001656,
3,,Segment,2,1,Image 1,2,1,100000001,510000001661,
1,,Segment,2,0,Image 1,1,1,100000001,510000001665,
2,,Segment,2,11,Image 1,8,1,100000001,510000001676,
1,,Segment,2,11,Image 1,7,1,100000001,510000001678,
8,,Segment,2,4,Image 1,4,1,100000000,510000001735,
2,,Segment,2,3,Image 1,3,1,100000000,510000001750,
1,,Segment,2,2,Image 1,2,1,100000000,510000001756,
3,,Segment,2,1,Image 1,2,1,100000000,510000001758,
7,,Segment,2,0,Image 1,1,1,100000000,510000001781,
28,,Segment,2,8,Image 1,3,1,100000001,510000001833,
3,,Segment,2,6,Image 1,2,1,100000001,510000001838,
8,,Segment,2,9,Image 1,6,1,100000003,510000001858,
4,,Segment,2,3,Image 1,3,1,100000002,510000001878,
7,,Segment,2,2,Image 1,2,1,100000002,510000001892,
3,,Segment,2,1,Image 1,1,1,100000002,510000001897,
4,,Segment,2,0,Image 1,1,1,100000002,510000001910,
31,,Segment,2,7,Image 1,4,1,100000003,510000001951,
34,,Segment,2,12,Image 1,7,1,100000002,510000002012,
4,,Segment,2,11,Image 1,6,1,100000002,510000002016,
1,,Segment,2,10,Image 1,5,1,100000002,510000002022,
2,,Segment,2,9,Image 1,4,1,100000002,510000002038,
