
Spine Center Intensity Max Ch=6 Img=1
 ==================== 
Spine Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
10,,Spine,6,8,Image 1,3,1,100000001,610000008355,
15,,Spine,6,7,Image 1,4,1,100000003,610000008367,
3,,Spine,6,7,Image 1,3,1,100000003,610000008384,
4,,Spine,6,3,Image 1,2,1,100000000,610000008395,
4,,Spine,6,7,Image 1,3,1,100000003,610000008409,
2,,Spine,6,8,Image 1,4,1,100000003,610000008418,
2,,Spine,6,16,Image 1,7,1,100000001,610000008425,
3,,Spine,6,12,Image 1,7,1,100000002,610000008434,
2,,Spine,6,12,Image 1,7,1,100000002,610000008448,
3,,Spine,6,1,Image 1,1,1,100000002,610000008458,
5,,Spine,6,4,Image 1,4,1,100000003,610000008464,
2,,Spine,6,12,Image 1,7,1,100000002,610000008469,
4,,Spine,6,4,Image 1,4,1,100000003,610000008474,
2,,Spine,6,7,Image 1,3,1,100000003,610000008482,
1,,Spine,6,14,Image 1,6,1,100000001,610000008486,
4,,Spine,6,4,Image 1,4,1,100000003,610000008490,
2,,Spine,6,9,Image 1,5,1,100000002,610000008494,
1,,Spine,6,0,Image 1,1,1,100000001,610000008502,
3,,Spine,6,5,Image 1,4,1,100000000,610000008507,
9,,Spine,6,15,Image 1,5,1,100000001,610000008512,
2,,Spine,6,7,Image 1,3,1,100000003,610000008518,
6,,Spine,6,4,Image 1,1,1,100000001,610000008522,
3,,Spine,6,1,Image 1,1,1,100000002,610000008529,
3,,Spine,6,4,Image 1,3,1,100000002,610000008533,
2,,Spine,6,12,Image 1,7,1,100000002,610000008537,
2,,Spine,6,14,Image 1,5,1,100000001,610000008541,
2,,Spine,6,12,Image 1,7,1,100000002,610000008552,
1,,Spine,6,7,Image 1,6,1,100000000,610000008555,
2,,Spine,6,12,Image 1,7,1,100000002,610000008562,
1,,Spine,6,0,Image 1,1,1,100000003,610000008567,
2,,Spine,6,2,Image 1,2,1,100000001,610000008570,
8,,Spine,6,1,Image 1,2,1,100000001,610000008573,
1,,Spine,6,0,Image 1,1,1,100000001,610000008575,
6,,Spine,6,6,Image 1,3,1,100000003,610000008577,
3,,Spine,6,4,Image 1,3,1,100000002,610000008580,
17,,Spine,6,6,Image 1,3,1,100000002,610000008583,
2,,Spine,6,12,Image 1,6,1,100000002,610000008586,
2,,Spine,6,6,Image 1,2,1,100000001,610000008588,
3,,Spine,6,1,Image 1,1,1,100000003,610000008593,
2,,Spine,6,5,Image 1,2,1,100000003,610000008596,
0,,Spine,6,3,Image 1,2,1,100000002,610000008598,
3,,Spine,6,16,Image 1,7,1,100000001,610000008600,
4,,Spine,6,5,Image 1,1,1,100000001,610000008603,
