
Spine Part Length Head
 ==================== 
Spine Part Length Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1.34967,µm,Spine,Spine Part Length,8,3,1,100000001,610000008355,
1.03631,µm,Spine,Spine Part Length,7,4,1,100000003,610000008367,
1.57501,µm,Spine,Spine Part Length,7,3,1,100000003,610000008384,
1.22907,µm,Spine,Spine Part Length,5,4,1,100000000,610000008395,
1.51291,µm,Spine,Spine Part Length,7,3,1,100000003,610000008409,
0.724174,µm,Spine,Spine Part Length,8,4,1,100000003,610000008418,
0.882449,µm,Spine,Spine Part Length,16,7,1,100000001,610000008425,
1.20247,µm,Spine,Spine Part Length,12,7,1,100000002,610000008434,
1.06449,µm,Spine,Spine Part Length,12,7,1,100000002,610000008448,
1.2776,µm,Spine,Spine Part Length,1,1,1,100000002,610000008458,
0.763181,µm,Spine,Spine Part Length,4,4,1,100000003,610000008464,
0.576843,µm,Spine,Spine Part Length,12,7,1,100000002,610000008469,
1.0238,µm,Spine,Spine Part Length,4,4,1,100000003,610000008474,
0.804253,µm,Spine,Spine Part Length,7,3,1,100000003,610000008482,
0.703583,µm,Spine,Spine Part Length,14,6,1,100000001,610000008486,
0.934499,µm,Spine,Spine Part Length,4,4,1,100000003,610000008490,
1.07722,µm,Spine,Spine Part Length,9,5,1,100000002,610000008494,
0.959149,µm,Spine,Spine Part Length,1,2,1,100000001,610000008502,
0.661819,µm,Spine,Spine Part Length,5,4,1,100000000,610000008507,
0.596429,µm,Spine,Spine Part Length,15,5,1,100000001,610000008512,
0.50225,µm,Spine,Spine Part Length,7,3,1,100000003,610000008518,
0.620483,µm,Spine,Spine Part Length,4,1,1,100000001,610000008522,
0.733228,µm,Spine,Spine Part Length,1,1,1,100000002,610000008529,
0.810158,µm,Spine,Spine Part Length,4,3,1,100000002,610000008533,
0.777004,µm,Spine,Spine Part Length,12,7,1,100000002,610000008537,
0.61927,µm,Spine,Spine Part Length,14,5,1,100000001,610000008541,
0.781329,µm,Spine,Spine Part Length,12,7,1,100000002,610000008552,
0.3125,µm,Spine,Spine Part Length,7,6,1,100000000,610000008555,
0.638881,µm,Spine,Spine Part Length,12,7,1,100000002,610000008562,
0.884404,µm,Spine,Spine Part Length,0,1,1,100000003,610000008567,
0.388334,µm,Spine,Spine Part Length,2,2,1,100000001,610000008570,
0.250651,µm,Spine,Spine Part Length,1,2,1,100000001,610000008573,
0.436198,µm,Spine,Spine Part Length,0,1,1,100000001,610000008575,
0.208333,µm,Spine,Spine Part Length,6,3,1,100000003,610000008577,
0.328434,µm,Spine,Spine Part Length,4,3,1,100000002,610000008580,
0.407695,µm,Spine,Spine Part Length,6,3,1,100000002,610000008583,
0.499212,µm,Spine,Spine Part Length,12,6,1,100000002,610000008586,
0.408531,µm,Spine,Spine Part Length,6,2,1,100000001,610000008588,
0.889085,µm,Spine,Spine Part Length,1,1,1,100000003,610000008593,
0.389811,µm,Spine,Spine Part Length,5,2,1,100000003,610000008596,
0.208333,µm,Spine,Spine Part Length,3,2,1,100000002,610000008598,
0.536955,µm,Spine,Spine Part Length,16,7,1,100000001,610000008600,
0.285986,µm,Spine,Spine Part Length,5,1,1,100000001,610000008603,
0.217738,µm,Spine,Spine Part Length,7,3,1,100000003,610000008605,
0.957193,µm,Spine,Spine Part Length,3,2,1,100000002,610000008609,
0.222016,µm,Spine,Spine Part Length,5,4,1,100000000,610000008612,
0.231315,µm,Spine,Spine Part Length,1,1,1,100000001,610000008614,
0.208333,µm,Spine,Spine Part Length,15,6,1,100000002,610000008616,
0.272292,µm,Spine,Spine Part Length,7,2,1,100000001,610000008618,
0.587022,µm,Spine,Spine Part Length,0,1,1,100000001,610000008623,
0.254837,µm,Spine,Spine Part Length,0,1,1,100000003,610000008626,
0.889998,µm,Spine,Spine Part Length,0,1,1,100000001,610000008631,
0.272343,µm,Spine,Spine Part Length,0,1,1,100000001,610000008634,
0.429629,µm,Spine,Spine Part Length,9,2,1,100000002,610000008637,
0.294167,µm,Spine,Spine Part Length,11,5,1,100000002,610000008639,
0.377604,µm,Spine,Spine Part Length,6,4,1,100000001,610000008643,
1.42772,µm,Spine,Spine Part Length,1,2,1,100000001,610000008648,
0.629552,µm,Spine,Spine Part Length,12,7,1,100000002,610000008654,
0.289714,µm,Spine,Spine Part Length,10,1,1,100000001,610000008656,
0.213393,µm,Spine,Spine Part Length,0,1,1,100000003,610000008659,
0.250506,µm,Spine,Spine Part Length,0,1,1,100000003,610000008664,
0.416667,µm,Spine,Spine Part Length,2,2,1,100000001,610000008667,
0.2589,µm,Spine,Spine Part Length,4,2,1,100000003,610000008670,
0.273217,µm,Spine,Spine Part Length,6,1,1,100000002,610000008673,
0.291,µm,Spine,Spine Part Length,8,3,1,100000002,610000008676,
0.643188,µm,Spine,Spine Part Length,0,1,1,100000003,610000008681,
0.416667,µm,Spine,Spine Part Length,5,3,1,100000002,610000008684,
0.3125,µm,Spine,Spine Part Length,0,1,1,100000003,610000008688,
0.208333,µm,Spine,Spine Part Length,14,6,1,100000001,610000008691,
0.444407,µm,Spine,Spine Part Length,2,2,1,100000003,610000008693,
0.410156,µm,Spine,Spine Part Length,0,1,1,100000001,610000008695,
0.662435,µm,Spine,Spine Part Length,1,2,1,100000001,610000008698,
0.32433,µm,Spine,Spine Part Length,6,3,1,100000001,610000008700,
0.458984,µm,Spine,Spine Part Length,7,3,1,100000002,610000008703,
0.260417,µm,Spine,Spine Part Length,0,1,1,100000003,610000008711,
0.208333,µm,Spine,Spine Part Length,15,4,1,100000001,610000008713,
0.429528,µm,Spine,Spine Part Length,0,1,1,100000003,610000008716,
0.208333,µm,Spine,Spine Part Length,5,4,1,100000003,610000008719,
0.234375,µm,Spine,Spine Part Length,3,2,1,100000001,610000008721,
0.421365,µm,Spine,Spine Part Length,7,3,1,100000002,610000008726,
0.347463,µm,Spine,Spine Part Length,1,1,1,100000002,610000008730,
0.287299,µm,Spine,Spine Part Length,0,1,1,100000003,610000008734,
0.208333,µm,Spine,Spine Part Length,0,1,1,100000003,610000008737,
0.246257,µm,Spine,Spine Part Length,1,2,1,100000001,610000008740,
0.318691,µm,Spine,Spine Part Length,9,3,1,100000000,610000008743,
0.460601,µm,Spine,Spine Part Length,6,3,1,100000001,610000008746,
0.275236,µm,Spine,Spine Part Length,0,1,1,100000003,610000008750,
0.350017,µm,Spine,Spine Part Length,1,1,1,100000001,610000008752,
0.416667,µm,Spine,Spine Part Length,0,1,1,100000001,610000008754,
0.41456,µm,Spine,Spine Part Length,4,3,1,100000002,610000008756,
0.361288,µm,Spine,Spine Part Length,2,1,1,100000001,610000008759,
0.211499,µm,Spine,Spine Part Length,0,1,1,100000003,610000008763,
0.338341,µm,Spine,Spine Part Length,13,5,1,100000001,610000008766,
0.450391,µm,Spine,Spine Part Length,12,6,1,100000001,610000008768,
0.439453,µm,Spine,Spine Part Length,0,1,1,100000001,610000008770,
0.3125,µm,Spine,Spine Part Length,2,2,1,100000002,610000008774,
0.327325,µm,Spine,Spine Part Length,1,1,1,100000003,610000008777,
0.331987,µm,Spine,Spine Part Length,7,4,1,100000001,610000008782,
0.416667,µm,Spine,Spine Part Length,4,3,1,100000001,610000008787,
0.398763,µm,Spine,Spine Part Length,7,3,1,100000002,610000008794,
0.459928,µm,Spine,Spine Part Length,6,1,1,100000002,610000008796,
0.324034,µm,Spine,Spine Part Length,14,5,1,100000001,610000008798,
0.514323,µm,Spine,Spine Part Length,15,4,1,100000001,610000008808,
0.495268,µm,Spine,Spine Part Length,3,2,1,100000002,610000008810,
0.208333,µm,Spine,Spine Part Length,0,1,1,100000003,610000008812,
0.344097,µm,Spine,Spine Part Length,14,5,1,100000001,610000008814,
0.3125,µm,Spine,Spine Part Length,14,7,1,100000001,610000008817,
0.356425,µm,Spine,Spine Part Length,12,7,1,100000001,610000008824,
0.208333,µm,Spine,Spine Part Length,2,2,1,100000001,610000008829,
0.731351,µm,Spine,Spine Part Length,3,3,1,100000003,610000008834,
0.258382,µm,Spine,Spine Part Length,0,1,1,100000001,610000008841,
0.57586,µm,Spine,Spine Part Length,0,1,1,100000001,610000008843,
0.30658,µm,Spine,Spine Part Length,2,2,1,100000003,610000008846,
0.240885,µm,Spine,Spine Part Length,0,1,1,100000003,610000008849,
0.687171,µm,Spine,Spine Part Length,0,1,1,100000003,610000008852,
0.384999,µm,Spine,Spine Part Length,4,1,1,100000002,610000008859,
0.444434,µm,Spine,Spine Part Length,0,1,1,100000003,610000008865,
0.507295,µm,Spine,Spine Part Length,5,2,1,100000001,610000008867,
0.426432,µm,Spine,Spine Part Length,1,1,1,100000002,610000008869,
0.660205,µm,Spine,Spine Part Length,0,1,1,100000002,610000008872,
0.3125,µm,Spine,Spine Part Length,4,1,1,100000001,610000008877,
0.248863,µm,Spine,Spine Part Length,14,6,1,100000001,610000008884,
0.208333,µm,Spine,Spine Part Length,4,2,1,100000002,610000008895,
0.623735,µm,Spine,Spine Part Length,0,1,1,100000003,610000008907,
0.3125,µm,Spine,Spine Part Length,2,1,1,100000001,610000008918,
0.826823,µm,Spine,Spine Part Length,1,2,1,100000001,610000008921,
0.420424,µm,Spine,Spine Part Length,4,3,1,100000003,610000008938,
0.296998,µm,Spine,Spine Part Length,7,6,1,100000000,610000008993,
0.501029,µm,Spine,Spine Part Length,7,5,1,100000000,610000008994,
0.451065,µm,Spine,Spine Part Length,6,5,1,100000000,610000008995,
0.407114,µm,Spine,Spine Part Length,6,4,1,100000000,610000008996,
0.345266,µm,Spine,Spine Part Length,5,4,1,100000000,610000008997,
0.327732,µm,Spine,Spine Part Length,10,2,1,100000000,610000008998,
0.323585,µm,Spine,Spine Part Length,10,2,1,100000000,610000008999,
0.320638,µm,Spine,Spine Part Length,10,2,1,100000000,610000009000,
0.521882,µm,Spine,Spine Part Length,12,4,1,100000000,610000009001,
0.320654,µm,Spine,Spine Part Length,11,3,1,100000000,610000009002,
0.341169,µm,Spine,Spine Part Length,11,5,1,100000000,610000009003,
0.428979,µm,Spine,Spine Part Length,7,2,1,100000000,610000009004,
0.3125,µm,Spine,Spine Part Length,7,2,1,100000000,610000009005,
0.416667,µm,Spine,Spine Part Length,5,2,1,100000000,610000009006,
0.318091,µm,Spine,Spine Part Length,4,3,1,100000000,610000009007,
0.426632,µm,Spine,Spine Part Length,4,3,1,100000000,610000009008,
0.826667,µm,Spine,Spine Part Length,3,2,1,100000000,610000009009,
0.361235,µm,Spine,Spine Part Length,15,6,1,100000001,610000009010,
0.416667,µm,Spine,Spine Part Length,15,5,1,100000001,610000009011,
0.566278,µm,Spine,Spine Part Length,15,5,1,100000001,610000009012,
0.545117,µm,Spine,Spine Part Length,15,5,1,100000001,610000009013,
0.611534,µm,Spine,Spine Part Length,16,7,1,100000001,610000009014,
0.472005,µm,Spine,Spine Part Length,11,5,1,100000001,610000009015,
0.387954,µm,Spine,Spine Part Length,10,6,1,100000001,610000009016,
0.3125,µm,Spine,Spine Part Length,15,6,1,100000001,610000009017,
0.3125,µm,Spine,Spine Part Length,15,6,1,100000001,610000009018,
0.208333,µm,Spine,Spine Part Length,14,7,1,100000001,610000009019,
0.26325,µm,Spine,Spine Part Length,14,8,1,100000001,610000009020,
0.293361,µm,Spine,Spine Part Length,8,4,1,100000001,610000009021,
0.271309,µm,Spine,Spine Part Length,9,5,1,100000001,610000009022,
0.491726,µm,Spine,Spine Part Length,6,4,1,100000001,610000009023,
0.463003,µm,Spine,Spine Part Length,4,3,1,100000001,610000009024,
0.285966,µm,Spine,Spine Part Length,4,4,1,100000001,610000009025,
0.222982,µm,Spine,Spine Part Length,5,2,1,100000001,610000009026,
0.384115,µm,Spine,Spine Part Length,2,2,1,100000001,610000009027,
0.416667,µm,Spine,Spine Part Length,2,3,1,100000001,610000009028,
