
Spine Part Mean Diameter Ground
 ==================== 
Spine Part Mean Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.434516,µm,Spine,Spine Part Mean Diameter,8,3,1,100000001,610000008355,
0.497646,µm,Spine,Spine Part Mean Diameter,7,4,1,100000003,610000008367,
0.612556,µm,Spine,Spine Part Mean Diameter,7,3,1,100000003,610000008384,
0.533854,µm,Spine,Spine Part Mean Diameter,5,4,1,100000000,610000008395,
0.621537,µm,Spine,Spine Part Mean Diameter,7,3,1,100000003,610000008409,
1.34824,µm,Spine,Spine Part Mean Diameter,8,4,1,100000003,610000008418,
1.15313,µm,Spine,Spine Part Mean Diameter,16,7,1,100000001,610000008425,
0.718981,µm,Spine,Spine Part Mean Diameter,12,7,1,100000002,610000008434,
1.375,µm,Spine,Spine Part Mean Diameter,12,7,1,100000002,610000008448,
1.05263,µm,Spine,Spine Part Mean Diameter,1,1,1,100000002,610000008458,
0.77011,µm,Spine,Spine Part Mean Diameter,4,4,1,100000003,610000008464,
0.616275,µm,Spine,Spine Part Mean Diameter,12,7,1,100000002,610000008469,
0.77011,µm,Spine,Spine Part Mean Diameter,4,4,1,100000003,610000008474,
0.571687,µm,Spine,Spine Part Mean Diameter,7,3,1,100000003,610000008482,
0.706223,µm,Spine,Spine Part Mean Diameter,14,6,1,100000001,610000008486,
0.77011,µm,Spine,Spine Part Mean Diameter,4,4,1,100000003,610000008490,
0.890502,µm,Spine,Spine Part Mean Diameter,9,5,1,100000002,610000008494,
0.416667,µm,Spine,Spine Part Mean Diameter,1,2,1,100000001,610000008502,
0.903706,µm,Spine,Spine Part Mean Diameter,5,4,1,100000000,610000008507,
1.0695,µm,Spine,Spine Part Mean Diameter,15,5,1,100000001,610000008512,
0.571687,µm,Spine,Spine Part Mean Diameter,7,3,1,100000003,610000008518,
1.20221,µm,Spine,Spine Part Mean Diameter,4,1,1,100000001,610000008522,
1.14695,µm,Spine,Spine Part Mean Diameter,1,1,1,100000002,610000008529,
0.898389,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000008533,
0.714758,µm,Spine,Spine Part Mean Diameter,12,7,1,100000002,610000008537,
0.804539,µm,Spine,Spine Part Mean Diameter,14,5,1,100000001,610000008541,
1.24662,µm,Spine,Spine Part Mean Diameter,12,7,1,100000002,610000008552,
1.01733,µm,Spine,Spine Part Mean Diameter,7,6,1,100000000,610000008555,
0.516403,µm,Spine,Spine Part Mean Diameter,12,7,1,100000002,610000008562,
0.763889,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000008567,
0.850317,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000008570,
0.968352,µm,Spine,Spine Part Mean Diameter,1,2,1,100000001,610000008573,
1.26615,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000008575,
1.27061,µm,Spine,Spine Part Mean Diameter,6,3,1,100000003,610000008577,
