
Segment Area
 ==================== 
Segment Area,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.635732,µm^2,Segment,9,3,1,100000000,510000000015,
0.463979,µm^2,Segment,8,2,1,100000000,510000000017,
0.512752,µm^2,Segment,7,2,1,100000000,510000000020,
1.92913,µm^2,Segment,6,2,1,100000000,510000000034,
0.694897,µm^2,Segment,5,1,1,100000000,510000000037,
2.73236,µm^2,Segment,4,1,1,100000000,510000000053,
0.575116,µm^2,Segment,3,1,1,100000000,510000000056,
1.66582,µm^2,Segment,2,1,1,100000000,510000000065,
1.62796,µm^2,Segment,1,1,1,100000000,510000000070,
1.96987,µm^2,Segment,0,1,1,100000000,510000000100,
0.581455,µm^2,Segment,9,2,1,100000000,510000000103,
0.830564,µm^2,Segment,7,3,1,100000000,510000000109,
0.596442,µm^2,Segment,8,3,1,100000000,510000000113,
1.82837,µm^2,Segment,15,5,1,100000001,510000000136,
0.611781,µm^2,Segment,14,4,1,100000001,510000000140,
0.953964,µm^2,Segment,13,3,1,100000001,510000000145,
0.861826,µm^2,Segment,12,2,1,100000001,510000000154,
1.35409,µm^2,Segment,11,1,1,100000001,510000000168,
0.984093,µm^2,Segment,10,1,1,100000001,510000000176,
2.59062,µm^2,Segment,9,1,1,100000001,510000000198,
0.736265,µm^2,Segment,8,1,1,100000001,510000000201,
2.7851,µm^2,Segment,7,1,1,100000001,510000000226,
0.755599,µm^2,Segment,6,1,1,100000001,510000000231,
1.32814,µm^2,Segment,5,1,1,100000001,510000000237,
0.280637,µm^2,Segment,4,1,1,100000001,510000000239,
2.56338,µm^2,Segment,3,1,1,100000001,510000000259,
1.45989,µm^2,Segment,1,1,1,100000001,510000000267,
0.746199,µm^2,Segment,0,1,1,100000001,510000000282,
0.801823,µm^2,Segment,14,9,1,100000000,510000000293,
2.41943,µm^2,Segment,13,8,1,100000000,510000000324,
0.82284,µm^2,Segment,12,8,1,100000000,510000000333,
0.716783,µm^2,Segment,10,6,1,100000000,510000000343,
1.4192,µm^2,Segment,9,5,1,100000000,510000000356,
