
Intensity Inside Ch=2 Img=1
 ==================== 
Distance to Surface,Image Intensity Mean Inside,Intensity Mean Inside,Intensity Mean minus Std Inside,Intensity Mean plus Std Inside,Unit,Channel,Collection,Image,Time,ID,
-2.1235,8.16181,11.4981,-7.52208,30.5182,,2,Intensity Inside,Image 1,1,,
-1.9865,8.16181,11.2404,-7.47681,29.9576,,2,Intensity Inside,Image 1,1,,
-1.8495,8.16181,10.7297,-7.36577,28.8252,,2,Intensity Inside,Image 1,1,,
-1.7125,8.16181,10.2668,-7.30795,27.8416,,2,Intensity Inside,Image 1,1,,
-1.5755,8.16181,10.065,-7.53822,27.6681,,2,Intensity Inside,Image 1,1,,
-1.4385,8.16181,9.93601,-7.73702,27.609,,2,Intensity Inside,Image 1,1,,
-1.3015,8.16181,9.54493,-7.57171,26.6616,,2,Intensity Inside,Image 1,1,,
-1.1645,8.16181,9.20965,-7.3211,25.7404,,2,Intensity Inside,Image 1,1,,
-1.0275,8.16181,8.72897,-6.79683,24.2548,,2,Intensity Inside,Image 1,1,,
-0.8905,8.16181,8.33113,-6.32371,22.986,,2,Intensity Inside,Image 1,1,,
-0.7535,8.16181,8.09932,-6.06872,22.2674,,2,Intensity Inside,Image 1,1,,
-0.6165,8.16181,7.80789,-5.83013,21.4459,,2,Intensity Inside,Image 1,1,,
-0.4795,8.16181,7.56704,-5.62023,20.7543,,2,Intensity Inside,Image 1,1,,
-0.3425,8.16181,7.35719,-5.35798,20.0723,,2,Intensity Inside,Image 1,1,,
-0.2055,8.16181,6.97083,-4.89085,18.8325,,2,Intensity Inside,Image 1,1,,
-0.0685,8.16181,6.50601,-4.30292,17.3149,,2,Intensity Inside,Image 1,1,,
