
Segment Position
 ==================== 
Segment Position X,Segment Position Y,Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
160.78,20781.7,1389.7,µm,Segment,Segment Position,0,1,1,100000000,510000000151,
167.606,20816.8,1390.53,µm,Segment,Segment Position,0,1,1,100000002,510000000340,
156.327,20801.8,1390.57,µm,Segment,Segment Position,0,1,1,100000001,510000000629,
158.327,20797.3,1390.21,µm,Segment,Segment Position,0,1,1,100000001,510000000741,
160.052,20798.9,1389.76,µm,Segment,Segment Position,0,1,1,100000001,510000000854,
173.079,20813.6,1391.45,µm,Segment,Segment Position,0,1,1,100000002,510000001037,
192.339,20803,1391.47,µm,Segment,Segment Position,0,1,1,100000003,510000001402,
163.484,20783,1390.15,µm,Segment,Segment Position,0,1,1,100000000,510000001998,
155.808,20801.3,1390.79,µm,Segment,Segment Position,0,1,1,100000001,510000003094,
158.28,20797.3,1390.9,µm,Segment,Segment Position,0,1,1,100000001,510000003369,
194.297,20799.7,1391.37,µm,Segment,Segment Position,0,1,1,100000003,510000003818,
169.913,20813.3,1391.35,µm,Segment,Segment Position,0,1,1,100000002,510000004163,
168.189,20813.6,1390.05,µm,Segment,Segment Position,0,1,1,100000002,510000004552,
155.893,20800,1391.13,µm,Segment,Segment Position,0,1,1,100000001,510000004933,
193.44,20803,1390.63,µm,Segment,Segment Position,0,1,1,100000003,510000005092,
158.927,20798.2,1389.95,µm,Segment,Segment Position,0,1,1,100000001,510000005372,
164.305,20782,1390.81,µm,Segment,Segment Position,0,1,1,100000000,510000006156,
157.757,20801.2,1390.96,µm,Segment,Segment Position,0,1,1,100000001,510000006282,
168.629,20817.3,1390.33,µm,Segment,Segment Position,0,1,1,100000002,510000006316,
167.869,20814.8,1391.27,µm,Segment,Segment Position,0,1,1,100000002,510000006327,
168.286,20817.1,1390.44,µm,Segment,Segment Position,0,1,1,100000002,510000006357,
158.673,20797.5,1390.17,µm,Segment,Segment Position,0,1,1,100000001,510000006395,
195.379,20800.5,1391.45,µm,Segment,Segment Position,0,1,1,100000003,510000006408,
171.346,20815.1,1391.34,µm,Segment,Segment Position,0,1,1,100000002,510000006430,
159.152,20797.8,1390.41,µm,Segment,Segment Position,0,1,1,100000001,510000006448,
167.529,20816.2,1390.46,µm,Segment,Segment Position,0,1,1,100000002,510000006465,
157.685,20797.9,1391.6,µm,Segment,Segment Position,0,1,1,100000001,510000006481,
