
Spine Center Intensity Sum Ch=2 Img=1
 ==================== 
Spine Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
520,,Spine,2,13,Image 1,2,1,100000003,610000007322,
1428,,Spine,2,7,Image 1,3,1,100000001,610000007339,
402,,Spine,2,13,Image 1,2,1,100000003,610000007347,
1444,,Spine,2,5,Image 1,3,1,100000003,610000007363,
689,,Spine,2,3,Image 1,1,1,100000001,610000007375,
364,,Spine,2,13,Image 1,2,1,100000003,610000007382,
771,,Spine,2,3,Image 1,1,1,100000001,610000007393,
940,,Spine,2,7,Image 1,3,1,100000001,610000007404,
701,,Spine,2,14,Image 1,4,1,100000001,610000007415,
1147,,Spine,2,5,Image 1,3,1,100000003,610000007427,
205,,Spine,2,10,Image 1,5,1,100000001,610000007431,
509,,Spine,2,6,Image 1,3,1,100000001,610000007440,
577,,Spine,2,3,Image 1,1,1,100000001,610000007448,
168,,Spine,2,9,Image 1,2,1,100000003,610000007452,
218,,Spine,2,15,Image 1,4,1,100000001,610000007457,
423,,Spine,2,2,Image 1,1,1,100000002,610000007464,
144,,Spine,2,10,Image 1,3,1,100000000,610000007466,
319,,Spine,2,11,Image 1,2,1,100000003,610000007472,
142,,Spine,2,5,Image 1,3,1,100000001,610000007476,
51,,Spine,2,9,Image 1,4,1,100000000,610000007478,
153,,Spine,2,11,Image 1,4,1,100000003,610000007480,
542,,Spine,2,3,Image 1,1,1,100000001,610000007487,
664,,Spine,2,5,Image 1,3,1,100000003,610000007494,
287,,Spine,2,2,Image 1,2,1,100000002,610000007499,
139,,Spine,2,7,Image 1,3,1,100000001,610000007501,
321,,Spine,2,14,Image 1,4,1,100000001,610000007506,
201,,Spine,2,11,Image 1,2,1,100000003,610000007510,
105,,Spine,2,7,Image 1,6,1,100000002,610000007513,
318,,Spine,2,9,Image 1,2,1,100000003,610000007518,
121,,Spine,2,6,Image 1,4,1,100000001,610000007520,
220,,Spine,2,11,Image 1,3,1,100000001,610000007524,
541,,Spine,2,14,Image 1,4,1,100000001,610000007531,
145,,Spine,2,12,Image 1,3,1,100000003,610000007534,
194,,Spine,2,13,Image 1,4,1,100000000,610000007538,
424,,Spine,2,5,Image 1,3,1,100000003,610000007543,
196,,Spine,2,3,Image 1,1,1,100000003,610000007546,
188,,Spine,2,2,Image 1,1,1,100000001,610000007549,
431,,Spine,2,14,Image 1,4,1,100000001,610000007555,
254,,Spine,2,3,Image 1,3,1,100000002,610000007558,
128,,Spine,2,8,Image 1,2,1,100000000,610000007561,
317,,Spine,2,14,Image 1,4,1,100000001,610000007565,
144,,Spine,2,3,Image 1,2,1,100000000,610000007567,
257,,Spine,2,2,Image 1,2,1,100000002,610000007571,
318,,Spine,2,3,Image 1,2,1,100000001,610000007576,
202,,Spine,2,13,Image 1,4,1,100000001,610000007580,
1421,,Spine,2,0,Image 1,1,1,100000003,610000007592,
271,,Spine,2,6,Image 1,1,1,100000003,610000007596,
278,,Spine,2,9,Image 1,2,1,100000003,610000007600,
334,,Spine,2,7,Image 1,2,1,100000001,610000007604,
147,,Spine,2,16,Image 1,7,1,100000000,610000007607,
123,,Spine,2,3,Image 1,3,1,100000003,610000007609,
196,,Spine,2,5,Image 1,3,1,100000003,610000007611,
188,,Spine,2,0,Image 1,1,1,100000002,610000007614,
172,,Spine,2,5,Image 1,2,1,100000000,610000007617,
330,,Spine,2,5,Image 1,2,1,100000000,610000007622,
199,,Spine,2,11,Image 1,7,1,100000001,610000007625,
174,,Spine,2,9,Image 1,2,1,100000001,610000007627,
150,,Spine,2,9,Image 1,2,1,100000000,610000007630,
422,,Spine,2,0,Image 1,1,1,100000003,610000007636,
200,,Spine,2,5,Image 1,2,1,100000002,610000007639,
220,,Spine,2,13,Image 1,5,1,100000000,610000007642,
170,,Spine,2,11,Image 1,2,1,100000003,610000007644,
388,,Spine,2,4,Image 1,2,1,100000001,610000007650,
89,,Spine,2,6,Image 1,4,1,100000003,610000007652,
119,,Spine,2,12,Image 1,3,1,100000000,610000007654,
287,,Spine,2,2,Image 1,2,1,100000003,610000007658,
323,,Spine,2,0,Image 1,1,1,100000003,610000007663,
245,,Spine,2,0,Image 1,1,1,100000002,610000007667,
