
Spine Intensity Min Ch=2 Img=1
 ==================== 
Spine Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
2,,Spine,2,13,Image 1,2,1,100000003,610000007322,
8,,Spine,2,7,Image 1,3,1,100000001,610000007339,
2,,Spine,2,13,Image 1,2,1,100000003,610000007347,
9,,Spine,2,5,Image 1,3,1,100000003,610000007363,
6,,Spine,2,3,Image 1,1,1,100000001,610000007375,
5,,Spine,2,13,Image 1,2,1,100000003,610000007382,
10,,Spine,2,3,Image 1,1,1,100000001,610000007393,
14,,Spine,2,7,Image 1,3,1,100000001,610000007404,
19,,Spine,2,14,Image 1,4,1,100000001,610000007415,
9,,Spine,2,5,Image 1,3,1,100000003,610000007427,
8,,Spine,2,10,Image 1,5,1,100000001,610000007431,
12,,Spine,2,6,Image 1,3,1,100000001,610000007440,
9,,Spine,2,3,Image 1,1,1,100000001,610000007448,
5,,Spine,2,9,Image 1,2,1,100000003,610000007452,
7,,Spine,2,15,Image 1,4,1,100000001,610000007457,
27,,Spine,2,2,Image 1,1,1,100000002,610000007464,
8,,Spine,2,10,Image 1,3,1,100000000,610000007466,
1,,Spine,2,11,Image 1,2,1,100000003,610000007472,
2,,Spine,2,5,Image 1,3,1,100000001,610000007476,
2,,Spine,2,9,Image 1,4,1,100000000,610000007478,
0,,Spine,2,11,Image 1,4,1,100000003,610000007480,
9,,Spine,2,3,Image 1,1,1,100000001,610000007487,
9,,Spine,2,5,Image 1,3,1,100000003,610000007494,
5,,Spine,2,2,Image 1,2,1,100000002,610000007499,
2,,Spine,2,7,Image 1,3,1,100000001,610000007501,
8,,Spine,2,14,Image 1,4,1,100000001,610000007506,
1,,Spine,2,11,Image 1,2,1,100000003,610000007510,
5,,Spine,2,7,Image 1,6,1,100000002,610000007513,
7,,Spine,2,9,Image 1,2,1,100000003,610000007518,
9,,Spine,2,6,Image 1,4,1,100000001,610000007520,
14,,Spine,2,11,Image 1,3,1,100000001,610000007524,
21,,Spine,2,14,Image 1,4,1,100000001,610000007531,
10,,Spine,2,12,Image 1,3,1,100000003,610000007534,
5,,Spine,2,13,Image 1,4,1,100000000,610000007538,
9,,Spine,2,5,Image 1,3,1,100000003,610000007543,
