
Spine Center Intensity Sum Ch=2 Img=1
 ==================== 
Spine Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1083,,Spine,2,6,Image 1,4,1,100000002,610000008924,
748,,Spine,2,6,Image 1,4,1,100000002,610000008943,
603,,Spine,2,6,Image 1,4,1,100000002,610000008958,
262,,Spine,2,1,Image 1,1,1,100000004,610000008962,
75,,Spine,2,7,Image 1,2,1,100000003,610000008965,
97,,Spine,2,13,Image 1,1,1,100000002,610000008967,
154,,Spine,2,4,Image 1,1,1,100000002,610000008970,
219,,Spine,2,5,Image 1,1,1,100000003,610000008975,
1239,,Spine,2,2,Image 1,2,1,100000000,610000008988,
2931,,Spine,2,0,Image 1,2,1,100000001,610000009011,
2063,,Spine,2,3,Image 1,1,1,100000001,610000009031,
197,,Spine,2,3,Image 1,1,1,100000001,610000009036,
103,,Spine,2,3,Image 1,1,1,100000001,610000009038,
2785,,Spine,2,0,Image 1,2,1,100000001,610000009059,
101,,Spine,2,6,Image 1,5,1,100000003,610000009061,
1180,,Spine,2,3,Image 1,2,1,100000000,610000009075,
194,,Spine,2,3,Image 1,2,1,100000003,610000009078,
607,,Spine,2,0,Image 1,1,1,100000001,610000009084,
224,,Spine,2,13,Image 1,1,1,100000002,610000009087,
98,,Spine,2,4,Image 1,3,1,100000003,610000009089,
158,,Spine,2,9,Image 1,4,1,100000003,610000009092,
84,,Spine,2,14,Image 1,8,1,100000001,610000009094,
2451,,Spine,2,0,Image 1,2,1,100000001,610000009112,
108,,Spine,2,4,Image 1,2,1,100000002,610000009114,
101,,Spine,2,4,Image 1,1,1,100000002,610000009117,
416,,Spine,2,7,Image 1,3,1,100000000,610000009122,
699,,Spine,2,0,Image 1,1,1,100000001,610000009129,
372,,Spine,2,3,Image 1,2,1,100000004,610000009135,
252,,Spine,2,9,Image 1,4,1,100000000,610000009140,
401,,Spine,2,5,Image 1,2,1,100000000,610000009146,
2487,,Spine,2,0,Image 1,2,1,100000001,610000009165,
65,,Spine,2,5,Image 1,3,1,100000003,610000009167,
876,,Spine,2,3,Image 1,2,1,100000000,610000009177,
267,,Spine,2,3,Image 1,1,1,100000002,610000009180,
118,,Spine,2,2,Image 1,2,1,100000002,610000009182,
271,,Spine,2,2,Image 1,1,1,100000002,610000009187,
297,,Spine,2,2,Image 1,1,1,100000001,610000009191,
1055,,Spine,2,2,Image 1,2,1,100000000,610000009202,
154,,Spine,2,8,Image 1,4,1,100000001,610000009204,
229,,Spine,2,6,Image 1,2,1,100000003,610000009208,
180,,Spine,2,4,Image 1,2,1,100000002,610000009210,
25,,Spine,2,3,Image 1,4,1,100000003,610000009212,
386,,Spine,2,3,Image 1,2,1,100000004,610000009218,
232,,Spine,2,14,Image 1,5,1,100000001,610000009222,
298,,Spine,2,0,Image 1,1,1,100000002,610000009226,
41,,Spine,2,14,Image 1,8,1,100000001,610000009228,
1485,,Spine,2,3,Image 1,1,1,100000001,610000009241,
97,,Spine,2,2,Image 1,1,1,100000003,610000009245,
2180,,Spine,2,0,Image 1,2,1,100000001,610000009261,
152,,Spine,2,5,Image 1,2,1,100000000,610000009264,
593,,Spine,2,3,Image 1,2,1,100000000,610000009271,
105,,Spine,2,3,Image 1,3,1,100000003,610000009273,
133,,Spine,2,12,Image 1,5,1,100000002,610000009275,
148,,Spine,2,9,Image 1,4,1,100000003,610000009279,
222,,Spine,2,2,Image 1,2,1,100000002,610000009284,
53,,Spine,2,13,Image 1,1,1,100000003,610000009286,
70,,Spine,2,4,Image 1,3,1,100000002,610000009288,
193,,Spine,2,4,Image 1,2,1,100000002,610000009291,
984,,Spine,2,2,Image 1,2,1,100000000,610000009301,
129,,Spine,2,2,Image 1,2,1,100000004,610000009303,
66,,Spine,2,6,Image 1,5,1,100000003,610000009305,
155,,Spine,2,10,Image 1,1,1,100000000,610000009308,
140,,Spine,2,7,Image 1,2,1,100000003,610000009310,
111,,Spine,2,11,Image 1,3,1,100000000,610000009312,
105,,Spine,2,3,Image 1,1,1,100000002,610000009314,
364,,Spine,2,7,Image 1,3,1,100000000,610000009320,
161,,Spine,2,5,Image 1,1,1,100000002,610000009323,
1233,,Spine,2,3,Image 1,1,1,100000001,610000009333,
119,,Spine,2,3,Image 1,1,1,100000002,610000009335,
181,,Spine,2,1,Image 1,2,1,100000000,610000009337,
233,,Spine,2,5,Image 1,3,1,100000004,610000009340,
228,,Spine,2,0,Image 1,1,1,100000002,610000009344,
164,,Spine,2,2,Image 1,2,1,100000002,610000009346,
113,,Spine,2,5,Image 1,2,1,100000003,610000009349,
539,,Spine,2,3,Image 1,2,1,100000000,610000009356,
276,,Spine,2,5,Image 1,1,1,100000002,610000009360,
684,,Spine,2,5,Image 1,3,1,100000002,610000009366,
215,,Spine,2,0,Image 1,1,1,100000004,610000009369,
197,,Spine,2,2,Image 1,1,1,100000001,610000009373,
338,,Spine,2,5,Image 1,2,1,100000000,610000009379,
115,,Spine,2,14,Image 1,1,1,100000002,610000009381,
179,,Spine,2,10,Image 1,1,1,100000002,610000009383,
388,,Spine,2,0,Image 1,1,1,100000004,610000009388,
432,,Spine,2,0,Image 1,1,1,100000004,610000009398,
133,,Spine,2,12,Image 1,5,1,100000002,610000009400,
125,,Spine,2,8,Image 1,4,1,100000001,610000009403,
96,,Spine,2,6,Image 1,4,1,100000003,610000009405,
223,,Spine,2,7,Image 1,3,1,100000000,610000009409,
242,,Spine,2,2,Image 1,2,1,100000001,610000009412,
196,,Spine,2,0,Image 1,1,1,100000004,610000009415,
182,,Spine,2,6,Image 1,4,1,100000002,610000009419,
139,,Spine,2,15,Image 1,1,1,100000002,610000009421,
621,,Spine,2,0,Image 1,1,1,100000001,610000009426,
182,,Spine,2,6,Image 1,2,1,100000000,610000009431,
107,,Spine,2,2,Image 1,1,1,100000003,610000009433,
545,,Spine,2,2,Image 1,2,1,100000000,610000009438,
291,,Spine,2,4,Image 1,4,1,100000000,610000009442,
183,,Spine,2,14,Image 1,5,1,100000001,610000009445,
167,,Spine,2,2,Image 1,2,1,100000002,610000009447,
282,,Spine,2,11,Image 1,1,1,100000003,610000009450,
231,,Spine,2,16,Image 1,5,1,100000001,610000009453,
338,,Spine,2,20,Image 1,4,1,100000001,610000009458,
280,,Spine,2,14,Image 1,4,1,100000001,610000009461,
226,,Spine,2,6,Image 1,2,1,100000003,610000009465,
149,,Spine,2,2,Image 1,3,1,100000001,610000009471,
699,,Spine,2,2,Image 1,2,1,100000000,610000009477,
214,,Spine,2,0,Image 1,1,1,100000001,610000009479,
126,,Spine,2,5,Image 1,2,1,100000003,610000009481,
149,,Spine,2,8,Image 1,4,1,100000002,610000009483,
150,,Spine,2,0,Image 1,1,1,100000001,610000009486,
210,,Spine,2,6,Image 1,1,1,100000002,610000009490,
227,,Spine,2,2,Image 1,2,1,100000002,610000009493,
267,,Spine,2,4,Image 1,2,1,100000002,610000009497,
117,,Spine,2,3,Image 1,2,1,100000003,610000009499,
165,,Spine,2,0,Image 1,1,1,100000003,610000009502,
176,,Spine,2,0,Image 1,1,1,100000001,610000009504,
944,,Spine,2,3,Image 1,1,1,100000001,610000009511,
109,,Spine,2,1,Image 1,2,1,100000000,610000009513,
54,,Spine,2,8,Image 1,2,1,100000000,610000009515,
209,,Spine,2,5,Image 1,2,1,100000000,610000009518,
104,,Spine,2,15,Image 1,5,1,100000002,610000009520,
188,,Spine,2,8,Image 1,3,1,100000000,610000009524,
177,,Spine,2,8,Image 1,4,1,100000001,610000009526,
120,,Spine,2,10,Image 1,2,1,100000000,610000009529,
201,,Spine,2,2,Image 1,1,1,100000001,610000009534,
329,,Spine,2,2,Image 1,2,1,100000000,610000009538,
159,,Spine,2,15,Image 1,8,1,100000001,610000009540,
144,,Spine,2,14,Image 1,4,1,100000001,610000009542,
267,,Spine,2,0,Image 1,1,1,100000004,610000009546,
197,,Spine,2,4,Image 1,2,1,100000002,610000009549,
201,,Spine,2,3,Image 1,2,1,100000004,610000009552,
464,,Spine,2,2,Image 1,2,1,100000000,610000009556,
199,,Spine,2,8,Image 1,4,1,100000001,610000009559,
193,,Spine,2,4,Image 1,3,1,100000002,610000009561,
380,,Spine,2,5,Image 1,2,1,100000002,610000009565,
69,,Spine,2,2,Image 1,2,1,100000004,610000009567,
140,,Spine,2,0,Image 1,1,1,100000002,610000009569,
138,,Spine,2,4,Image 1,4,1,100000002,610000009571,
99,,Spine,2,0,Image 1,1,1,100000004,610000009573,
288,,Spine,2,2,Image 1,1,1,100000000,610000009576,
144,,Spine,2,10,Image 1,4,1,100000002,610000009578,
348,,Spine,2,4,Image 1,4,1,100000000,610000009581,
72,,Spine,2,3,Image 1,1,1,100000001,610000009583,
175,,Spine,2,7,Image 1,3,1,100000000,610000009585,
152,,Spine,2,2,Image 1,2,1,100000002,610000009590,
124,,Spine,2,11,Image 1,3,1,100000000,610000009592,
144,,Spine,2,1,Image 1,2,1,100000004,610000009594,
151,,Spine,2,10,Image 1,1,1,100000002,610000009596,
113,,Spine,2,0,Image 1,1,1,100000002,610000009598,
602,,Spine,2,2,Image 1,1,1,100000001,610000009604,
170,,Spine,2,2,Image 1,2,1,100000000,610000009606,
208,,Spine,2,7,Image 1,2,1,100000002,610000009610,
203,,Spine,2,1,Image 1,2,1,100000000,610000009612,
158,,Spine,2,2,Image 1,1,1,100000002,610000009614,
164,,Spine,2,4,Image 1,2,1,100000002,610000009617,
126,,Spine,2,11,Image 1,2,1,100000000,610000009619,
115,,Spine,2,2,Image 1,2,1,100000001,610000009622,
157,,Spine,2,8,Image 1,1,1,100000000,610000009624,
195,,Spine,2,2,Image 1,1,1,100000004,610000009626,
175,,Spine,2,2,Image 1,1,1,100000002,610000009628,
202,,Spine,2,4,Image 1,4,1,100000002,610000009633,
92,,Spine,2,6,Image 1,4,1,100000002,610000009635,
238,,Spine,2,14,Image 1,1,1,100000002,610000009639,
166,,Spine,2,16,Image 1,4,1,100000001,610000009641,
340,,Spine,2,3,Image 1,2,1,100000000,610000009644,
280,,Spine,2,3,Image 1,2,1,100000002,610000009646,
155,,Spine,2,0,Image 1,1,1,100000004,610000009650,
102,,Spine,2,3,Image 1,2,1,100000001,610000009655,
326,,Spine,2,17,Image 1,2,1,100000002,610000009658,
101,,Spine,2,9,Image 1,4,1,100000001,610000009660,
96,,Spine,2,5,Image 1,3,1,100000003,610000009662,
400,,Spine,2,2,Image 1,2,1,100000000,610000009666,
253,,Spine,2,2,Image 1,2,1,100000001,610000009669,
151,,Spine,2,4,Image 1,2,1,100000002,610000009673,
284,,Spine,2,0,Image 1,1,1,100000002,610000009675,
581,,Spine,2,15,Image 1,7,1,100000001,610000009681,
341,,Spine,2,5,Image 1,2,1,100000000,610000009685,
153,,Spine,2,8,Image 1,1,1,100000002,610000009687,
85,,Spine,2,0,Image 1,1,1,100000004,610000009689,
83,,Spine,2,1,Image 1,2,1,100000000,610000009692,
179,,Spine,2,2,Image 1,1,1,100000001,610000009695,
179,,Spine,2,4,Image 1,3,1,100000004,610000009697,
190,,Spine,2,8,Image 1,3,1,100000002,610000009701,
155,,Spine,2,13,Image 1,1,1,100000003,610000009703,
164,,Spine,2,8,Image 1,1,1,100000002,610000009706,
171,,Spine,2,4,Image 1,4,1,100000002,610000009708,
142,,Spine,2,6,Image 1,2,1,100000003,610000009710,
116,,Spine,2,3,Image 1,3,1,100000003,610000009712,
278,,Spine,2,5,Image 1,3,1,100000002,610000009714,
232,,Spine,2,15,Image 1,3,1,100000002,610000009717,
221,,Spine,2,0,Image 1,1,1,100000002,610000009721,
267,,Spine,2,6,Image 1,2,1,100000000,610000009726,
175,,Spine,2,0,Image 1,1,1,100000004,610000009729,
174,,Spine,2,14,Image 1,3,1,100000001,610000009731,
422,,Spine,2,15,Image 1,7,1,100000001,610000009735,
195,,Spine,2,6,Image 1,4,1,100000002,610000009738,
170,,Spine,2,2,Image 1,2,1,100000002,610000009742,
213,,Spine,2,0,Image 1,1,1,100000001,610000009746,
211,,Spine,2,3,Image 1,2,1,100000004,610000009749,
173,,Spine,2,2,Image 1,1,1,100000000,610000009752,
276,,Spine,2,13,Image 1,4,1,100000001,610000009756,
405,,Spine,2,4,Image 1,2,1,100000001,610000009760,
334,,Spine,2,1,Image 1,2,1,100000000,610000009767,
