
Spine Intensity Median Ch=2 Img=1
 ==================== 
Spine Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
37.0625,,Spine,2,6,Image 1,4,1,100000002,610000008924,
37.5625,,Spine,2,6,Image 1,4,1,100000002,610000008943,
35.5625,,Spine,2,6,Image 1,4,1,100000002,610000008958,
29.125,,Spine,2,1,Image 1,1,1,100000004,610000008962,
22.0312,,Spine,2,7,Image 1,2,1,100000003,610000008965,
18.0625,,Spine,2,13,Image 1,1,1,100000002,610000008967,
18.5625,,Spine,2,4,Image 1,1,1,100000002,610000008970,
38.125,,Spine,2,5,Image 1,1,1,100000003,610000008975,
89.125,,Spine,2,2,Image 1,2,1,100000000,610000008988,
22.125,,Spine,2,0,Image 1,2,1,100000001,610000009011,
141.625,,Spine,2,3,Image 1,1,1,100000001,610000009031,
32.0625,,Spine,2,3,Image 1,1,1,100000001,610000009036,
30.0625,,Spine,2,3,Image 1,1,1,100000001,610000009038,
22.125,,Spine,2,0,Image 1,2,1,100000001,610000009059,
36.0625,,Spine,2,6,Image 1,5,1,100000003,610000009061,
71.0625,,Spine,2,3,Image 1,2,1,100000000,610000009075,
44.9375,,Spine,2,3,Image 1,2,1,100000003,610000009078,
87.5625,,Spine,2,0,Image 1,1,1,100000001,610000009084,
33.125,,Spine,2,13,Image 1,1,1,100000002,610000009087,
31.0625,,Spine,2,4,Image 1,3,1,100000003,610000009089,
17.5625,,Spine,2,9,Image 1,4,1,100000003,610000009092,
22.9375,,Spine,2,14,Image 1,8,1,100000001,610000009094,
22.125,,Spine,2,0,Image 1,2,1,100000001,610000009112,
19.0312,,Spine,2,4,Image 1,2,1,100000002,610000009114,
19.0625,,Spine,2,4,Image 1,1,1,100000002,610000009117,
62.125,,Spine,2,7,Image 1,3,1,100000000,610000009122,
63.625,,Spine,2,0,Image 1,1,1,100000001,610000009129,
40.0625,,Spine,2,3,Image 1,2,1,100000004,610000009135,
32.0625,,Spine,2,9,Image 1,4,1,100000000,610000009140,
44.0625,,Spine,2,5,Image 1,2,1,100000000,610000009146,
22.125,,Spine,2,0,Image 1,2,1,100000001,610000009165,
21.0625,,Spine,2,5,Image 1,3,1,100000003,610000009167,
68.0625,,Spine,2,3,Image 1,2,1,100000000,610000009177,
69.0625,,Spine,2,3,Image 1,1,1,100000002,610000009180,
71.625,,Spine,2,2,Image 1,2,1,100000002,610000009182,
44.0625,,Spine,2,2,Image 1,1,1,100000002,610000009187,
60.125,,Spine,2,2,Image 1,1,1,100000001,610000009191,
88.125,,Spine,2,2,Image 1,2,1,100000000,610000009202,
36.0625,,Spine,2,8,Image 1,4,1,100000001,610000009204,
47.0625,,Spine,2,6,Image 1,2,1,100000003,610000009208,
34.0625,,Spine,2,4,Image 1,2,1,100000002,610000009210,
20.5312,,Spine,2,3,Image 1,4,1,100000003,610000009212,
40.0625,,Spine,2,3,Image 1,2,1,100000004,610000009218,
30.125,,Spine,2,14,Image 1,5,1,100000001,610000009222,
64.125,,Spine,2,0,Image 1,1,1,100000002,610000009226,
20.0312,,Spine,2,14,Image 1,8,1,100000001,610000009228,
143.125,,Spine,2,3,Image 1,1,1,100000001,610000009241,
29.0625,,Spine,2,2,Image 1,1,1,100000003,610000009245,
22.125,,Spine,2,0,Image 1,2,1,100000001,610000009261,
41.125,,Spine,2,5,Image 1,2,1,100000000,610000009264,
67.5625,,Spine,2,3,Image 1,2,1,100000000,610000009271,
25.0312,,Spine,2,3,Image 1,3,1,100000003,610000009273,
18.0625,,Spine,2,12,Image 1,5,1,100000002,610000009275,
24.0312,,Spine,2,9,Image 1,4,1,100000003,610000009279,
43.625,,Spine,2,2,Image 1,2,1,100000002,610000009284,
19.0625,,Spine,2,13,Image 1,1,1,100000003,610000009286,
16.0312,,Spine,2,4,Image 1,3,1,100000002,610000009288,
31.125,,Spine,2,4,Image 1,2,1,100000002,610000009291,
92.0625,,Spine,2,2,Image 1,2,1,100000000,610000009301,
16.0625,,Spine,2,2,Image 1,2,1,100000004,610000009303,
25.0312,,Spine,2,6,Image 1,5,1,100000003,610000009305,
24.0625,,Spine,2,10,Image 1,1,1,100000000,610000009308,
27.5625,,Spine,2,7,Image 1,2,1,100000003,610000009310,
29.5625,,Spine,2,11,Image 1,3,1,100000000,610000009312,
30.0625,,Spine,2,3,Image 1,1,1,100000002,610000009314,
41.5625,,Spine,2,7,Image 1,3,1,100000000,610000009320,
27.125,,Spine,2,5,Image 1,1,1,100000002,610000009323,
144.125,,Spine,2,3,Image 1,1,1,100000001,610000009333,
32.5625,,Spine,2,3,Image 1,1,1,100000002,610000009335,
42.125,,Spine,2,1,Image 1,2,1,100000000,610000009337,
44.0625,,Spine,2,5,Image 1,3,1,100000004,610000009340,
46.125,,Spine,2,0,Image 1,1,1,100000002,610000009344,
29.125,,Spine,2,2,Image 1,2,1,100000002,610000009346,
26.0625,,Spine,2,5,Image 1,2,1,100000003,610000009349,
67.0625,,Spine,2,3,Image 1,2,1,100000000,610000009356,
78.125,,Spine,2,5,Image 1,1,1,100000002,610000009360,
88.125,,Spine,2,5,Image 1,3,1,100000002,610000009366,
60.625,,Spine,2,0,Image 1,1,1,100000004,610000009369,
44.125,,Spine,2,2,Image 1,1,1,100000001,610000009373,
50.0625,,Spine,2,5,Image 1,2,1,100000000,610000009379,
48.0625,,Spine,2,14,Image 1,1,1,100000002,610000009381,
73.125,,Spine,2,10,Image 1,1,1,100000002,610000009383,
52.625,,Spine,2,0,Image 1,1,1,100000004,610000009388,
47.125,,Spine,2,0,Image 1,1,1,100000004,610000009398,
39.125,,Spine,2,12,Image 1,5,1,100000002,610000009400,
32.5625,,Spine,2,8,Image 1,4,1,100000001,610000009403,
28.0625,,Spine,2,6,Image 1,4,1,100000003,610000009405,
40.0625,,Spine,2,7,Image 1,3,1,100000000,610000009409,
54.125,,Spine,2,2,Image 1,2,1,100000001,610000009412,
41.0625,,Spine,2,0,Image 1,1,1,100000004,610000009415,
48.0625,,Spine,2,6,Image 1,4,1,100000002,610000009419,
34.0625,,Spine,2,15,Image 1,1,1,100000002,610000009421,
83.125,,Spine,2,0,Image 1,1,1,100000001,610000009426,
48.125,,Spine,2,6,Image 1,2,1,100000000,610000009431,
22.5625,,Spine,2,2,Image 1,1,1,100000003,610000009433,
93.125,,Spine,2,2,Image 1,2,1,100000000,610000009438,
38.0625,,Spine,2,4,Image 1,4,1,100000000,610000009442,
51.125,,Spine,2,14,Image 1,5,1,100000001,610000009445,
31.0625,,Spine,2,2,Image 1,2,1,100000002,610000009447,
56.125,,Spine,2,11,Image 1,1,1,100000003,610000009450,
42.125,,Spine,2,16,Image 1,5,1,100000001,610000009453,
57.0625,,Spine,2,20,Image 1,4,1,100000001,610000009458,
61.125,,Spine,2,14,Image 1,4,1,100000001,610000009461,
57.0625,,Spine,2,6,Image 1,2,1,100000003,610000009465,
39.0625,,Spine,2,2,Image 1,3,1,100000001,610000009471,
95.625,,Spine,2,2,Image 1,2,1,100000000,610000009477,
47.125,,Spine,2,0,Image 1,1,1,100000001,610000009479,
31.0312,,Spine,2,5,Image 1,2,1,100000003,610000009481,
34.0625,,Spine,2,8,Image 1,4,1,100000002,610000009483,
52.125,,Spine,2,0,Image 1,1,1,100000001,610000009486,
42.0625,,Spine,2,6,Image 1,1,1,100000002,610000009490,
47.0625,,Spine,2,2,Image 1,2,1,100000002,610000009493,
56.625,,Spine,2,4,Image 1,2,1,100000002,610000009497,
37.0625,,Spine,2,3,Image 1,2,1,100000003,610000009499,
54.9375,,Spine,2,0,Image 1,1,1,100000003,610000009502,
56.125,,Spine,2,0,Image 1,1,1,100000001,610000009504,
145.062,,Spine,2,3,Image 1,1,1,100000001,610000009511,
29.0625,,Spine,2,1,Image 1,2,1,100000000,610000009513,
36.0625,,Spine,2,8,Image 1,2,1,100000000,610000009515,
48.0625,,Spine,2,5,Image 1,2,1,100000000,610000009518,
42.0625,,Spine,2,15,Image 1,5,1,100000002,610000009520,
35.0625,,Spine,2,8,Image 1,3,1,100000000,610000009524,
27.0625,,Spine,2,8,Image 1,4,1,100000001,610000009526,
35.5625,,Spine,2,10,Image 1,2,1,100000000,610000009529,
41.125,,Spine,2,2,Image 1,1,1,100000001,610000009534,
93.5625,,Spine,2,2,Image 1,2,1,100000000,610000009538,
39.0625,,Spine,2,15,Image 1,8,1,100000001,610000009540,
28.0625,,Spine,2,14,Image 1,4,1,100000001,610000009542,
49.9375,,Spine,2,0,Image 1,1,1,100000004,610000009546,
39.5625,,Spine,2,4,Image 1,2,1,100000002,610000009549,
40.0625,,Spine,2,3,Image 1,2,1,100000004,610000009552,
96.125,,Spine,2,2,Image 1,2,1,100000000,610000009556,
39.0625,,Spine,2,8,Image 1,4,1,100000001,610000009559,
52.625,,Spine,2,4,Image 1,3,1,100000002,610000009561,
66.125,,Spine,2,5,Image 1,2,1,100000002,610000009565,
