
Segment Length
 ==================== 
Segment Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
1.5804,µm,Segment,6,4,1,100000002,510000000024,
0.61289,µm,Segment,5,3,1,100000002,510000000032,
0.94582,µm,Segment,4,2,1,100000002,510000000046,
2.33128,µm,Segment,3,2,1,100000002,510000000069,
0.305686,µm,Segment,2,1,1,100000002,510000000072,
0.711948,µm,Segment,1,1,1,100000002,510000000080,
0.527535,µm,Segment,0,1,1,100000002,510000000086,
1.92052,µm,Segment,7,4,1,100000002,510000000101,
4.46328,µm,Segment,6,3,1,100000002,510000000148,
3.14179,µm,Segment,5,2,1,100000002,510000000184,
1.49995,µm,Segment,7,3,1,100000002,510000000197,
3.61519,µm,Segment,1,2,1,100000002,510000000231,
0.657762,µm,Segment,4,3,1,100000002,510000000234,
1.96598,µm,Segment,1,2,1,100000002,510000000256,
2.03217,µm,Segment,0,1,1,100000002,510000000294,
2.0022,µm,Segment,4,3,1,100000000,510000000329,
1.25588,µm,Segment,3,2,1,100000000,510000000342,
5.89995,µm,Segment,2,2,1,100000000,510000000413,
1.06108,µm,Segment,1,1,1,100000000,510000000424,
0.211548,µm,Segment,0,1,1,100000000,510000000450,
0.811225,µm,Segment,4,2,1,100000000,510000000463,
1.17365,µm,Segment,3,3,1,100000000,510000000473,
0.63729,µm,Segment,1,1,1,100000002,510000000476,
2.7993,µm,Segment,4,4,1,100000001,510000000506,
1.61668,µm,Segment,3,3,1,100000001,510000000521,
3.50678,µm,Segment,2,3,1,100000001,510000000560,
2.10385,µm,Segment,1,2,1,100000001,510000000582,
0.642635,µm,Segment,0,1,1,100000001,510000000593,
1.59485,µm,Segment,4,3,1,100000001,510000000631,
2.6667,µm,Segment,3,4,1,100000001,510000000660,
0.639655,µm,Segment,12,8,1,100000001,510000000668,
0.668881,µm,Segment,11,7,1,100000001,510000000676,
0.853409,µm,Segment,10,7,1,100000001,510000000686,
2.05957,µm,Segment,9,6,1,100000001,510000000709,
2.40835,µm,Segment,8,5,1,100000001,510000000735,
4.43947,µm,Segment,7,4,1,100000001,510000000792,
0.208909,µm,Segment,6,4,1,100000001,510000000794,
2.4754,µm,Segment,5,4,1,100000001,510000000819,
2.25235,µm,Segment,4,3,1,100000001,510000000846,
1.73448,µm,Segment,3,3,1,100000001,510000000865,
3.4696,µm,Segment,2,3,1,100000001,510000000902,
0.598409,µm,Segment,1,2,1,100000001,510000000906,
1.32063,µm,Segment,0,1,1,100000001,510000000920,
0.673686,µm,Segment,12,7,1,100000001,510000000926,
1.38537,µm,Segment,11,8,1,100000001,510000000941,
0.485266,µm,Segment,10,6,1,100000001,510000000944,
0.548503,µm,Segment,9,5,1,100000001,510000000948,
1.08967,µm,Segment,7,5,1,100000001,510000000958,
1.41884,µm,Segment,6,5,1,100000001,510000000967,
2.52174,µm,Segment,6,4,1,100000001,510000000994,
0.464796,µm,Segment,5,3,1,100000001,510000000996,
6.10993,µm,Segment,1,2,1,100000000,510000001069,
0.651295,µm,Segment,7,2,1,100000001,510000001076,
2.23262,µm,Segment,6,1,1,100000001,510000001099,
1.15459,µm,Segment,5,1,1,100000001,510000001114,
4.11181,µm,Segment,4,1,1,100000001,510000001167,
0.429673,µm,Segment,3,1,1,100000001,510000001171,
1.10118,µm,Segment,1,1,1,100000001,510000001181,
2.7547,µm,Segment,4,4,1,100000001,510000001204,
0.754196,µm,Segment,7,4,1,100000001,510000001209,
1.00908,µm,Segment,7,3,1,100000001,510000001220,
0.788973,µm,Segment,5,3,1,100000001,510000001230,
1.86111,µm,Segment,4,3,1,100000001,510000001250,
0.718422,µm,Segment,3,2,1,100000001,510000001255,
1.862,µm,Segment,2,2,1,100000001,510000001276,
0.769642,µm,Segment,6,2,1,100000001,510000001284,
2.23218,µm,Segment,4,2,1,100000001,510000001305,
1.54113,µm,Segment,5,2,1,100000001,510000001318,
2.73429,µm,Segment,3,3,1,100000001,510000001355,
2.36,µm,Segment,3,4,1,100000001,510000001384,
3.13701,µm,Segment,5,2,1,100000001,510000001425,
2.30581,µm,Segment,4,2,1,100000001,510000001453,
2.0482,µm,Segment,3,2,1,100000001,510000001473,
1.27536,µm,Segment,7,4,1,100000001,510000001488,
0.799106,µm,Segment,6,3,1,100000001,510000001497,
1.96812,µm,Segment,5,3,1,100000001,510000001523,
0.961826,µm,Segment,5,3,1,100000001,510000001562,
0.400264,µm,Segment,7,3,1,100000001,510000001565,
1.46972,µm,Segment,2,1,1,100000000,510000001575,
0.475807,µm,Segment,6,4,1,100000001,510000001578,
0.864343,µm,Segment,5,2,1,100000001,510000001633,
0.510437,µm,Segment,4,2,1,100000001,510000001636,
1.2371,µm,Segment,5,4,1,100000001,510000001649,
0.533363,µm,Segment,5,3,1,100000001,510000001651,
0.281489,µm,Segment,4,2,1,100000001,510000001653,
0.927096,µm,Segment,3,2,1,100000001,510000001660,
1.73414,µm,Segment,2,2,1,100000001,510000001681,
1.50775,µm,Segment,1,2,1,100000001,510000001694,
1.55251,µm,Segment,0,1,1,100000001,510000001724,
0.986119,µm,Segment,2,2,1,100000001,510000001748,
0.401201,µm,Segment,2,3,1,100000001,510000001751,
0.997785,µm,Segment,2,2,1,100000002,510000001760,
0.634819,µm,Segment,3,1,1,100000002,510000001763,
0.511497,µm,Segment,1,1,1,100000001,510000001767,
0.250711,µm,Segment,5,4,1,100000001,510000001810,
0.11977,µm,Segment,2,1,1,100000001,510000001811,
0.298731,µm,Segment,7,1,1,100000001,510000001812,
0.31713,µm,Segment,4,3,1,100000001,510000001813,
0.270277,µm,Segment,8,4,1,100000001,510000001814,
0.217039,µm,Segment,6,3,1,100000001,510000001816,
0.231246,µm,Segment,2,2,1,100000001,510000001817,
0.30192,µm,Segment,4,3,1,100000001,510000001818,
0.285813,µm,Segment,3,3,1,100000001,510000001819,
