
Spine Intensity Mean Ch=1 Img=1
 ==================== 
Spine Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0.153846,,Spine,1,1,Image 1,2,1,100000000,610000001992,
0.166667,,Spine,1,1,Image 1,2,1,100000000,610000002002,
0.0487805,,Spine,1,1,Image 1,2,1,100000000,610000002004,
0.0344828,,Spine,1,1,Image 1,2,1,100000002,610000002011,
0.153846,,Spine,1,1,Image 1,2,1,100000000,610000002014,
0.22028,,Spine,1,2,Image 1,1,1,100000000,610000002019,
0.142857,,Spine,1,1,Image 1,2,1,100000000,610000002024,
0.0810811,,Spine,1,5,Image 1,2,1,100000001,610000002030,
0.08,,Spine,1,1,Image 1,2,1,100000000,610000002034,
0.166667,,Spine,1,1,Image 1,2,1,100000002,610000002039,
0.185714,,Spine,1,4,Image 1,1,1,100000001,610000002041,
0.117647,,Spine,1,1,Image 1,2,1,100000000,610000002045,
0.108696,,Spine,1,2,Image 1,3,1,100000001,610000002048,
0.196429,,Spine,1,2,Image 1,3,1,100000001,610000002052,
0.0740741,,Spine,1,4,Image 1,2,1,100000000,610000002054,
0.0806452,,Spine,1,5,Image 1,3,1,100000001,610000002056,
0.0794393,,Spine,1,3,Image 1,2,1,100000001,610000002060,
0.173077,,Spine,1,6,Image 1,5,1,100000001,610000002062,
0.0847458,,Spine,1,5,Image 1,2,1,100000001,610000002065,
0.157143,,Spine,1,1,Image 1,2,1,100000000,610000002067,
0.382022,,Spine,1,4,Image 1,3,1,100000001,610000002070,
0.0769231,,Spine,1,1,Image 1,2,1,100000002,610000002074,
0.24,,Spine,1,2,Image 1,3,1,100000001,610000002077,
0.26,,Spine,1,2,Image 1,1,1,100000000,610000002079,
0.245283,,Spine,1,2,Image 1,3,1,100000001,610000002082,
0.130435,,Spine,1,1,Image 1,2,1,100000001,610000002087,
0.0973451,,Spine,1,12,Image 1,7,1,100000001,610000002089,
0.115789,,Spine,1,1,Image 1,2,1,100000000,610000002092,
0.0948276,,Spine,1,3,Image 1,2,1,100000001,610000002094,
0.198502,,Spine,1,2,Image 1,3,1,100000001,610000002097,
0.125,,Spine,1,12,Image 1,7,1,100000001,610000002100,
0.135135,,Spine,1,1,Image 1,2,1,100000000,610000002102,
1.10563,,Spine,1,3,Image 1,2,1,100000002,610000002104,
0.233184,,Spine,1,2,Image 1,1,1,100000000,610000002107,
0.264957,,Spine,1,4,Image 1,2,1,100000001,610000002110,
0.252033,,Spine,1,4,Image 1,2,1,100000001,610000002112,
0.521429,,Spine,1,3,Image 1,2,1,100000002,610000002115,
