
Segment Branch Depth
 ==================== 
Segment Branch Depth,Unit,Category,Depth,Level,Time,FilamentID,ID,
12,,Segment,12,8,1,100000006,510000000026,
11,,Segment,11,8,1,100000006,510000000032,
10,,Segment,10,7,1,100000006,510000000050,
9,,Segment,9,6,1,100000006,510000000113,
8,,Segment,8,5,1,100000006,510000000127,
7,,Segment,7,4,1,100000006,510000000136,
5,,Segment,5,4,1,100000006,510000000169,
4,,Segment,4,3,1,100000006,510000000172,
3,,Segment,3,3,1,100000006,510000000175,
1,,Segment,1,2,1,100000006,510000000196,
0,,Segment,0,1,1,100000006,510000000208,
12,,Segment,12,6,1,100000006,510000000235,
11,,Segment,11,6,1,100000006,510000000246,
10,,Segment,10,6,1,100000006,510000000248,
12,,Segment,12,7,1,100000006,510000000253,
11,,Segment,11,7,1,100000006,510000000262,
12,,Segment,12,9,1,100000006,510000000264,
11,,Segment,11,7,1,100000006,510000000276,
9,,Segment,9,5,1,100000006,510000000282,
8,,Segment,8,4,1,100000006,510000000284,
6,,Segment,6,5,1,100000006,510000000288,
7,,Segment,7,5,1,100000006,510000000292,
17,,Segment,17,6,1,100000003,510000000325,
16,,Segment,16,5,1,100000003,510000000343,
15,,Segment,15,4,1,100000003,510000000361,
14,,Segment,14,4,1,100000003,510000000365,
13,,Segment,13,4,1,100000003,510000000381,
12,,Segment,12,3,1,100000003,510000000385,
11,,Segment,11,3,1,100000003,510000000388,
10,,Segment,10,3,1,100000003,510000000423,
9,,Segment,9,3,1,100000003,510000000432,
7,,Segment,7,2,1,100000003,510000000436,
6,,Segment,6,2,1,100000003,510000000444,
5,,Segment,5,2,1,100000003,510000000452,
4,,Segment,4,2,1,100000003,510000000454,
3,,Segment,3,2,1,100000003,510000000464,
2,,Segment,2,2,1,100000003,510000000479,
1,,Segment,1,2,1,100000003,510000000484,
0,,Segment,0,1,1,100000003,510000000497,
17,,Segment,17,5,1,100000003,510000000519,
16,,Segment,16,4,1,100000003,510000000524,
6,,Segment,6,2,1,100000001,510000000575,
5,,Segment,5,2,1,100000001,510000000617,
4,,Segment,4,1,1,100000001,510000000622,
3,,Segment,3,1,1,100000001,510000000624,
2,,Segment,2,1,1,100000001,510000000645,
1,,Segment,1,1,1,100000001,510000000649,
0,,Segment,0,1,1,100000001,510000000671,
6,,Segment,6,3,1,100000001,510000000680,
2,,Segment,2,2,1,100000004,510000000721,
1,,Segment,1,2,1,100000004,510000000727,
0,,Segment,0,1,1,100000004,510000000749,
2,,Segment,2,3,1,100000004,510000000771,
8,,Segment,8,2,1,100000001,510000000854,
7,,Segment,7,1,1,100000001,510000000863,
5,,Segment,5,1,1,100000001,510000000901,
8,,Segment,8,1,1,100000001,510000000904,
7,,Segment,7,2,1,100000001,510000000908,
6,,Segment,6,2,1,100000001,510000000917,
3,,Segment,3,2,1,100000001,510000000951,
6,,Segment,6,5,1,100000006,510000000980,
5,,Segment,5,4,1,100000006,510000001021,
4,,Segment,4,3,1,100000006,510000001023,
3,,Segment,3,3,1,100000006,510000001028,
2,,Segment,2,3,1,100000006,510000001038,
1,,Segment,1,2,1,100000006,510000001052,
0,,Segment,0,1,1,100000006,510000001058,
6,,Segment,6,4,1,100000006,510000001068,
4,,Segment,4,2,1,100000002,510000001101,
3,,Segment,3,2,1,100000002,510000001104,
2,,Segment,2,2,1,100000002,510000001129,
1,,Segment,1,1,1,100000002,510000001144,
0,,Segment,0,1,1,100000002,510000001148,
3,,Segment,3,3,1,100000002,510000001190,
4,,Segment,4,3,1,100000002,510000001193,
10,,Segment,10,2,1,100000006,510000001213,
8,,Segment,8,2,1,100000006,510000001219,
6,,Segment,6,2,1,100000006,510000001226,
5,,Segment,5,2,1,100000006,510000001228,
4,,Segment,4,2,1,100000006,510000001262,
3,,Segment,3,2,1,100000006,510000001276,
10,,Segment,10,3,1,100000006,510000001290,
9,,Segment,9,3,1,100000006,510000001295,
6,,Segment,6,3,1,100000006,510000001302,
5,,Segment,5,3,1,100000006,510000001308,
7,,Segment,7,3,1,100000006,510000001311,
8,,Segment,8,3,1,100000006,510000001313,
4,,Segment,4,3,1,100000006,510000001315,
5,,Segment,5,3,1,100000006,510000001320,
4,,Segment,4,4,1,100000006,510000001326,
2,,Segment,2,3,1,100000006,510000001329,
5,,Segment,5,3,1,100000004,510000001362,
3,,Segment,3,3,1,100000004,510000001387,
2,,Segment,2,3,1,100000004,510000001400,
1,,Segment,1,2,1,100000004,510000001404,
0,,Segment,0,1,1,100000004,510000001406,
5,,Segment,5,5,1,100000004,510000001435,
4,,Segment,4,4,1,100000004,510000001446,
5,,Segment,5,4,1,100000004,510000001448,
5,,Segment,5,4,1,100000004,510000001455,
10,,Segment,10,4,1,100000003,510000001505,
9,,Segment,9,4,1,100000003,510000001519,
8,,Segment,8,3,1,100000003,510000001534,
10,,Segment,10,5,1,100000003,510000001541,
1,,Segment,1,2,1,100000005,510000001550,
0,,Segment,0,1,1,100000005,510000001583,
1,,Segment,1,1,1,100000005,510000001605,
8,,Segment,8,3,1,100000001,510000001627,
7,,Segment,7,3,1,100000001,510000001631,
6,,Segment,6,3,1,100000001,510000001667,
5,,Segment,5,3,1,100000001,510000001671,
4,,Segment,4,3,1,100000001,510000001679,
3,,Segment,3,2,1,100000001,510000001691,
2,,Segment,2,1,1,100000001,510000001705,
1,,Segment,1,1,1,100000001,510000001713,
0,,Segment,0,1,1,100000001,510000001725,
4,,Segment,4,4,1,100000001,510000001764,
3,,Segment,3,3,1,100000001,510000001812,
1,,Segment,1,1,1,100000001,510000001826,
0,,Segment,0,1,1,100000001,510000001872,
4,,Segment,4,3,1,100000001,510000001885,
1,,Segment,1,2,1,100000006,510000001916,
0,,Segment,0,1,1,100000006,510000001935,
1,,Segment,1,1,1,100000006,510000001953,
6,,Segment,6,4,1,100000001,510000001962,
5,,Segment,5,4,1,100000001,510000001970,
8,,Segment,8,4,1,100000001,510000002010,
7,,Segment,7,3,1,100000001,510000002017,
6,,Segment,6,3,1,100000001,510000002026,
5,,Segment,5,2,1,100000001,510000002055,
4,,Segment,4,2,1,100000001,510000002062,
3,,Segment,3,2,1,100000001,510000002084,
1,,Segment,1,1,1,100000001,510000002091,
0,,Segment,0,1,1,100000001,510000002106,
8,,Segment,8,3,1,100000001,510000002132,
7,,Segment,7,4,1,100000001,510000002136,
5,,Segment,5,3,1,100000002,510000002161,
4,,Segment,4,2,1,100000002,510000002176,
3,,Segment,3,1,1,100000002,510000002180,
2,,Segment,2,1,1,100000002,510000002193,
1,,Segment,1,1,1,100000002,510000002223,
0,,Segment,0,1,1,100000002,510000002250,
2,,Segment,2,2,1,100000005,510000002257,
1,,Segment,1,2,1,100000005,510000002273,
5,,Segment,5,3,1,100000001,510000002293,
4,,Segment,4,2,1,100000001,510000002310,
5,,Segment,5,2,1,100000001,510000002323,
17,,Segment,17,4,1,100000003,510000002335,
15,,Segment,15,4,1,100000003,510000002348,
14,,Segment,14,3,1,100000003,510000002379,
13,,Segment,13,3,1,100000003,510000002426,
