
Segment Center Intensity Sum Ch=4 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
24,,Segment,4,12,Image 1,8,1,100000006,510000000026,
6,,Segment,4,11,Image 1,8,1,100000006,510000000032,
12,,Segment,4,10,Image 1,7,1,100000006,510000000050,
37,,Segment,4,9,Image 1,6,1,100000006,510000000113,
7,,Segment,4,8,Image 1,5,1,100000006,510000000127,
5,,Segment,4,7,Image 1,4,1,100000006,510000000136,
7,,Segment,4,5,Image 1,4,1,100000006,510000000169,
3,,Segment,4,4,Image 1,3,1,100000006,510000000172,
11,,Segment,4,3,Image 1,3,1,100000006,510000000175,
16,,Segment,4,1,Image 1,2,1,100000006,510000000196,
4,,Segment,4,0,Image 1,1,1,100000006,510000000208,
13,,Segment,4,12,Image 1,6,1,100000006,510000000235,
11,,Segment,4,11,Image 1,6,1,100000006,510000000246,
0,,Segment,4,10,Image 1,6,1,100000006,510000000248,
2,,Segment,4,12,Image 1,7,1,100000006,510000000253,
10,,Segment,4,11,Image 1,7,1,100000006,510000000262,
3,,Segment,4,12,Image 1,9,1,100000006,510000000264,
12,,Segment,4,11,Image 1,7,1,100000006,510000000276,
1,,Segment,4,9,Image 1,5,1,100000006,510000000282,
1,,Segment,4,8,Image 1,4,1,100000006,510000000284,
5,,Segment,4,6,Image 1,5,1,100000006,510000000288,
3,,Segment,4,7,Image 1,5,1,100000006,510000000292,
92,,Segment,4,17,Image 1,6,1,100000003,510000000325,
7,,Segment,4,16,Image 1,5,1,100000003,510000000343,
2,,Segment,4,15,Image 1,4,1,100000003,510000000361,
1,,Segment,4,14,Image 1,4,1,100000003,510000000365,
19,,Segment,4,13,Image 1,4,1,100000003,510000000381,
3,,Segment,4,12,Image 1,3,1,100000003,510000000385,
5,,Segment,4,11,Image 1,3,1,100000003,510000000388,
63,,Segment,4,10,Image 1,3,1,100000003,510000000423,
14,,Segment,4,9,Image 1,3,1,100000003,510000000432,
8,,Segment,4,7,Image 1,2,1,100000003,510000000436,
7,,Segment,4,6,Image 1,2,1,100000003,510000000444,
9,,Segment,4,5,Image 1,2,1,100000003,510000000452,
2,,Segment,4,4,Image 1,2,1,100000003,510000000454,
3,,Segment,4,3,Image 1,2,1,100000003,510000000464,
22,,Segment,4,2,Image 1,2,1,100000003,510000000479,
4,,Segment,4,1,Image 1,2,1,100000003,510000000484,
2,,Segment,4,0,Image 1,1,1,100000003,510000000497,
30,,Segment,4,17,Image 1,5,1,100000003,510000000519,
9,,Segment,4,16,Image 1,4,1,100000003,510000000524,
56,,Segment,4,6,Image 1,2,1,100000001,510000000575,
27,,Segment,4,5,Image 1,2,1,100000001,510000000617,
7,,Segment,4,4,Image 1,1,1,100000001,510000000622,
1,,Segment,4,3,Image 1,1,1,100000001,510000000624,
8,,Segment,4,2,Image 1,1,1,100000001,510000000645,
8,,Segment,4,1,Image 1,1,1,100000001,510000000649,
6,,Segment,4,0,Image 1,1,1,100000001,510000000671,
63,,Segment,4,6,Image 1,3,1,100000001,510000000680,
21,,Segment,4,2,Image 1,2,1,100000004,510000000721,
1,,Segment,4,1,Image 1,2,1,100000004,510000000727,
4,,Segment,4,0,Image 1,1,1,100000004,510000000749,
4,,Segment,4,2,Image 1,3,1,100000004,510000000771,
172,,Segment,4,8,Image 1,2,1,100000001,510000000854,
20,,Segment,4,7,Image 1,1,1,100000001,510000000863,
18,,Segment,4,5,Image 1,1,1,100000001,510000000901,
44,,Segment,4,8,Image 1,1,1,100000001,510000000904,
5,,Segment,4,7,Image 1,2,1,100000001,510000000908,
3,,Segment,4,6,Image 1,2,1,100000001,510000000917,
68,,Segment,4,3,Image 1,2,1,100000001,510000000951,
28,,Segment,4,6,Image 1,5,1,100000006,510000000980,
32,,Segment,4,5,Image 1,4,1,100000006,510000001021,
0,,Segment,4,4,Image 1,3,1,100000006,510000001023,
7,,Segment,4,3,Image 1,3,1,100000006,510000001028,
13,,Segment,4,2,Image 1,3,1,100000006,510000001038,
6,,Segment,4,1,Image 1,2,1,100000006,510000001052,
2,,Segment,4,0,Image 1,1,1,100000006,510000001058,
3,,Segment,4,6,Image 1,4,1,100000006,510000001068,
27,,Segment,4,4,Image 1,2,1,100000002,510000001101,
6,,Segment,4,3,Image 1,2,1,100000002,510000001104,
51,,Segment,4,2,Image 1,2,1,100000002,510000001129,
42,,Segment,4,1,Image 1,1,1,100000002,510000001144,
6,,Segment,4,0,Image 1,1,1,100000002,510000001148,
7,,Segment,4,3,Image 1,3,1,100000002,510000001190,
2,,Segment,4,4,Image 1,3,1,100000002,510000001193,
11,,Segment,4,10,Image 1,2,1,100000006,510000001213,
5,,Segment,4,8,Image 1,2,1,100000006,510000001219,
3,,Segment,4,6,Image 1,2,1,100000006,510000001226,
1,,Segment,4,5,Image 1,2,1,100000006,510000001228,
44,,Segment,4,4,Image 1,2,1,100000006,510000001262,
60,,Segment,4,3,Image 1,2,1,100000006,510000001276,
16,,Segment,4,10,Image 1,3,1,100000006,510000001290,
4,,Segment,4,9,Image 1,3,1,100000006,510000001295,
4,,Segment,4,6,Image 1,3,1,100000006,510000001302,
2,,Segment,4,5,Image 1,3,1,100000006,510000001308,
7,,Segment,4,7,Image 1,3,1,100000006,510000001311,
1,,Segment,4,8,Image 1,3,1,100000006,510000001313,
0,,Segment,4,4,Image 1,3,1,100000006,510000001315,
2,,Segment,4,5,Image 1,3,1,100000006,510000001320,
4,,Segment,4,4,Image 1,4,1,100000006,510000001326,
12,,Segment,4,2,Image 1,3,1,100000006,510000001329,
14,,Segment,4,5,Image 1,3,1,100000004,510000001362,
10,,Segment,4,3,Image 1,3,1,100000004,510000001387,
3,,Segment,4,2,Image 1,3,1,100000004,510000001400,
0,,Segment,4,1,Image 1,2,1,100000004,510000001404,
0,,Segment,4,0,Image 1,1,1,100000004,510000001406,
4,,Segment,4,5,Image 1,5,1,100000004,510000001435,
10,,Segment,4,4,Image 1,4,1,100000004,510000001446,
4,,Segment,4,5,Image 1,4,1,100000004,510000001448,
3,,Segment,4,5,Image 1,4,1,100000004,510000001455,
57,,Segment,4,10,Image 1,4,1,100000003,510000001505,
7,,Segment,4,9,Image 1,4,1,100000003,510000001519,
7,,Segment,4,8,Image 1,3,1,100000003,510000001534,
1,,Segment,4,10,Image 1,5,1,100000003,510000001541,
2,,Segment,4,1,Image 1,2,1,100000005,510000001550,
