
Segment Straightness
 ==================== 
Segment Straightness,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.766426,,Segment,12,8,1,100000006,510000000026,
0.990529,,Segment,11,8,1,100000006,510000000032,
0.952112,,Segment,10,7,1,100000006,510000000050,
0.885963,,Segment,9,6,1,100000006,510000000113,
0.928409,,Segment,8,5,1,100000006,510000000127,
0.874645,,Segment,7,4,1,100000006,510000000136,
0.870004,,Segment,5,4,1,100000006,510000000169,
0.964279,,Segment,4,3,1,100000006,510000000172,
0.992523,,Segment,3,3,1,100000006,510000000175,
0.780824,,Segment,1,2,1,100000006,510000000196,
1,,Segment,0,1,1,100000006,510000000208,
0.981147,,Segment,12,6,1,100000006,510000000235,
0.983319,,Segment,11,6,1,100000006,510000000246,
0.998385,,Segment,10,6,1,100000006,510000000248,
0.99809,,Segment,12,7,1,100000006,510000000253,
0.995352,,Segment,11,7,1,100000006,510000000262,
0.989641,,Segment,12,9,1,100000006,510000000264,
0.971797,,Segment,11,7,1,100000006,510000000276,
0.968527,,Segment,9,5,1,100000006,510000000282,
0.996857,,Segment,8,4,1,100000006,510000000284,
0.987528,,Segment,6,5,1,100000006,510000000288,
0.941729,,Segment,7,5,1,100000006,510000000292,
0.951765,,Segment,17,6,1,100000003,510000000325,
0.770767,,Segment,16,5,1,100000003,510000000343,
0.977732,,Segment,15,4,1,100000003,510000000361,
0.991825,,Segment,14,4,1,100000003,510000000365,
0.886668,,Segment,13,4,1,100000003,510000000381,
0.985294,,Segment,12,3,1,100000003,510000000385,
0.962905,,Segment,11,3,1,100000003,510000000388,
0.95643,,Segment,10,3,1,100000003,510000000423,
0.988913,,Segment,9,3,1,100000003,510000000432,
0.992571,,Segment,7,2,1,100000003,510000000436,
0.996082,,Segment,6,2,1,100000003,510000000444,
0.984576,,Segment,5,2,1,100000003,510000000452,
0.997195,,Segment,4,2,1,100000003,510000000454,
0.973088,,Segment,3,2,1,100000003,510000000464,
0.983332,,Segment,2,2,1,100000003,510000000479,
0.992318,,Segment,1,2,1,100000003,510000000484,
0.981905,,Segment,0,1,1,100000003,510000000497,
0.984319,,Segment,17,5,1,100000003,510000000519,
0.994824,,Segment,16,4,1,100000003,510000000524,
0.829982,,Segment,6,2,1,100000001,510000000575,
0.972184,,Segment,5,2,1,100000001,510000000617,
0.945786,,Segment,4,1,1,100000001,510000000622,
0.993784,,Segment,3,1,1,100000001,510000000624,
0.94613,,Segment,2,1,1,100000001,510000000645,
0.992376,,Segment,1,1,1,100000001,510000000649,
0.992209,,Segment,0,1,1,100000001,510000000671,
0.972587,,Segment,6,3,1,100000001,510000000680,
0.862283,,Segment,2,2,1,100000004,510000000721,
0.996722,,Segment,1,2,1,100000004,510000000727,
0.954685,,Segment,0,1,1,100000004,510000000749,
0.972591,,Segment,2,3,1,100000004,510000000771,
0.782166,,Segment,8,2,1,100000001,510000000854,
0.941158,,Segment,7,1,1,100000001,510000000863,
0.978528,,Segment,5,1,1,100000001,510000000901,
0.994773,,Segment,8,1,1,100000001,510000000904,
0.980416,,Segment,7,2,1,100000001,510000000908,
0.931791,,Segment,6,2,1,100000001,510000000917,
0.765801,,Segment,3,2,1,100000001,510000000951,
0.972985,,Segment,6,5,1,100000006,510000000980,
0.782171,,Segment,5,4,1,100000006,510000001021,
0.9925,,Segment,4,3,1,100000006,510000001023,
0.99918,,Segment,3,3,1,100000006,510000001028,
0.981888,,Segment,2,3,1,100000006,510000001038,
0.972592,,Segment,1,2,1,100000006,510000001052,
0.99685,,Segment,0,1,1,100000006,510000001058,
0.996807,,Segment,6,4,1,100000006,510000001068,
0.87782,,Segment,4,2,1,100000002,510000001101,
0.964711,,Segment,3,2,1,100000002,510000001104,
0.947363,,Segment,2,2,1,100000002,510000001129,
0.964822,,Segment,1,1,1,100000002,510000001144,
0.998701,,Segment,0,1,1,100000002,510000001148,
0.742135,,Segment,3,3,1,100000002,510000001190,
0.947237,,Segment,4,3,1,100000002,510000001193,
0.831561,,Segment,10,2,1,100000006,510000001213,
0.974499,,Segment,8,2,1,100000006,510000001219,
0.996767,,Segment,6,2,1,100000006,510000001226,
0.997196,,Segment,5,2,1,100000006,510000001228,
0.879107,,Segment,4,2,1,100000006,510000001262,
0.913227,,Segment,3,2,1,100000006,510000001276,
0.942415,,Segment,10,3,1,100000006,510000001290,
0.978047,,Segment,9,3,1,100000006,510000001295,
0.997518,,Segment,6,3,1,100000006,510000001302,
0.979991,,Segment,5,3,1,100000006,510000001308,
0.986735,,Segment,7,3,1,100000006,510000001311,
0.992537,,Segment,8,3,1,100000006,510000001313,
0.983015,,Segment,4,3,1,100000006,510000001315,
0.978538,,Segment,5,3,1,100000006,510000001320,
