
Spine Intensity Min Ch=2 Img=1
 ==================== 
Spine Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Spine,2,3,Image 1,3,1,100000002,610000006820,
3,,Spine,2,0,Image 1,1,1,100000006,610000006838,
11,,Spine,2,10,Image 1,3,1,100000003,610000006841,
1,,Spine,2,10,Image 1,3,1,100000003,610000006844,
1,,Spine,2,1,Image 1,2,1,100000002,610000006852,
1,,Spine,2,1,Image 1,2,1,100000002,610000006858,
4,,Spine,2,0,Image 1,1,1,100000006,610000006873,
1,,Spine,2,1,Image 1,2,1,100000002,610000006879,
3,,Spine,2,0,Image 1,1,1,100000006,610000006891,
13,,Spine,2,3,Image 1,3,1,100000001,610000006899,
11,,Spine,2,0,Image 1,1,1,100000001,610000006906,
7,,Spine,2,5,Image 1,2,1,100000001,610000006908,
4,,Spine,2,0,Image 1,1,1,100000006,610000006919,
4,,Spine,2,4,Image 1,1,1,100000002,610000006922,
2,,Spine,2,1,Image 1,1,1,100000004,610000006928,
3,,Spine,2,3,Image 1,3,1,100000002,610000006932,
1,,Spine,2,1,Image 1,2,1,100000002,610000006936,
3,,Spine,2,12,Image 1,7,1,100000006,610000006941,
11,,Spine,2,0,Image 1,1,1,100000002,610000006950,
2,,Spine,2,1,Image 1,1,1,100000004,610000006955,
4,,Spine,2,11,Image 1,3,1,100000002,610000006957,
20,,Spine,2,0,Image 1,1,1,100000006,610000006963,
2,,Spine,2,1,Image 1,1,1,100000004,610000006969,
8,,Spine,2,6,Image 1,3,1,100000001,610000006972,
17,,Spine,2,0,Image 1,1,1,100000002,610000006978,
20,,Spine,2,0,Image 1,1,1,100000001,610000006983,
4,,Spine,2,10,Image 1,5,1,100000003,610000006988,
4,,Spine,2,2,Image 1,3,1,100000004,610000006992,
1,,Spine,2,10,Image 1,5,1,100000003,610000006996,
3,,Spine,2,0,Image 1,1,1,100000005,610000007000,
6,,Spine,2,8,Image 1,3,1,100000001,610000007002,
6,,Spine,2,1,Image 1,1,1,100000004,610000007005,
5,,Spine,2,2,Image 1,2,1,100000004,610000007010,
8,,Spine,2,2,Image 1,1,1,100000002,610000007014,
2,,Spine,2,1,Image 1,1,1,100000004,610000007018,
22,,Spine,2,0,Image 1,1,1,100000001,610000007021,
13,,Spine,2,0,Image 1,1,1,100000004,610000007025,
23,,Spine,2,0,Image 1,1,1,100000006,610000007030,
7,,Spine,2,2,Image 1,2,1,100000004,610000007032,
3,,Spine,2,4,Image 1,1,1,100000002,610000007036,
1,,Spine,2,1,Image 1,2,1,100000004,610000007038,
5,,Spine,2,1,Image 1,1,1,100000005,610000007040,
1,,Spine,2,3,Image 1,3,1,100000002,610000007044,
4,,Spine,2,8,Image 1,4,1,100000001,610000007046,
13,,Spine,2,0,Image 1,1,1,100000006,610000007049,
5,,Spine,2,5,Image 1,2,1,100000002,610000007051,
10,,Spine,2,3,Image 1,2,1,100000001,610000007054,
2,,Spine,2,7,Image 1,3,1,100000001,610000007056,
6,,Spine,2,1,Image 1,2,1,100000004,610000007061,
17,,Spine,2,0,Image 1,1,1,100000001,610000007065,
20,,Spine,2,0,Image 1,1,1,100000006,610000007070,
11,,Spine,2,0,Image 1,1,1,100000002,610000007076,
8,,Spine,2,0,Image 1,1,1,100000006,610000007079,
35,,Spine,2,0,Image 1,1,1,100000002,610000007083,
1,,Spine,2,7,Image 1,4,1,100000001,610000007085,
10,,Spine,2,0,Image 1,1,1,100000004,610000007088,
2,,Spine,2,1,Image 1,1,1,100000004,610000007091,
23,,Spine,2,0,Image 1,1,1,100000006,610000007094,
4,,Spine,2,10,Image 1,4,1,100000003,610000007100,
11,,Spine,2,0,Image 1,1,1,100000004,610000007103,
3,,Spine,2,10,Image 1,2,1,100000006,610000007105,
12,,Spine,2,5,Image 1,3,1,100000004,610000007108,
5,,Spine,2,8,Image 1,4,1,100000001,610000007110,
23,,Spine,2,1,Image 1,1,1,100000000,610000007112,
15,,Spine,2,3,Image 1,1,1,100000001,610000007115,
26,,Spine,2,0,Image 1,1,1,100000002,610000007119,
2,,Spine,2,0,Image 1,1,1,100000002,610000007121,
22,,Spine,2,0,Image 1,1,1,100000006,610000007124,
7,,Spine,2,1,Image 1,1,1,100000002,610000007127,
30,,Spine,2,0,Image 1,1,1,100000006,610000007130,
12,,Spine,2,0,Image 1,1,1,100000004,610000007133,
14,,Spine,2,1,Image 1,1,1,100000002,610000007137,
10,,Spine,2,0,Image 1,1,1,100000002,610000007146,
13,,Spine,2,0,Image 1,1,1,100000002,610000007151,
8,,Spine,2,0,Image 1,1,1,100000004,610000007153,
26,,Spine,2,0,Image 1,1,1,100000006,610000007156,
3,,Spine,2,0,Image 1,1,1,100000002,610000007159,
20,,Spine,2,0,Image 1,1,1,100000002,610000007165,
5,,Spine,2,2,Image 1,2,1,100000001,610000007168,
3,,Spine,2,3,Image 1,2,1,100000002,610000007176,
5,,Spine,2,7,Image 1,3,1,100000001,610000007180,
12,,Spine,2,0,Image 1,1,1,100000002,610000007185,
18,,Spine,2,3,Image 1,2,1,100000002,610000007194,
4,,Spine,2,0,Image 1,1,1,100000004,610000007198,
8,,Spine,2,1,Image 1,2,1,100000004,610000007204,
6,,Spine,2,0,Image 1,1,1,100000002,610000007206,
4,,Spine,2,4,Image 1,1,1,100000002,610000007208,
16,,Spine,2,0,Image 1,1,1,100000005,610000007211,
17,,Spine,2,0,Image 1,1,1,100000004,610000007215,
27,,Spine,2,0,Image 1,1,1,100000001,610000007217,
8,,Spine,2,1,Image 1,1,1,100000005,610000007219,
1,,Spine,2,3,Image 1,3,1,100000002,610000007221,
5,,Spine,2,5,Image 1,4,1,100000006,610000007226,
22,,Spine,2,0,Image 1,1,1,100000006,610000007229,
3,,Spine,2,10,Image 1,2,1,100000006,610000007233,
6,,Spine,2,7,Image 1,2,1,100000001,610000007236,
26,,Spine,2,0,Image 1,1,1,100000002,610000007238,
40,,Spine,2,0,Image 1,1,1,100000006,610000007240,
5,,Spine,2,5,Image 1,2,1,100000002,610000007242,
5,,Spine,2,7,Image 1,4,1,100000001,610000007244,
8,,Spine,2,0,Image 1,1,1,100000004,610000007246,
11,,Spine,2,0,Image 1,1,1,100000002,610000007251,
12,,Spine,2,7,Image 1,4,1,100000006,610000007255,
8,,Spine,2,6,Image 1,3,1,100000006,610000007258,
8,,Spine,2,5,Image 1,3,1,100000001,610000007261,
12,,Spine,2,3,Image 1,2,1,100000004,610000007265,
6,,Spine,2,1,Image 1,1,1,100000002,610000007267,
1,,Spine,2,12,Image 1,1,1,100000001,610000007269,
0,,Spine,2,1,Image 1,1,1,100000002,610000007271,
