
Spine Neck Max Diameter
 ==================== 
Spine Neck Max Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.813622,µm,Spine,3,3,1,100000002,610000006820,
1.4935,µm,Spine,0,1,1,100000006,610000006838,
0.498266,µm,Spine,10,3,1,100000003,610000006841,
0.498266,µm,Spine,10,3,1,100000003,610000006844,
1.12618,µm,Spine,1,2,1,100000002,610000006852,
1.12618,µm,Spine,1,2,1,100000002,610000006858,
1.4935,µm,Spine,0,1,1,100000006,610000006873,
1.12618,µm,Spine,1,2,1,100000002,610000006879,
1.4935,µm,Spine,0,1,1,100000006,610000006891,
1.00937,µm,Spine,3,3,1,100000001,610000006899,
0.989583,µm,Spine,0,1,1,100000001,610000006906,
1.05652,µm,Spine,5,2,1,100000001,610000006908,
1.4935,µm,Spine,0,1,1,100000006,610000006919,
1.40951,µm,Spine,4,1,1,100000002,610000006922,
0.680778,µm,Spine,1,1,1,100000004,610000006928,
0.691009,µm,Spine,3,3,1,100000002,610000006932,
1.12618,µm,Spine,1,2,1,100000002,610000006936,
1.24899,µm,Spine,12,7,1,100000006,610000006941,
1.23353,µm,Spine,0,1,1,100000002,610000006950,
0.650957,µm,Spine,1,1,1,100000004,610000006955,
0.625,µm,Spine,11,3,1,100000002,610000006957,
0.945475,µm,Spine,0,1,1,100000006,610000006963,
1.00275,µm,Spine,1,1,1,100000004,610000006969,
0.701625,µm,Spine,6,3,1,100000001,610000006972,
0.882161,µm,Spine,0,1,1,100000002,610000006978,
0.685311,µm,Spine,0,1,1,100000001,610000006983,
0,µm,Spine,16,5,1,100000003,610000006988,
1.19223,µm,Spine,2,3,1,100000004,610000006992,
0.682821,µm,Spine,16,5,1,100000003,610000006996,
0,µm,Spine,0,1,1,100000005,610000007000,
0.429688,µm,Spine,8,3,1,100000001,610000007002,
0.696324,µm,Spine,1,1,1,100000004,610000007005,
1.83573,µm,Spine,2,2,1,100000004,610000007010,
1.15775,µm,Spine,2,1,1,100000002,610000007014,
0.547261,µm,Spine,1,1,1,100000004,610000007018,
0.736762,µm,Spine,0,1,1,100000001,610000007021,
1.26486,µm,Spine,0,1,1,100000004,610000007025,
0.582618,µm,Spine,0,1,1,100000006,610000007030,
0.824499,µm,Spine,2,2,1,100000004,610000007032,
0.829805,µm,Spine,4,1,1,100000002,610000007036,
0.631944,µm,Spine,1,2,1,100000004,610000007038,
0.625,µm,Spine,1,1,1,100000005,610000007040,
0.923145,µm,Spine,3,3,1,100000002,610000007044,
0.759617,µm,Spine,8,4,1,100000001,610000007046,
1.45208,µm,Spine,0,1,1,100000006,610000007049,
0,µm,Spine,5,2,1,100000002,610000007051,
1.38269,µm,Spine,3,2,1,100000001,610000007054,
0.976541,µm,Spine,7,3,1,100000001,610000007056,
0,µm,Spine,2,1,1,100000004,610000007061,
0.416667,µm,Spine,0,1,1,100000001,610000007065,
0.523517,µm,Spine,0,1,1,100000006,610000007070,
1.50931,µm,Spine,0,1,1,100000002,610000007076,
1.875,µm,Spine,0,1,1,100000006,610000007079,
0.416667,µm,Spine,0,1,1,100000002,610000007083,
1.61296,µm,Spine,7,4,1,100000001,610000007085,
0.654458,µm,Spine,0,1,1,100000004,610000007088,
0.476757,µm,Spine,1,1,1,100000004,610000007091,
0.568848,µm,Spine,0,1,1,100000006,610000007094,
1.30831,µm,Spine,10,4,1,100000003,610000007100,
1.26486,µm,Spine,0,1,1,100000004,610000007103,
0.979516,µm,Spine,10,2,1,100000006,610000007105,
0.917969,µm,Spine,5,3,1,100000004,610000007108,
1.1366,µm,Spine,8,4,1,100000001,610000007110,
0,µm,Spine,1,1,1,100000000,610000007112,
0.595991,µm,Spine,3,1,1,100000001,610000007115,
0.416667,µm,Spine,0,1,1,100000002,610000007119,
0.781806,µm,Spine,0,1,1,100000002,610000007121,
0.818685,µm,Spine,0,1,1,100000006,610000007124,
1.06442,µm,Spine,1,1,1,100000002,610000007127,
0.483181,µm,Spine,0,1,1,100000006,610000007130,
1.25,µm,Spine,0,1,1,100000004,610000007133,
0.772923,µm,Spine,1,1,1,100000002,610000007137,
1.84442,µm,Spine,0,1,1,100000002,610000007146,
0.882161,µm,Spine,0,1,1,100000002,610000007151,
0.747465,µm,Spine,0,1,1,100000004,610000007153,
0,µm,Spine,0,1,1,100000006,610000007156,
0.932139,µm,Spine,0,1,1,100000002,610000007159,
0.416667,µm,Spine,0,1,1,100000002,610000007165,
1.73309,µm,Spine,2,2,1,100000001,610000007168,
2.27068,µm,Spine,3,2,1,100000002,610000007176,
1.12956,µm,Spine,7,3,1,100000001,610000007180,
1.47055,µm,Spine,0,1,1,100000002,610000007185,
