
Segment Center Intensity Min Ch=3 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,3,1,Image 1,1,1,100000001,510000000037,
25,,Segment,3,0,Image 1,1,1,100000001,510000000072,
5,,Segment,3,6,Image 1,3,1,100000002,510000000086,
15,,Segment,3,5,Image 1,3,1,100000002,510000000091,
6,,Segment,3,4,Image 1,3,1,100000002,510000000113,
13,,Segment,3,3,Image 1,2,1,100000002,510000000137,
0,,Segment,3,2,Image 1,1,1,100000002,510000000154,
100,,Segment,3,1,Image 1,1,1,100000002,510000000158,
70,,Segment,3,0,Image 1,1,1,100000002,510000000169,
29,,Segment,3,5,Image 1,4,1,100000002,510000000203,
15,,Segment,3,6,Image 1,4,1,100000002,510000000205,
9,,Segment,3,4,Image 1,2,1,100000002,510000000215,
0,,Segment,3,3,Image 1,3,1,100000001,510000000226,
0,,Segment,3,2,Image 1,3,1,100000001,510000000232,
15,,Segment,3,1,Image 1,2,1,100000001,510000000240,
69,,Segment,3,0,Image 1,1,1,100000001,510000000247,
0,,Segment,3,7,Image 1,3,1,100000000,510000000287,
25,,Segment,3,6,Image 1,3,1,100000000,510000000295,
28,,Segment,3,5,Image 1,2,1,100000000,510000000299,
23,,Segment,3,3,Image 1,2,1,100000000,510000000311,
50,,Segment,3,2,Image 1,2,1,100000000,510000000318,
56,,Segment,3,1,Image 1,1,1,100000000,510000000322,
27,,Segment,3,0,Image 1,1,1,100000000,510000000334,
12,,Segment,3,3,Image 1,4,1,100000001,510000000350,
15,,Segment,3,5,Image 1,5,1,100000000,510000000358,
9,,Segment,3,4,Image 1,4,1,100000000,510000000382,
29,,Segment,3,3,Image 1,3,1,100000000,510000000393,
0,,Segment,3,5,Image 1,4,1,100000000,510000000395,
0,,Segment,3,7,Image 1,3,1,100000002,510000000434,
37,,Segment,3,6,Image 1,2,1,100000002,510000000436,
28,,Segment,3,5,Image 1,2,1,100000002,510000000439,
23,,Segment,3,4,Image 1,2,1,100000002,510000000454,
0,,Segment,3,3,Image 1,1,1,100000002,510000000470,
53,,Segment,3,2,Image 1,1,1,100000002,510000000476,
71,,Segment,3,1,Image 1,1,1,100000002,510000000488,
69,,Segment,3,0,Image 1,1,1,100000002,510000000511,
6,,Segment,3,4,Image 1,2,1,100000000,510000000519,
17,,Segment,3,3,Image 1,2,1,100000000,510000000539,
12,,Segment,3,2,Image 1,2,1,100000000,510000000557,
44,,Segment,3,1,Image 1,2,1,100000000,510000000579,
52,,Segment,3,0,Image 1,1,1,100000000,510000000589,
19,,Segment,3,4,Image 1,3,1,100000000,510000000606,
0,,Segment,3,4,Image 1,3,1,100000000,510000000624,
22,,Segment,3,3,Image 1,3,1,100000000,510000000640,
31,,Segment,3,2,Image 1,3,1,100000000,510000000652,
14,,Segment,3,4,Image 1,3,1,100000000,510000000658,
0,,Segment,3,2,Image 1,3,1,100000000,510000000667,
8,,Segment,3,1,Image 1,2,1,100000000,510000000680,
39,,Segment,3,7,Image 1,4,1,100000000,510000000682,
17,,Segment,3,6,Image 1,2,1,100000000,510000000687,
17,,Segment,3,4,Image 1,4,1,100000000,510000000702,
0,,Segment,3,4,Image 1,3,1,100000000,510000000704,
0,,Segment,3,2,Image 1,2,1,100000000,510000000706,
