
Spine Center Intensity Median Ch=2 Img=1
 ==================== 
Spine Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
14.0625,,Spine,2,7,Image 1,3,1,100000002,610000002002,
35.0312,,Spine,2,3,Image 1,2,1,100000002,610000002008,
44.0312,,Spine,2,2,Image 1,2,1,100000000,610000002012,
48.0625,,Spine,2,8,Image 1,5,1,100000002,610000002018,
6.03125,,Spine,2,7,Image 1,3,1,100000002,610000002020,
38.5312,,Spine,2,3,Image 1,2,1,100000002,610000002025,
25.0312,,Spine,2,3,Image 1,2,1,100000000,610000002029,
6.03125,,Spine,2,4,Image 1,4,1,100000000,610000002031,
34.0312,,Spine,2,2,Image 1,2,1,100000000,610000002035,
42.0625,,Spine,2,5,Image 1,1,1,100000002,610000002045,
40.5312,,Spine,2,5,Image 1,2,1,100000001,610000002048,
16.0625,,Spine,2,1,Image 1,2,1,100000001,610000002051,
41.5312,,Spine,2,3,Image 1,2,1,100000002,610000002056,
21.0156,,Spine,2,7,Image 1,3,1,100000002,610000002059,
22.5625,,Spine,2,3,Image 1,1,1,100000002,610000002064,
21.0312,,Spine,2,7,Image 1,3,1,100000002,610000002068,
28.0313,,Spine,2,7,Image 1,3,1,100000002,610000002071,
33.0312,,Spine,2,7,Image 1,3,1,100000002,610000002076,
20.125,,Spine,2,0,Image 1,1,1,100000002,610000002080,
22.0625,,Spine,2,7,Image 1,4,1,100000002,610000002082,
18.0625,,Spine,2,1,Image 1,1,1,100000002,610000002086,
22.5156,,Spine,2,3,Image 1,4,1,100000001,610000002089,
35.0625,,Spine,2,5,Image 1,1,1,100000002,610000002094,
15.5312,,Spine,2,4,Image 1,2,1,100000002,610000002097,
18.5625,,Spine,2,4,Image 1,2,1,100000002,610000002100,
11.0625,,Spine,2,0,Image 1,1,1,100000001,610000002102,
40.0312,,Spine,2,7,Image 1,3,1,100000002,610000002106,
10.0078,,Spine,2,4,Image 1,3,1,100000000,610000002109,
24.0312,,Spine,2,4,Image 1,2,1,100000002,610000002111,
47.5156,,Spine,2,0,Image 1,1,1,100000001,610000002118,
15.0156,,Spine,2,1,Image 1,2,1,100000001,610000002122,
13.5625,,Spine,2,7,Image 1,3,1,100000002,610000002128,
21.0625,,Spine,2,3,Image 1,2,1,100000001,610000002132,
25.0312,,Spine,2,6,Image 1,3,1,100000002,610000002136,
35.0625,,Spine,2,7,Image 1,4,1,100000002,610000002139,
22.5625,,Spine,2,3,Image 1,2,1,100000002,610000002142,
47.0625,,Spine,2,2,Image 1,1,1,100000002,610000002144,
59.5078,,Spine,2,0,Image 1,1,1,100000001,610000002154,
18.0156,,Spine,2,4,Image 1,2,1,100000000,610000002156,
35.5625,,Spine,2,1,Image 1,1,1,100000000,610000002165,
55.0312,,Spine,2,0,Image 1,1,1,100000001,610000002172,
24.0625,,Spine,2,7,Image 1,3,1,100000002,610000002175,
14.5312,,Spine,2,3,Image 1,3,1,100000002,610000002178,
36.0625,,Spine,2,7,Image 1,3,1,100000002,610000002182,
18.0625,,Spine,2,1,Image 1,2,1,100000000,610000002184,
40.0625,,Spine,2,2,Image 1,1,1,100000001,610000002189,
25.0312,,Spine,2,4,Image 1,2,1,100000002,610000002193,
42.0312,,Spine,2,4,Image 1,4,1,100000000,610000002195,
12.0625,,Spine,2,3,Image 1,2,1,100000002,610000002197,
16.0156,,Spine,2,3,Image 1,2,1,100000002,610000002200,
43.0156,,Spine,2,5,Image 1,2,1,100000001,610000002206,
