
Segment Center Number of Voxel Ch=1 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
27,,Segment,1,0,Image 1,1,1,100000053,510000000004,
16,,Segment,1,0,Image 1,1,1,100000053,510000000030,
9,,Segment,1,0,Image 1,1,1,100000053,510000000045,
27,,Segment,1,0,Image 1,1,1,100000053,510000000053,
13,,Segment,1,0,Image 1,1,1,100000053,510000000081,
6,,Segment,1,0,Image 1,1,1,100000053,510000000093,
32,,Segment,1,0,Image 1,1,1,100000053,510000000098,
18,,Segment,1,0,Image 1,1,1,100000053,510000000129,
19,,Segment,1,0,Image 1,1,1,100000053,510000000146,
10,,Segment,1,0,Image 1,1,1,100000053,510000000164,
7,,Segment,1,0,Image 1,1,1,100000053,510000000173,
10,,Segment,1,0,Image 1,1,1,100000053,510000000179,
42,,Segment,1,0,Image 1,1,1,100000054,510000000281,
11,,Segment,1,0,Image 1,1,1,100000054,510000000283,
3,,Segment,1,0,Image 1,1,1,100000054,510000000293,
10,,Segment,1,0,Image 1,1,1,100000054,510000000295,
36,,Segment,1,1,Image 1,1,1,100000003,510000000401,
9,,Segment,1,0,Image 1,1,1,100000003,510000000411,
12,,Segment,1,0,Image 1,1,1,100000053,510000000432,
20,,Segment,1,0,Image 1,1,1,100000053,510000000451,
40,,Segment,1,0,Image 1,1,1,100000053,510000000491,
3,,Segment,1,0,Image 1,1,1,100000053,510000000493,
12,,Segment,1,0,Image 1,1,1,100000053,510000000504,
14,,Segment,1,0,Image 1,1,1,100000053,510000000517,
44,,Segment,1,0,Image 1,1,1,100000053,510000000560,
3,,Segment,1,0,Image 1,1,1,100000053,510000000562,
10,,Segment,1,0,Image 1,1,1,100000053,510000000571,
11,,Segment,1,0,Image 1,1,1,100000053,510000000581,
27,,Segment,1,0,Image 1,1,1,100000053,510000000607,
20,,Segment,1,0,Image 1,1,1,100000053,510000000626,
26,,Segment,1,0,Image 1,1,1,100000053,510000000651,
