
Segment Volume
 ==================== 
Segment Volume,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.141127,µm^3,Segment,,,1,100000053,510000000004,
0.113593,µm^3,Segment,,,1,100000053,510000000030,
0.181357,µm^3,Segment,,,1,100000053,510000000045,
0.398824,µm^3,Segment,,,1,100000053,510000000053,
0.231523,µm^3,Segment,,,1,100000053,510000000081,
0.0999968,µm^3,Segment,,,1,100000053,510000000093,
0.713569,µm^3,Segment,,,1,100000053,510000000098,
0.480914,µm^3,Segment,,,1,100000053,510000000129,
0.4613,µm^3,Segment,,,1,100000053,510000000146,
0.261728,µm^3,Segment,,,1,100000053,510000000164,
0.14693,µm^3,Segment,,,1,100000053,510000000173,
0.180425,µm^3,Segment,,,1,100000053,510000000179,
0.716237,µm^3,Segment,,,1,100000054,510000000281,
0.47083,µm^3,Segment,,,1,100000054,510000000283,
0.0478721,µm^3,Segment,,,1,100000054,510000000293,
0.204821,µm^3,Segment,,,1,100000054,510000000295,
0.466271,µm^3,Segment,1,1,1,100000003,510000000401,
0.153269,µm^3,Segment,0,1,1,100000003,510000000411,
0.0878428,µm^3,Segment,,,1,100000053,510000000432,
0.21798,µm^3,Segment,,,1,100000053,510000000451,
0.362236,µm^3,Segment,,,1,100000053,510000000491,
0.0652854,µm^3,Segment,,,1,100000053,510000000493,
0.156266,µm^3,Segment,,,1,100000053,510000000504,
0.0996878,µm^3,Segment,,,1,100000053,510000000517,
0.932054,µm^3,Segment,,,1,100000053,510000000560,
0.0396606,µm^3,Segment,,,1,100000053,510000000562,
0.210805,µm^3,Segment,,,1,100000053,510000000571,
0.141306,µm^3,Segment,,,1,100000053,510000000581,
0.443544,µm^3,Segment,,,1,100000053,510000000607,
0.260857,µm^3,Segment,,,1,100000053,510000000626,
0.606047,µm^3,Segment,,,1,100000053,510000000651,
0.079321,µm^3,Segment,,,1,100000053,510000000660,
0.141663,µm^3,Segment,,,1,100000053,510000000668,
0.429197,µm^3,Segment,,,1,100000053,510000000684,
0.139063,µm^3,Segment,,,1,100000053,510000000690,
0.0584213,µm^3,Segment,,,1,100000053,510000000692,
0.0728421,µm^3,Segment,,,1,100000053,510000000698,
0.202049,µm^3,Segment,,,1,100000053,510000000717,
0.0881383,µm^3,Segment,,,1,100000053,510000000723,
0.125944,µm^3,Segment,,,1,100000053,510000000737,
0.0308709,µm^3,Segment,,,1,100000053,510000000739,
0.0733324,µm^3,Segment,,,1,100000053,510000000742,
0.0505594,µm^3,Segment,,,1,100000053,510000000746,
0.084408,µm^3,Segment,,,1,100000053,510000000753,
0.256931,µm^3,Segment,,,1,100000053,510000000764,
0.0921138,µm^3,Segment,,,1,100000053,510000000768,
0.0825743,µm^3,Segment,,,1,100000053,510000000774,
0.403978,µm^3,Segment,,,1,100000054,510000000833,
0.254965,µm^3,Segment,,,1,100000054,510000000847,
0.192586,µm^3,Segment,,,1,100000054,510000000861,
0.305842,µm^3,Segment,,,1,100000054,510000000868,
0.103147,µm^3,Segment,,,1,100000054,510000000872,
0.180957,µm^3,Segment,,,1,100000038,510000000874,
0.378504,µm^3,Segment,,,1,100000038,510000000881,
0.22175,µm^3,Segment,,,1,100000038,510000000898,
0.0873882,µm^3,Segment,,,1,100000038,510000000912,
0.433617,µm^3,Segment,,,1,100000038,510000000915,
0.640416,µm^3,Segment,3,2,1,100000037,510000000990,
0.120202,µm^3,Segment,2,2,1,100000037,510000000998,
0.138895,µm^3,Segment,1,1,1,100000037,510000001004,
0.0476596,µm^3,Segment,0,1,1,100000037,510000001008,
0.13259,µm^3,Segment,,,1,100000038,510000001029,
0.150808,µm^3,Segment,,,1,100000038,510000001032,
0.165313,µm^3,Segment,,,1,100000038,510000001050,
0.0979463,µm^3,Segment,,,1,100000038,510000001055,
0.185757,µm^3,Segment,,,1,100000038,510000001072,
0.0302704,µm^3,Segment,,,1,100000038,510000001075,
0.0951997,µm^3,Segment,,,1,100000038,510000001086,
0.2994,µm^3,Segment,,,1,100000038,510000001107,
0.129717,µm^3,Segment,,,1,100000038,510000001125,
0.111857,µm^3,Segment,,,1,100000038,510000001140,
0.0291788,µm^3,Segment,,,1,100000038,510000001143,
0.103226,µm^3,Segment,,,1,100000038,510000001153,
0.116347,µm^3,Segment,,,1,100000038,510000001169,
0.0308682,µm^3,Segment,,,1,100000038,510000001173,
0.123856,µm^3,Segment,,,1,100000038,510000001200,
0.373516,µm^3,Segment,4,2,1,100000000,510000001267,
0.0848583,µm^3,Segment,3,2,1,100000000,510000001274,
0.344109,µm^3,Segment,2,1,1,100000000,510000001293,
0.395155,µm^3,Segment,1,1,1,100000000,510000001313,
0.459017,µm^3,Segment,0,1,1,100000000,510000001339,
0.545886,µm^3,Segment,4,2,1,100000037,510000001372,
0.262965,µm^3,Segment,3,2,1,100000037,510000001392,
0.290798,µm^3,Segment,2,1,1,100000037,510000001408,
0.281978,µm^3,Segment,1,1,1,100000037,510000001422,
0.0531314,µm^3,Segment,0,1,1,100000037,510000001426,
0.0304055,µm^3,Segment,3,4,1,100000003,510000001444,
0.27137,µm^3,Segment,2,3,1,100000003,510000001480,
0.53023,µm^3,Segment,1,2,1,100000003,510000001549,
0.0642176,µm^3,Segment,3,3,1,100000003,510000001554,
0.0960713,µm^3,Segment,4,3,1,100000037,510000001561,
0.210835,µm^3,Segment,3,1,1,100000000,510000001592,
0.040567,µm^3,Segment,4,3,1,100000000,510000001597,
0.0166467,µm^3,Segment,6,3,1,100000003,510000001599,
0.358962,µm^3,Segment,5,2,1,100000003,510000001633,
