
Segment Center Intensity Mean Ch=4 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,4,4,Image 1,4,1,100000000,510000000054,
0,,Segment,4,3,Image 1,3,1,100000000,510000000070,
0,,Segment,4,2,Image 1,2,1,100000000,510000000088,
2.83333,,Segment,4,1,Image 1,2,1,100000000,510000000093,
0,,Segment,4,0,Image 1,1,1,100000000,510000000113,
0,,Segment,4,4,Image 1,3,1,100000000,510000000125,
0,,Segment,4,3,Image 1,2,1,100000000,510000000131,
0,,Segment,4,16,Image 1,9,1,100000001,510000000142,
0,,Segment,4,15,Image 1,8,1,100000001,510000000156,
0,,Segment,4,14,Image 1,7,1,100000001,510000000188,
0,,Segment,4,13,Image 1,6,1,100000001,510000000197,
4.92857,,Segment,4,12,Image 1,6,1,100000001,510000000210,
0.666667,,Segment,4,11,Image 1,5,1,100000001,510000000254,
0,,Segment,4,10,Image 1,4,1,100000001,510000000256,
0,,Segment,4,9,Image 1,4,1,100000001,510000000259,
0,,Segment,4,8,Image 1,4,1,100000001,510000000263,
0,,Segment,4,7,Image 1,4,1,100000001,510000000287,
0,,Segment,4,6,Image 1,4,1,100000001,510000000303,
0,,Segment,4,5,Image 1,4,1,100000001,510000000308,
0,,Segment,4,4,Image 1,3,1,100000001,510000000315,
0,,Segment,4,3,Image 1,3,1,100000001,510000000328,
0,,Segment,4,2,Image 1,2,1,100000001,510000000348,
0,,Segment,4,1,Image 1,1,1,100000001,510000000354,
0,,Segment,4,0,Image 1,1,1,100000001,510000000377,
0,,Segment,4,16,Image 1,8,1,100000001,510000000387,
0,,Segment,4,15,Image 1,7,1,100000001,510000000407,
0,,Segment,4,14,Image 1,6,1,100000001,510000000415,
0,,Segment,4,13,Image 1,7,1,100000001,510000000424,
0,,Segment,4,12,Image 1,5,1,100000001,510000000431,
0.756757,,Segment,4,11,Image 1,5,1,100000001,510000000467,
0,,Segment,4,6,Image 1,2,1,100000002,510000000501,
0,,Segment,4,5,Image 1,2,1,100000002,510000000559,
0,,Segment,4,4,Image 1,2,1,100000002,510000000583,
1.72727,,Segment,4,3,Image 1,2,1,100000002,510000000604,
17.875,,Segment,4,2,Image 1,2,1,100000002,510000000611,
16.5,,Segment,4,1,Image 1,1,1,100000002,510000000620,
0,,Segment,4,0,Image 1,1,1,100000002,510000000627,
0,,Segment,4,11,Image 1,6,1,100000001,510000000644,
0,,Segment,4,10,Image 1,5,1,100000001,510000000659,
0,,Segment,4,11,Image 1,5,1,100000001,510000000670,
2.61111,,Segment,4,11,Image 1,4,1,100000001,510000000687,
0,,Segment,4,8,Image 1,5,1,100000001,510000000702,
0,,Segment,4,9,Image 1,5,1,100000001,510000000710,
0,,Segment,4,5,Image 1,3,1,100000002,510000000735,
0,,Segment,4,4,Image 1,2,1,100000002,510000000743,
0,,Segment,4,3,Image 1,2,1,100000002,510000000797,
0,,Segment,4,2,Image 1,1,1,100000002,510000000810,
0,,Segment,4,6,Image 1,3,1,100000002,510000000817,
0,,Segment,4,9,Image 1,3,1,100000002,510000000837,
0,,Segment,4,8,Image 1,2,1,100000002,510000000864,
0,,Segment,4,7,Image 1,2,1,100000002,510000000870,
0,,Segment,4,6,Image 1,1,1,100000002,510000000875,
0,,Segment,4,5,Image 1,1,1,100000002,510000000892,
0,,Segment,4,4,Image 1,1,1,100000002,510000000901,
0,,Segment,4,3,Image 1,1,1,100000002,510000000913,
0,,Segment,4,7,Image 1,5,1,100000001,510000000921,
0,,Segment,4,9,Image 1,2,1,100000002,510000000928,
0,,Segment,4,4,Image 1,2,1,100000000,510000000947,
0,,Segment,4,3,Image 1,2,1,100000000,510000000965,
0,,Segment,4,2,Image 1,1,1,100000000,510000000996,
0,,Segment,4,1,Image 1,1,1,100000000,510000001008,
0,,Segment,4,6,Image 1,4,1,100000001,510000001018,
0,,Segment,4,5,Image 1,3,1,100000001,510000001027,
0,,Segment,4,4,Image 1,3,1,100000001,510000001052,
0,,Segment,4,3,Image 1,2,1,100000001,510000001056,
0,,Segment,4,5,Image 1,2,1,100000002,510000001059,
0,,Segment,4,4,Image 1,3,1,100000000,510000001066,
0,,Segment,4,6,Image 1,5,1,100000001,510000001068,
0,,Segment,4,4,Image 1,3,1,100000002,510000001070,
0,,Segment,4,5,Image 1,3,1,100000001,510000001073,
0,,Segment,4,6,Image 1,3,1,100000002,510000001082,
0,,Segment,4,5,Image 1,3,1,100000002,510000001103,
0,,Segment,4,6,Image 1,4,1,100000002,510000001112,
0,,Segment,4,4,Image 1,2,1,100000001,510000001157,
0,,Segment,4,5,Image 1,4,1,100000001,510000001166,
0,,Segment,4,8,Image 1,3,1,100000002,510000001169,
0,,Segment,4,3,Image 1,2,1,100000001,510000001195,
0,,Segment,4,2,Image 1,2,1,100000001,510000001216,
0,,Segment,4,1,Image 1,1,1,100000001,510000001233,
0,,Segment,4,0,Image 1,1,1,100000001,510000001245,
0,,Segment,4,6,Image 1,3,1,100000001,510000001259,
0,,Segment,4,3,Image 1,3,1,100000001,510000001274,
0,,Segment,4,7,Image 1,1,1,100000002,510000001283,
0,,Segment,4,4,Image 1,4,1,100000002,510000001299,
0,,Segment,4,3,Image 1,3,1,100000002,510000001313,
0,,Segment,4,2,Image 1,2,1,100000002,510000001323,
0,,Segment,4,1,Image 1,2,1,100000002,510000001340,
0,,Segment,4,4,Image 1,3,1,100000002,510000001354,
0,,Segment,4,6,Image 1,2,1,100000002,510000001359,
0,,Segment,4,3,Image 1,1,1,100000000,510000001362,
0,,Segment,4,2,Image 1,3,1,100000001,510000001390,
0,,Segment,4,1,Image 1,2,1,100000001,510000001402,
0,,Segment,4,5,Image 1,4,1,100000000,510000001429,
0,,Segment,4,4,Image 1,3,1,100000000,510000001436,
0,,Segment,4,3,Image 1,2,1,100000000,510000001442,
0,,Segment,4,2,Image 1,2,1,100000000,510000001449,
0,,Segment,4,6,Image 1,4,1,100000000,510000001456,
0,,Segment,4,5,Image 1,3,1,100000000,510000001463,
0,,Segment,4,4,Image 1,4,1,100000001,510000001465,
0,,Segment,4,4,Image 1,3,1,100000002,510000001472,
0,,Segment,4,6,Image 1,3,1,100000000,510000001474,
0,,Segment,4,5,Image 1,2,1,100000002,510000001479,
0,,Segment,4,3,Image 1,2,1,100000002,510000001488,
0,,Segment,4,2,Image 1,1,1,100000002,510000001493,
0,,Segment,4,1,Image 1,1,1,100000002,510000001501,
