
Segment Center Intensity Median Ch=1 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1.00781,,Segment,1,4,Image 1,4,1,100000000,510000000054,
1.00391,,Segment,1,3,Image 1,3,1,100000000,510000000070,
1.00391,,Segment,1,2,Image 1,2,1,100000000,510000000088,
8.51562,,Segment,1,1,Image 1,2,1,100000000,510000000093,
5.00781,,Segment,1,0,Image 1,1,1,100000000,510000000113,
0.00390625,,Segment,1,4,Image 1,3,1,100000000,510000000125,
1.00195,,Segment,1,3,Image 1,2,1,100000000,510000000131,
1.50391,,Segment,1,16,Image 1,9,1,100000001,510000000142,
1.00391,,Segment,1,15,Image 1,8,1,100000001,510000000156,
2.00781,,Segment,1,14,Image 1,7,1,100000001,510000000188,
0.501953,,Segment,1,13,Image 1,6,1,100000001,510000000197,
3.01562,,Segment,1,12,Image 1,6,1,100000001,510000000210,
1.01562,,Segment,1,11,Image 1,5,1,100000001,510000000254,
3,,Segment,1,10,Image 1,4,1,100000001,510000000256,
0.500977,,Segment,1,9,Image 1,4,1,100000001,510000000259,
1.00195,,Segment,1,8,Image 1,4,1,100000001,510000000263,
1.00195,,Segment,1,7,Image 1,4,1,100000001,510000000287,
1.00195,,Segment,1,6,Image 1,4,1,100000001,510000000303,
0.000976562,,Segment,1,5,Image 1,4,1,100000001,510000000308,
0.000976562,,Segment,1,4,Image 1,3,1,100000001,510000000315,
1.00195,,Segment,1,3,Image 1,3,1,100000001,510000000328,
1.00391,,Segment,1,2,Image 1,2,1,100000001,510000000348,
1.00391,,Segment,1,1,Image 1,1,1,100000001,510000000354,
1.00391,,Segment,1,0,Image 1,1,1,100000001,510000000377,
0.00195312,,Segment,1,16,Image 1,8,1,100000001,510000000387,
1.00391,,Segment,1,15,Image 1,7,1,100000001,510000000407,
2.00195,,Segment,1,14,Image 1,6,1,100000001,510000000415,
2.50391,,Segment,1,13,Image 1,7,1,100000001,510000000424,
1.00195,,Segment,1,12,Image 1,5,1,100000001,510000000431,
1.01562,,Segment,1,11,Image 1,5,1,100000001,510000000467,
1.00391,,Segment,1,6,Image 1,2,1,100000002,510000000501,
1.00781,,Segment,1,5,Image 1,2,1,100000002,510000000559,
1.00195,,Segment,1,4,Image 1,2,1,100000002,510000000583,
2.03125,,Segment,1,3,Image 1,2,1,100000002,510000000604,
16.5312,,Segment,1,2,Image 1,2,1,100000002,510000000611,
6.0625,,Segment,1,1,Image 1,1,1,100000002,510000000620,
1.00195,,Segment,1,0,Image 1,1,1,100000002,510000000627,
1.00391,,Segment,1,11,Image 1,6,1,100000001,510000000644,
1.00391,,Segment,1,10,Image 1,5,1,100000001,510000000659,
0.00195312,,Segment,1,11,Image 1,5,1,100000001,510000000670,
2.01562,,Segment,1,11,Image 1,4,1,100000001,510000000687,
0.00195312,,Segment,1,8,Image 1,5,1,100000001,510000000702,
1.00195,,Segment,1,9,Image 1,5,1,100000001,510000000710,
1.00195,,Segment,1,5,Image 1,3,1,100000002,510000000735,
1.00195,,Segment,1,4,Image 1,2,1,100000002,510000000743,
1.00391,,Segment,1,3,Image 1,2,1,100000002,510000000797,
2.00391,,Segment,1,2,Image 1,1,1,100000002,510000000810,
0.000976562,,Segment,1,6,Image 1,3,1,100000002,510000000817,
1.00391,,Segment,1,9,Image 1,3,1,100000002,510000000837,
1.00391,,Segment,1,8,Image 1,2,1,100000002,510000000864,
1.00195,,Segment,1,7,Image 1,2,1,100000002,510000000870,
0.501953,,Segment,1,6,Image 1,1,1,100000002,510000000875,
1.00195,,Segment,1,5,Image 1,1,1,100000002,510000000892,
1.50195,,Segment,1,4,Image 1,1,1,100000002,510000000901,
3.00391,,Segment,1,3,Image 1,1,1,100000002,510000000913,
1.00195,,Segment,1,7,Image 1,5,1,100000001,510000000921,
2.00195,,Segment,1,9,Image 1,2,1,100000002,510000000928,
1,,Segment,1,4,Image 1,2,1,100000000,510000000947,
