
Segment Center Number of Voxel Ch=4 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
53,,Segment,4,4,Image 1,4,1,100000000,510000000054,
17,,Segment,4,3,Image 1,3,1,100000000,510000000070,
19,,Segment,4,2,Image 1,2,1,100000000,510000000088,
6,,Segment,4,1,Image 1,2,1,100000000,510000000093,
4,,Segment,4,0,Image 1,1,1,100000000,510000000113,
13,,Segment,4,4,Image 1,3,1,100000000,510000000125,
6,,Segment,4,3,Image 1,2,1,100000000,510000000131,
12,,Segment,4,16,Image 1,9,1,100000001,510000000142,
15,,Segment,4,15,Image 1,8,1,100000001,510000000156,
33,,Segment,4,14,Image 1,7,1,100000001,510000000188,
10,,Segment,4,13,Image 1,6,1,100000001,510000000197,
14,,Segment,4,12,Image 1,6,1,100000001,510000000210,
45,,Segment,4,11,Image 1,5,1,100000001,510000000254,
3,,Segment,4,10,Image 1,4,1,100000001,510000000256,
4,,Segment,4,9,Image 1,4,1,100000001,510000000259,
5,,Segment,4,8,Image 1,4,1,100000001,510000000263,
25,,Segment,4,7,Image 1,4,1,100000001,510000000287,
17,,Segment,4,6,Image 1,4,1,100000001,510000000303,
6,,Segment,4,5,Image 1,4,1,100000001,510000000308,
8,,Segment,4,4,Image 1,3,1,100000001,510000000315,
14,,Segment,4,3,Image 1,3,1,100000001,510000000328,
21,,Segment,4,2,Image 1,2,1,100000001,510000000348,
7,,Segment,4,1,Image 1,1,1,100000001,510000000354,
15,,Segment,4,0,Image 1,1,1,100000001,510000000377,
10,,Segment,4,16,Image 1,8,1,100000001,510000000387,
21,,Segment,4,15,Image 1,7,1,100000001,510000000407,
7,,Segment,4,14,Image 1,6,1,100000001,510000000415,
10,,Segment,4,13,Image 1,7,1,100000001,510000000424,
8,,Segment,4,12,Image 1,5,1,100000001,510000000431,
37,,Segment,4,11,Image 1,5,1,100000001,510000000467,
35,,Segment,4,6,Image 1,2,1,100000002,510000000501,
59,,Segment,4,5,Image 1,2,1,100000002,510000000559,
25,,Segment,4,4,Image 1,2,1,100000002,510000000583,
22,,Segment,4,3,Image 1,2,1,100000002,510000000604,
8,,Segment,4,2,Image 1,2,1,100000002,510000000611,
10,,Segment,4,1,Image 1,1,1,100000002,510000000620,
4,,Segment,4,0,Image 1,1,1,100000002,510000000627,
16,,Segment,4,11,Image 1,6,1,100000001,510000000644,
16,,Segment,4,10,Image 1,5,1,100000001,510000000659,
12,,Segment,4,11,Image 1,5,1,100000001,510000000670,
18,,Segment,4,11,Image 1,4,1,100000001,510000000687,
15,,Segment,4,8,Image 1,5,1,100000001,510000000702,
9,,Segment,4,9,Image 1,5,1,100000001,510000000710,
26,,Segment,4,5,Image 1,3,1,100000002,510000000735,
9,,Segment,4,4,Image 1,2,1,100000002,510000000743,
55,,Segment,4,3,Image 1,2,1,100000002,510000000797,
14,,Segment,4,2,Image 1,1,1,100000002,510000000810,
8,,Segment,4,6,Image 1,3,1,100000002,510000000817,
21,,Segment,4,9,Image 1,3,1,100000002,510000000837,
28,,Segment,4,8,Image 1,2,1,100000002,510000000864,
7,,Segment,4,7,Image 1,2,1,100000002,510000000870,
6,,Segment,4,6,Image 1,1,1,100000002,510000000875,
18,,Segment,4,5,Image 1,1,1,100000002,510000000892,
10,,Segment,4,4,Image 1,1,1,100000002,510000000901,
13,,Segment,4,3,Image 1,1,1,100000002,510000000913,
9,,Segment,4,7,Image 1,5,1,100000001,510000000921,
6,,Segment,4,9,Image 1,2,1,100000002,510000000928,
20,,Segment,4,4,Image 1,2,1,100000000,510000000947,
19,,Segment,4,3,Image 1,2,1,100000000,510000000965,
32,,Segment,4,2,Image 1,1,1,100000000,510000000996,
13,,Segment,4,1,Image 1,1,1,100000000,510000001008,
11,,Segment,4,6,Image 1,4,1,100000001,510000001018,
10,,Segment,4,5,Image 1,3,1,100000001,510000001027,
26,,Segment,4,4,Image 1,3,1,100000001,510000001052,
5,,Segment,4,3,Image 1,2,1,100000001,510000001056,
4,,Segment,4,5,Image 1,2,1,100000002,510000001059,
8,,Segment,4,4,Image 1,3,1,100000000,510000001066,
3,,Segment,4,6,Image 1,5,1,100000001,510000001068,
3,,Segment,4,4,Image 1,3,1,100000002,510000001070,
4,,Segment,4,5,Image 1,3,1,100000001,510000001073,
10,,Segment,4,6,Image 1,3,1,100000002,510000001082,
22,,Segment,4,5,Image 1,3,1,100000002,510000001103,
10,,Segment,4,6,Image 1,4,1,100000002,510000001112,
46,,Segment,4,4,Image 1,2,1,100000001,510000001157,
10,,Segment,4,5,Image 1,4,1,100000001,510000001166,
4,,Segment,4,8,Image 1,3,1,100000002,510000001169,
27,,Segment,4,3,Image 1,2,1,100000001,510000001195,
22,,Segment,4,2,Image 1,2,1,100000001,510000001216,
18,,Segment,4,1,Image 1,1,1,100000001,510000001233,
12,,Segment,4,0,Image 1,1,1,100000001,510000001245,
3,,Segment,4,6,Image 1,3,1,100000001,510000001259,
16,,Segment,4,3,Image 1,3,1,100000001,510000001274,
10,,Segment,4,7,Image 1,1,1,100000002,510000001283,
17,,Segment,4,4,Image 1,4,1,100000002,510000001299,
15,,Segment,4,3,Image 1,3,1,100000002,510000001313,
11,,Segment,4,2,Image 1,2,1,100000002,510000001323,
18,,Segment,4,1,Image 1,2,1,100000002,510000001340,
14,,Segment,4,4,Image 1,3,1,100000002,510000001354,
6,,Segment,4,6,Image 1,2,1,100000002,510000001359,
4,,Segment,4,3,Image 1,1,1,100000000,510000001362,
29,,Segment,4,2,Image 1,3,1,100000001,510000001390,
13,,Segment,4,1,Image 1,2,1,100000001,510000001402,
28,,Segment,4,5,Image 1,4,1,100000000,510000001429,
8,,Segment,4,4,Image 1,3,1,100000000,510000001436,
7,,Segment,4,3,Image 1,2,1,100000000,510000001442,
8,,Segment,4,2,Image 1,2,1,100000000,510000001449,
8,,Segment,4,6,Image 1,4,1,100000000,510000001456,
8,,Segment,4,5,Image 1,3,1,100000000,510000001463,
3,,Segment,4,4,Image 1,4,1,100000001,510000001465,
8,,Segment,4,4,Image 1,3,1,100000002,510000001472,
3,,Segment,4,6,Image 1,3,1,100000000,510000001474,
6,,Segment,4,5,Image 1,2,1,100000002,510000001479,
10,,Segment,4,3,Image 1,2,1,100000002,510000001488,
6,,Segment,4,2,Image 1,1,1,100000002,510000001493,
9,,Segment,4,1,Image 1,1,1,100000002,510000001501,
19,,Segment,4,0,Image 1,1,1,100000002,510000001529,
12,,Segment,4,3,Image 1,3,1,100000001,510000001540,
13,,Segment,4,2,Image 1,2,1,100000001,510000001552,
6,,Segment,4,2,Image 1,2,1,100000002,510000001557,
16,,Segment,4,2,Image 1,1,1,100000001,510000001572,
6,,Segment,4,4,Image 1,2,1,100000002,510000001577,
22,,Segment,4,2,Image 1,3,1,100000000,510000001599,
17,,Segment,4,2,Image 1,3,1,100000002,510000001617,
5,,Segment,4,1,Image 1,2,1,100000002,510000001621,
45,,Segment,4,0,Image 1,1,1,100000000,510000001666,
7,,Segment,4,3,Image 1,2,1,100000001,510000001682,
7,,Segment,4,3,Image 1,3,1,100000000,510000001688,
4,,Segment,4,4,Image 1,2,1,100000000,510000001691,
12,,Segment,4,3,Image 1,3,1,100000002,510000001702,
9,,Segment,4,2,Image 1,1,1,100000001,510000001710,
12,,Segment,4,1,Image 1,2,1,100000001,510000001721,
23,,Segment,4,1,Image 1,1,1,100000000,510000001743,
13,,Segment,4,0,Image 1,1,1,100000000,510000001759,
9,,Segment,4,0,Image 1,1,1,100000001,510000001788,
16,,Segment,4,1,Image 1,2,1,100000000,510000001803,
5,,Segment,4,0,Image 1,1,1,100000001,510000001808,
4,,Segment,4,0,Image 1,1,1,100000002,510000001814,
8,,Segment,4,0,Image 1,1,1,100000001,510000001823,
3,,Segment,4,0,Image 1,1,1,100000002,510000001843,
12,,Segment,4,0,Image 1,1,1,100000001,510000001866,
2,,Segment,4,0,Image 1,1,1,100000000,510000001876,
7,,Segment,4,0,Image 1,1,1,100000001,510000001895,
13,,Segment,4,0,Image 1,1,1,100000000,510000001907,
