
Segment Number of Voxel Ch=1 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1887,,Segment,1,4,Image 1,4,1,100000000,510000000054,
1055,,Segment,1,3,Image 1,3,1,100000000,510000000070,
539,,Segment,1,2,Image 1,2,1,100000000,510000000088,
86,,Segment,1,1,Image 1,2,1,100000000,510000000093,
190,,Segment,1,0,Image 1,1,1,100000000,510000000113,
421,,Segment,1,4,Image 1,3,1,100000000,510000000125,
499,,Segment,1,3,Image 1,2,1,100000000,510000000131,
225,,Segment,1,16,Image 1,9,1,100000001,510000000142,
433,,Segment,1,15,Image 1,8,1,100000001,510000000156,
921,,Segment,1,14,Image 1,7,1,100000001,510000000188,
335,,Segment,1,13,Image 1,6,1,100000001,510000000197,
547,,Segment,1,12,Image 1,6,1,100000001,510000000210,
1655,,Segment,1,11,Image 1,5,1,100000001,510000000254,
338,,Segment,1,10,Image 1,4,1,100000001,510000000256,
319,,Segment,1,9,Image 1,4,1,100000001,510000000259,
261,,Segment,1,8,Image 1,4,1,100000001,510000000263,
927,,Segment,1,7,Image 1,4,1,100000001,510000000287,
567,,Segment,1,6,Image 1,4,1,100000001,510000000303,
245,,Segment,1,5,Image 1,4,1,100000001,510000000308,
374,,Segment,1,4,Image 1,3,1,100000001,510000000315,
487,,Segment,1,3,Image 1,3,1,100000001,510000000328,
1030,,Segment,1,2,Image 1,2,1,100000001,510000000348,
409,,Segment,1,1,Image 1,1,1,100000001,510000000354,
1086,,Segment,1,0,Image 1,1,1,100000001,510000000377,
387,,Segment,1,16,Image 1,8,1,100000001,510000000387,
413,,Segment,1,15,Image 1,7,1,100000001,510000000407,
158,,Segment,1,14,Image 1,6,1,100000001,510000000415,
226,,Segment,1,13,Image 1,7,1,100000001,510000000424,
255,,Segment,1,12,Image 1,5,1,100000001,510000000431,
1220,,Segment,1,11,Image 1,5,1,100000001,510000000467,
410,,Segment,1,6,Image 1,2,1,100000002,510000000501,
1737,,Segment,1,5,Image 1,2,1,100000002,510000000559,
1025,,Segment,1,4,Image 1,2,1,100000002,510000000583,
959,,Segment,1,3,Image 1,2,1,100000002,510000000604,
394,,Segment,1,2,Image 1,2,1,100000002,510000000611,
673,,Segment,1,1,Image 1,1,1,100000002,510000000620,
391,,Segment,1,0,Image 1,1,1,100000002,510000000627,
459,,Segment,1,11,Image 1,6,1,100000001,510000000644,
540,,Segment,1,10,Image 1,5,1,100000001,510000000659,
338,,Segment,1,11,Image 1,5,1,100000001,510000000670,
1313,,Segment,1,11,Image 1,4,1,100000001,510000000687,
361,,Segment,1,8,Image 1,5,1,100000001,510000000702,
337,,Segment,1,9,Image 1,5,1,100000001,510000000710,
825,,Segment,1,5,Image 1,3,1,100000002,510000000735,
419,,Segment,1,4,Image 1,2,1,100000002,510000000743,
1536,,Segment,1,3,Image 1,2,1,100000002,510000000797,
890,,Segment,1,2,Image 1,1,1,100000002,510000000810,
115,,Segment,1,6,Image 1,3,1,100000002,510000000817,
607,,Segment,1,9,Image 1,3,1,100000002,510000000837,
695,,Segment,1,8,Image 1,2,1,100000002,510000000864,
100,,Segment,1,7,Image 1,2,1,100000002,510000000870,
63,,Segment,1,6,Image 1,1,1,100000002,510000000875,
179,,Segment,1,5,Image 1,1,1,100000002,510000000892,
384,,Segment,1,4,Image 1,1,1,100000002,510000000901,
497,,Segment,1,3,Image 1,1,1,100000002,510000000913,
149,,Segment,1,7,Image 1,5,1,100000001,510000000921,
431,,Segment,1,9,Image 1,2,1,100000002,510000000928,
699,,Segment,1,4,Image 1,2,1,100000000,510000000947,
874,,Segment,1,3,Image 1,2,1,100000000,510000000965,
1724,,Segment,1,2,Image 1,1,1,100000000,510000000996,
753,,Segment,1,1,Image 1,1,1,100000000,510000001008,
256,,Segment,1,6,Image 1,4,1,100000001,510000001018,
357,,Segment,1,5,Image 1,3,1,100000001,510000001027,
779,,Segment,1,4,Image 1,3,1,100000001,510000001052,
342,,Segment,1,3,Image 1,2,1,100000001,510000001056,
374,,Segment,1,5,Image 1,2,1,100000002,510000001059,
269,,Segment,1,4,Image 1,3,1,100000000,510000001066,
97,,Segment,1,6,Image 1,5,1,100000001,510000001068,
140,,Segment,1,4,Image 1,3,1,100000002,510000001070,
246,,Segment,1,5,Image 1,3,1,100000001,510000001073,
176,,Segment,1,6,Image 1,3,1,100000002,510000001082,
348,,Segment,1,5,Image 1,3,1,100000002,510000001103,
236,,Segment,1,6,Image 1,4,1,100000002,510000001112,
1653,,Segment,1,4,Image 1,2,1,100000001,510000001157,
246,,Segment,1,5,Image 1,4,1,100000001,510000001166,
40,,Segment,1,8,Image 1,3,1,100000002,510000001169,
1040,,Segment,1,3,Image 1,2,1,100000001,510000001195,
1181,,Segment,1,2,Image 1,2,1,100000001,510000001216,
1958,,Segment,1,1,Image 1,1,1,100000001,510000001233,
1417,,Segment,1,0,Image 1,1,1,100000001,510000001245,
205,,Segment,1,6,Image 1,3,1,100000001,510000001259,
671,,Segment,1,3,Image 1,3,1,100000001,510000001274,
229,,Segment,1,7,Image 1,1,1,100000002,510000001283,
139,,Segment,1,4,Image 1,4,1,100000002,510000001299,
479,,Segment,1,3,Image 1,3,1,100000002,510000001313,
319,,Segment,1,2,Image 1,2,1,100000002,510000001323,
680,,Segment,1,1,Image 1,2,1,100000002,510000001340,
141,,Segment,1,4,Image 1,3,1,100000002,510000001354,
75,,Segment,1,6,Image 1,2,1,100000002,510000001359,
461,,Segment,1,3,Image 1,1,1,100000000,510000001362,
1077,,Segment,1,2,Image 1,3,1,100000001,510000001390,
1253,,Segment,1,1,Image 1,2,1,100000001,510000001402,
623,,Segment,1,5,Image 1,4,1,100000000,510000001429,
406,,Segment,1,4,Image 1,3,1,100000000,510000001436,
365,,Segment,1,3,Image 1,2,1,100000000,510000001442,
415,,Segment,1,2,Image 1,2,1,100000000,510000001449,
457,,Segment,1,6,Image 1,4,1,100000000,510000001456,
498,,Segment,1,5,Image 1,3,1,100000000,510000001463,
101,,Segment,1,4,Image 1,4,1,100000001,510000001465,
300,,Segment,1,4,Image 1,3,1,100000002,510000001472,
367,,Segment,1,6,Image 1,3,1,100000000,510000001474,
94,,Segment,1,5,Image 1,2,1,100000002,510000001479,
292,,Segment,1,3,Image 1,2,1,100000002,510000001488,
290,,Segment,1,2,Image 1,1,1,100000002,510000001493,
388,,Segment,1,1,Image 1,1,1,100000002,510000001501,
854,,Segment,1,0,Image 1,1,1,100000002,510000001529,
994,,Segment,1,3,Image 1,3,1,100000001,510000001540,
1022,,Segment,1,2,Image 1,2,1,100000001,510000001552,
213,,Segment,1,2,Image 1,2,1,100000002,510000001557,
1238,,Segment,1,2,Image 1,1,1,100000001,510000001572,
254,,Segment,1,4,Image 1,2,1,100000002,510000001577,
163,,Segment,1,2,Image 1,3,1,100000000,510000001599,
435,,Segment,1,2,Image 1,3,1,100000002,510000001617,
221,,Segment,1,1,Image 1,2,1,100000002,510000001621,
960,,Segment,1,0,Image 1,1,1,100000000,510000001666,
622,,Segment,1,3,Image 1,2,1,100000001,510000001682,
243,,Segment,1,3,Image 1,3,1,100000000,510000001688,
253,,Segment,1,4,Image 1,2,1,100000000,510000001691,
347,,Segment,1,3,Image 1,3,1,100000002,510000001702,
507,,Segment,1,2,Image 1,1,1,100000001,510000001710,
339,,Segment,1,1,Image 1,2,1,100000001,510000001721,
602,,Segment,1,1,Image 1,1,1,100000000,510000001743,
253,,Segment,1,0,Image 1,1,1,100000000,510000001759,
382,,Segment,1,0,Image 1,1,1,100000001,510000001788,
157,,Segment,1,1,Image 1,2,1,100000000,510000001803,
753,,Segment,1,0,Image 1,1,1,100000001,510000001808,
1245,,Segment,1,0,Image 1,1,1,100000002,510000001814,
778,,Segment,1,0,Image 1,1,1,100000001,510000001823,
1009,,Segment,1,0,Image 1,1,1,100000002,510000001843,
1402,,Segment,1,0,Image 1,1,1,100000001,510000001866,
148,,Segment,1,0,Image 1,1,1,100000000,510000001876,
795,,Segment,1,0,Image 1,1,1,100000001,510000001895,
320,,Segment,1,0,Image 1,1,1,100000000,510000001907,
