
Pt Time Type=Segment Branch
 ==================== 
Pt Time,Unit,Category,Depth,Time,Type,FilamentID,ID,
0,s,Point,9,1,Segment Branch,100000000,800000004,
0,s,Point,8,1,Segment Branch,100000000,800000005,
0,s,Point,7,1,Segment Branch,100000000,800000006,
0,s,Point,6,1,Segment Branch,100000000,800000007,
0,s,Point,5,1,Segment Branch,100000000,800000008,
0,s,Point,4,1,Segment Branch,100000000,800000009,
0,s,Point,3,1,Segment Branch,100000000,800000011,
0,s,Point,2,1,Segment Branch,100000000,800000012,
0,s,Point,1,1,Segment Branch,100000000,800000013,
0,s,Point,0,1,Segment Branch,100000000,800000014,
0,s,Point,6,1,Segment Branch,100000000,800000016,
0,s,Point,5,1,Segment Branch,100000000,800000017,
0,s,Point,1,1,Segment Branch,100000000,800000019,
0,s,Point,0,1,Segment Branch,100000000,800000020,
0,s,Point,6,1,Segment Branch,100000000,800000026,
0,s,Point,5,1,Segment Branch,100000000,800000032,
0,s,Point,4,1,Segment Branch,100000000,800000033,
0,s,Point,3,1,Segment Branch,100000000,800000034,
0,s,Point,0,1,Segment Branch,100000000,800000039,
0,s,Point,1,1,Segment Branch,100000000,800000046,
0,s,Point,0,1,Segment Branch,100000000,800000047,
0,s,Point,3,1,Segment Branch,100000001,800000065,
0,s,Point,2,1,Segment Branch,100000001,800000066,
0,s,Point,1,1,Segment Branch,100000001,800000067,
0,s,Point,0,1,Segment Branch,100000001,800000068,
0,s,Point,4,1,Segment Branch,100000001,800000070,
0,s,Point,3,1,Segment Branch,100000001,800000071,
0,s,Point,2,1,Segment Branch,100000001,800000072,
0,s,Point,1,1,Segment Branch,100000001,800000073,
0,s,Point,0,1,Segment Branch,100000001,800000074,
0,s,Point,2,1,Segment Branch,100000001,800000082,
0,s,Point,2,1,Segment Branch,100000002,800000089,
0,s,Point,1,1,Segment Branch,100000002,800000090,
0,s,Point,0,1,Segment Branch,100000002,800000092,
