
Segment Center Intensity Median Ch=5 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,5,3,Image 1,4,1,100000002,510000000013,
0,,Segment,5,2,Image 1,3,1,100000002,510000000015,
0.015625,,Segment,5,1,Image 1,2,1,100000002,510000000050,
0,,Segment,5,0,Image 1,1,1,100000002,510000000054,
0,,Segment,5,3,Image 1,4,1,100000002,510000000057,
0,,Segment,5,3,Image 1,3,1,100000002,510000000059,
0,,Segment,5,2,Image 1,2,1,100000002,510000000062,
0.03125,,Segment,5,1,Image 1,1,1,100000002,510000000102,
0,,Segment,5,0,Image 1,1,1,100000002,510000000135,
0,,Segment,5,4,Image 1,2,1,100000001,510000000145,
0,,Segment,5,3,Image 1,2,1,100000001,510000000158,
0,,Segment,5,2,Image 1,1,1,100000001,510000000167,
0,,Segment,5,1,Image 1,1,1,100000001,510000000173,
0,,Segment,5,0,Image 1,1,1,100000001,510000000193,
0,,Segment,5,5,Image 1,4,1,100000001,510000000205,
0,,Segment,5,4,Image 1,4,1,100000001,510000000207,
0,,Segment,5,3,Image 1,3,1,100000001,510000000227,
0,,Segment,5,2,Image 1,2,1,100000001,510000000233,
0,,Segment,5,0,Image 1,1,1,100000001,510000000240,
0,,Segment,5,4,Image 1,3,1,100000001,510000000245,
0,,Segment,5,4,Image 1,3,1,100000001,510000000250,
0,,Segment,5,5,Image 1,5,1,100000001,510000000256,
0,,Segment,5,3,Image 1,1,1,100000001,510000000269,
0,,Segment,5,10,Image 1,3,1,100000000,510000000278,
0,,Segment,5,9,Image 1,3,1,100000000,510000000281,
0,,Segment,5,8,Image 1,2,1,100000000,510000000298,
0,,Segment,5,7,Image 1,2,1,100000000,510000000301,
0,,Segment,5,6,Image 1,2,1,100000000,510000000307,
0,,Segment,5,5,Image 1,2,1,100000000,510000000309,
0,,Segment,5,4,Image 1,1,1,100000000,510000000314,
0,,Segment,5,3,Image 1,1,1,100000000,510000000316,
0,,Segment,5,2,Image 1,1,1,100000000,510000000318,
0,,Segment,5,0,Image 1,1,1,100000000,510000000321,
0,,Segment,5,7,Image 1,2,1,100000000,510000000361,
0,,Segment,5,6,Image 1,1,1,100000000,510000000366,
0,,Segment,5,5,Image 1,1,1,100000000,510000000369,
0,,Segment,5,2,Image 1,2,1,100000000,510000000394,
0,,Segment,5,1,Image 1,1,1,100000000,510000000402,
0,,Segment,5,0,Image 1,1,1,100000000,510000000406,
0,,Segment,5,10,Image 1,4,1,100000000,510000000412,
0,,Segment,5,2,Image 1,2,1,100000001,510000000420,
0,,Segment,5,8,Image 1,3,1,100000000,510000000442,
0.0078125,,Segment,5,9,Image 1,2,1,100000000,510000000449,
0,,Segment,5,7,Image 1,4,1,100000000,510000000458,
0,,Segment,5,6,Image 1,3,1,100000000,510000000470,
0.015625,,Segment,5,7,Image 1,1,1,100000000,510000000491,
0,,Segment,5,7,Image 1,3,1,100000000,510000000503,
0,,Segment,5,6,Image 1,2,1,100000000,510000000527,
0,,Segment,5,5,Image 1,2,1,100000000,510000000533,
0,,Segment,5,4,Image 1,2,1,100000000,510000000537,
0,,Segment,5,3,Image 1,2,1,100000000,510000000546,
0,,Segment,5,6,Image 1,3,1,100000000,510000000561,
0,,Segment,5,1,Image 1,2,1,100000000,510000000584,
0,,Segment,5,0,Image 1,1,1,100000000,510000000591,
0,,Segment,5,1,Image 1,2,1,100000001,510000000598,
0,,Segment,5,7,Image 1,3,1,100000000,510000000604,
0,,Segment,5,3,Image 1,1,1,100000001,510000000612,
0,,Segment,5,2,Image 1,1,1,100000001,510000000617,
0,,Segment,5,6,Image 1,2,1,100000000,510000000629,
0,,Segment,5,3,Image 1,2,1,100000001,510000000638,
0,,Segment,5,2,Image 1,1,1,100000000,510000000645,
0,,Segment,5,3,Image 1,2,1,100000001,510000000652,
0,,Segment,5,5,Image 1,3,1,100000000,510000000657,
0,,Segment,5,0,Image 1,1,1,100000001,510000000670,
0,,Segment,5,2,Image 1,1,1,100000000,510000000679,
0,,Segment,5,1,Image 1,1,1,100000000,510000000685,
0,,Segment,5,0,Image 1,1,1,100000000,510000000696,
0,,Segment,5,1,Image 1,2,1,100000001,510000000704,
0,,Segment,5,2,Image 1,2,1,100000000,510000000714,
0,,Segment,5,1,Image 1,1,1,100000000,510000000728,
0,,Segment,5,4,Image 1,3,1,100000000,510000000734,
0,,Segment,5,4,Image 1,2,1,100000000,510000000743,
0,,Segment,5,1,Image 1,2,1,100000000,510000000751,
0,,Segment,5,0,Image 1,1,1,100000001,510000000759,
0,,Segment,5,1,Image 1,2,1,100000000,510000000767,
0,,Segment,5,1,Image 1,2,1,100000000,510000000775,
0,,Segment,5,2,Image 1,2,1,100000000,510000000782,
0,,Segment,5,0,Image 1,1,1,100000000,510000000789,
0,,Segment,5,0,Image 1,1,1,100000000,510000000793,
0,,Segment,5,0,Image 1,1,1,100000000,510000000796,
0,,Segment,5,1,Image 1,1,1,100000000,510000000798,
0,,Segment,5,1,Image 1,1,1,100000001,510000000810,
