
Segment Intensity Min Ch=2 Img=1
 ==================== 
Segment Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,2,3,Image 1,4,1,100000002,510000000013,
13,,Segment,2,2,Image 1,3,1,100000002,510000000015,
3,,Segment,2,1,Image 1,2,1,100000002,510000000050,
41,,Segment,2,0,Image 1,1,1,100000002,510000000054,
1,,Segment,2,3,Image 1,4,1,100000002,510000000057,
15,,Segment,2,3,Image 1,3,1,100000002,510000000059,
6,,Segment,2,2,Image 1,2,1,100000002,510000000062,
0,,Segment,2,1,Image 1,1,1,100000002,510000000102,
1,,Segment,2,0,Image 1,1,1,100000002,510000000135,
1,,Segment,2,4,Image 1,2,1,100000001,510000000145,
3,,Segment,2,3,Image 1,2,1,100000001,510000000158,
1,,Segment,2,2,Image 1,1,1,100000001,510000000167,
2,,Segment,2,1,Image 1,1,1,100000001,510000000173,
0,,Segment,2,0,Image 1,1,1,100000001,510000000193,
2,,Segment,2,5,Image 1,4,1,100000001,510000000205,
6,,Segment,2,4,Image 1,4,1,100000001,510000000207,
1,,Segment,2,3,Image 1,3,1,100000001,510000000227,
3,,Segment,2,2,Image 1,2,1,100000001,510000000233,
2,,Segment,2,0,Image 1,1,1,100000001,510000000240,
2,,Segment,2,4,Image 1,3,1,100000001,510000000245,
3,,Segment,2,4,Image 1,3,1,100000001,510000000250,
5,,Segment,2,5,Image 1,5,1,100000001,510000000256,
2,,Segment,2,3,Image 1,1,1,100000001,510000000269,
1,,Segment,2,10,Image 1,3,1,100000000,510000000278,
3,,Segment,2,9,Image 1,3,1,100000000,510000000281,
1,,Segment,2,8,Image 1,2,1,100000000,510000000298,
3,,Segment,2,7,Image 1,2,1,100000000,510000000301,
2,,Segment,2,6,Image 1,2,1,100000000,510000000307,
4,,Segment,2,5,Image 1,2,1,100000000,510000000309,
2,,Segment,2,4,Image 1,1,1,100000000,510000000314,
3,,Segment,2,3,Image 1,1,1,100000000,510000000316,
8,,Segment,2,2,Image 1,1,1,100000000,510000000318,
3,,Segment,2,0,Image 1,1,1,100000000,510000000321,
0,,Segment,2,7,Image 1,2,1,100000000,510000000361,
4,,Segment,2,6,Image 1,1,1,100000000,510000000366,
4,,Segment,2,5,Image 1,1,1,100000000,510000000369,
0,,Segment,2,2,Image 1,2,1,100000000,510000000394,
2,,Segment,2,1,Image 1,1,1,100000000,510000000402,
3,,Segment,2,0,Image 1,1,1,100000000,510000000406,
8,,Segment,2,10,Image 1,4,1,100000000,510000000412,
0,,Segment,2,2,Image 1,2,1,100000001,510000000420,
4,,Segment,2,8,Image 1,3,1,100000000,510000000442,
5,,Segment,2,9,Image 1,2,1,100000000,510000000449,
2,,Segment,2,7,Image 1,4,1,100000000,510000000458,
2,,Segment,2,6,Image 1,3,1,100000000,510000000470,
1,,Segment,2,7,Image 1,1,1,100000000,510000000491,
0,,Segment,2,7,Image 1,3,1,100000000,510000000503,
2,,Segment,2,6,Image 1,2,1,100000000,510000000527,
4,,Segment,2,5,Image 1,2,1,100000000,510000000533,
7,,Segment,2,4,Image 1,2,1,100000000,510000000537,
3,,Segment,2,3,Image 1,2,1,100000000,510000000546,
1,,Segment,2,6,Image 1,3,1,100000000,510000000561,
2,,Segment,2,1,Image 1,2,1,100000000,510000000584,
10,,Segment,2,0,Image 1,1,1,100000000,510000000591,
4,,Segment,2,1,Image 1,2,1,100000001,510000000598,
1,,Segment,2,7,Image 1,3,1,100000000,510000000604,
0,,Segment,2,3,Image 1,1,1,100000001,510000000612,
3,,Segment,2,2,Image 1,1,1,100000001,510000000617,
2,,Segment,2,6,Image 1,2,1,100000000,510000000629,
3,,Segment,2,3,Image 1,2,1,100000001,510000000638,
1,,Segment,2,2,Image 1,1,1,100000000,510000000645,
2,,Segment,2,3,Image 1,2,1,100000001,510000000652,
5,,Segment,2,5,Image 1,3,1,100000000,510000000657,
1,,Segment,2,0,Image 1,1,1,100000001,510000000670,
3,,Segment,2,2,Image 1,1,1,100000000,510000000679,
5,,Segment,2,1,Image 1,1,1,100000000,510000000685,
6,,Segment,2,0,Image 1,1,1,100000000,510000000696,
2,,Segment,2,1,Image 1,2,1,100000001,510000000704,
2,,Segment,2,2,Image 1,2,1,100000000,510000000714,
3,,Segment,2,1,Image 1,1,1,100000000,510000000728,
14,,Segment,2,4,Image 1,3,1,100000000,510000000734,
2,,Segment,2,4,Image 1,2,1,100000000,510000000743,
3,,Segment,2,1,Image 1,2,1,100000000,510000000751,
5,,Segment,2,0,Image 1,1,1,100000001,510000000759,
4,,Segment,2,1,Image 1,2,1,100000000,510000000767,
4,,Segment,2,1,Image 1,2,1,100000000,510000000775,
3,,Segment,2,2,Image 1,2,1,100000000,510000000782,
3,,Segment,2,0,Image 1,1,1,100000000,510000000789,
6,,Segment,2,0,Image 1,1,1,100000000,510000000793,
7,,Segment,2,0,Image 1,1,1,100000000,510000000796,
12,,Segment,2,1,Image 1,1,1,100000000,510000000798,
9,,Segment,2,1,Image 1,1,1,100000001,510000000810,
