
Spine Attachment Pt Branching Angle
 ==================== 
Spine Attachment Pt Branching Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
88.8637,°,Spine,5,3,1,100000001,610000001565,
61.1321,°,Spine,6,4,1,100000001,610000001621,
62.4372,°,Spine,2,1,1,100000002,610000001761,
64.0529,°,Spine,0,1,1,100000003,610000001766,
92.3047,°,Spine,2,2,1,100000002,610000001789,
65.61,°,Spine,5,4,1,100000001,610000001852,
85.2915,°,Spine,0,1,1,100000002,610000001857,
90.0081,°,Spine,8,3,1,100000003,610000001859,
63.1068,°,Spine,0,1,1,100000002,610000001900,
74.0581,°,Spine,1,1,1,100000002,610000001903,
74.9943,°,Spine,6,4,1,100000001,610000001931,
80.8524,°,Spine,5,3,1,100000001,610000001954,
68.3469,°,Spine,8,3,1,100000003,610000001961,
90.2848,°,Spine,0,1,1,100000002,610000001996,
68.5474,°,Spine,0,1,1,100000002,610000002013,
69.5065,°,Spine,2,2,1,100000000,610000002018,
76.2135,°,Spine,5,3,1,100000001,610000002020,
69.9323,°,Spine,5,3,1,100000001,610000002022,
70.7606,°,Spine,5,3,1,100000001,610000002024,
80.1964,°,Spine,4,2,1,100000001,610000002073,
91.2038,°,Spine,0,1,1,100000000,610000002075,
84.0346,°,Spine,4,3,1,100000001,610000002097,
82.6747,°,Spine,0,1,1,100000001,610000002126,
75.1698,°,Spine,0,1,1,100000002,610000002173,
92.7691,°,Spine,1,1,1,100000000,610000002198,
71.853,°,Spine,1,1,1,100000002,610000002208,
79.5063,°,Spine,4,3,1,100000001,610000002276,
56.9812,°,Spine,6,1,1,100000003,610000002286,
75.3006,°,Spine,0,1,1,100000002,610000002295,
92.4551,°,Spine,3,3,1,100000001,610000002310,
60.9698,°,Spine,2,2,1,100000000,610000002313,
90.1938,°,Spine,5,3,1,100000001,610000002319,
115.464,°,Spine,2,1,1,100000001,610000002329,
86.4586,°,Spine,1,1,1,100000001,610000002341,
88.0504,°,Spine,0,1,1,100000003,610000002343,
76.7943,°,Spine,1,1,1,100000002,610000002352,
71.9957,°,Spine,1,1,1,100000002,610000002359,
79.6999,°,Spine,1,1,1,100000002,610000002382,
83.7316,°,Spine,5,2,1,100000003,610000002385,
83.3473,°,Spine,3,3,1,100000001,610000002420,
66.1346,°,Spine,0,1,1,100000002,610000002437,
75.6695,°,Spine,1,1,1,100000000,610000002445,
97.0664,°,Spine,6,2,1,100000003,610000002453,
74.5356,°,Spine,0,1,1,100000001,610000002467,
87.7505,°,Spine,3,2,1,100000002,610000002474,
70.4363,°,Spine,7,6,1,100000001,610000002492,
24.2119,°,Spine,0,1,1,100000001,610000002499,
44.289,°,Spine,5,3,1,100000001,610000002536,
86.8075,°,Spine,3,2,1,100000003,610000002547,
82.7948,°,Spine,2,2,1,100000003,610000002569,
88.5836,°,Spine,5,4,1,100000001,610000002591,
85.2137,°,Spine,4,2,1,100000002,610000002598,
78.6485,°,Spine,6,4,1,100000001,610000002707,
78.1171,°,Spine,4,2,1,100000001,610000002733,
88.6676,°,Spine,1,1,1,100000001,610000002744,
77.0515,°,Spine,0,1,1,100000003,610000002749,
76.1054,°,Spine,0,1,1,100000003,610000002763,
94.0263,°,Spine,4,4,1,100000001,610000002773,
73.9709,°,Spine,3,3,1,100000001,610000002782,
80.9036,°,Spine,2,1,1,100000003,610000002795,
94.6352,°,Spine,6,2,1,100000003,610000002799,
54.3404,°,Spine,0,1,1,100000001,610000002803,
58.9672,°,Spine,5,4,1,100000001,610000002813,
80.4166,°,Spine,0,1,1,100000003,610000002824,
60.819,°,Spine,4,1,1,100000003,610000002831,
82.2841,°,Spine,5,1,1,100000003,610000002846,
75.0307,°,Spine,0,1,1,100000003,610000002863,
