
Spine Attachment Pt Time
 ==================== 
Spine Attachment Pt Time,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,s,Spine,5,3,1,100000001,610000001565,
0,s,Spine,6,4,1,100000001,610000001621,
0,s,Spine,2,1,1,100000002,610000001703,
0,s,Spine,2,1,1,100000002,610000001761,
0,s,Spine,0,1,1,100000003,610000001766,
0,s,Spine,2,2,1,100000002,610000001789,
0,s,Spine,2,2,1,100000002,610000001848,
0,s,Spine,5,4,1,100000001,610000001852,
0,s,Spine,0,1,1,100000002,610000001857,
0,s,Spine,8,3,1,100000003,610000001859,
0,s,Spine,0,1,1,100000002,610000001900,
0,s,Spine,1,1,1,100000002,610000001903,
0,s,Spine,6,4,1,100000001,610000001931,
0,s,Spine,5,3,1,100000001,610000001954,
0,s,Spine,8,3,1,100000003,610000001961,
0,s,Spine,0,1,1,100000002,610000001996,
0,s,Spine,0,1,1,100000002,610000002013,
0,s,Spine,2,2,1,100000000,610000002018,
0,s,Spine,5,3,1,100000001,610000002020,
0,s,Spine,5,3,1,100000001,610000002022,
0,s,Spine,5,3,1,100000001,610000002024,
0,s,Spine,6,5,1,100000001,610000002028,
0,s,Spine,0,1,1,100000001,610000002043,
0,s,Spine,4,2,1,100000001,610000002073,
0,s,Spine,0,1,1,100000000,610000002075,
0,s,Spine,4,3,1,100000001,610000002097,
0,s,Spine,0,1,1,100000001,610000002126,
0,s,Spine,0,1,1,100000002,610000002173,
0,s,Spine,1,1,1,100000000,610000002198,
0,s,Spine,1,1,1,100000002,610000002208,
0,s,Spine,5,2,1,100000003,610000002252,
0,s,Spine,4,3,1,100000001,610000002276,
0,s,Spine,6,1,1,100000003,610000002286,
0,s,Spine,0,1,1,100000002,610000002295,
0,s,Spine,6,4,1,100000001,610000002308,
0,s,Spine,3,3,1,100000001,610000002310,
0,s,Spine,2,2,1,100000000,610000002313,
0,s,Spine,5,3,1,100000001,610000002319,
0,s,Spine,2,1,1,100000001,610000002329,
0,s,Spine,1,1,1,100000001,610000002341,
0,s,Spine,0,1,1,100000003,610000002343,
0,s,Spine,1,1,1,100000002,610000002352,
0,s,Spine,1,1,1,100000002,610000002359,
0,s,Spine,1,1,1,100000002,610000002382,
0,s,Spine,5,2,1,100000003,610000002385,
0,s,Spine,3,3,1,100000001,610000002420,
0,s,Spine,0,1,1,100000002,610000002437,
0,s,Spine,5,4,1,100000001,610000002441,
0,s,Spine,1,1,1,100000000,610000002445,
0,s,Spine,1,2,1,100000001,610000002450,
0,s,Spine,6,2,1,100000003,610000002453,
0,s,Spine,0,1,1,100000001,610000002467,
0,s,Spine,3,2,1,100000002,610000002474,
0,s,Spine,7,6,1,100000001,610000002492,
0,s,Spine,5,3,1,100000001,610000002536,
0,s,Spine,3,2,1,100000003,610000002547,
0,s,Spine,2,2,1,100000003,610000002569,
0,s,Spine,5,4,1,100000001,610000002591,
0,s,Spine,2,1,1,100000003,610000002596,
0,s,Spine,4,2,1,100000002,610000002598,
0,s,Spine,0,1,1,100000002,610000002615,
0,s,Spine,1,1,1,100000000,610000002633,
0,s,Spine,0,1,1,100000002,610000002655,
0,s,Spine,1,2,1,100000001,610000002659,
0,s,Spine,0,1,1,100000001,610000002667,
0,s,Spine,0,1,1,100000001,610000002672,
0,s,Spine,1,2,1,100000003,610000002695,
0,s,Spine,6,4,1,100000001,610000002707,
0,s,Spine,2,2,1,100000002,610000002715,
0,s,Spine,4,2,1,100000001,610000002733,
0,s,Spine,1,1,1,100000001,610000002744,
0,s,Spine,0,1,1,100000003,610000002749,
0,s,Spine,0,1,1,100000003,610000002763,
0,s,Spine,6,2,1,100000003,610000002765,
0,s,Spine,4,4,1,100000001,610000002773,
0,s,Spine,3,3,1,100000001,610000002782,
0,s,Spine,2,1,1,100000003,610000002795,
0,s,Spine,6,2,1,100000003,610000002799,
0,s,Spine,0,1,1,100000001,610000002803,
0,s,Spine,5,4,1,100000001,610000002813,
0,s,Spine,6,3,1,100000001,610000002816,
0,s,Spine,0,1,1,100000003,610000002824,
0,s,Spine,4,1,1,100000003,610000002831,
0,s,Spine,5,1,1,100000003,610000002846,
0,s,Spine,0,1,1,100000003,610000002863,
0,s,Spine,1,1,1,100000001,610000002875,
0,s,Spine,2,2,1,100000003,610000002877,
0,s,Spine,1,1,1,100000001,610000002886,
0,s,Spine,0,1,1,100000000,610000002889,
0,s,Spine,0,1,1,100000001,610000002895,
0,s,Spine,3,4,1,100000001,610000002906,
0,s,Spine,0,1,1,100000002,610000002913,
0,s,Spine,1,1,1,100000002,610000002921,
0,s,Spine,0,1,1,100000003,610000002932,
0,s,Spine,5,4,1,100000001,610000002935,
0,s,Spine,0,1,1,100000001,610000002937,
0,s,Spine,2,2,1,100000003,610000002939,
0,s,Spine,5,4,1,100000001,610000002943,
0,s,Spine,5,4,1,100000001,610000002951,
0,s,Spine,1,2,1,100000001,610000002953,
0,s,Spine,1,1,1,100000001,610000002955,
0,s,Spine,5,3,1,100000001,610000002967,
0,s,Spine,6,4,1,100000001,610000002969,
0,s,Spine,6,4,1,100000001,610000002973,
0,s,Spine,1,1,1,100000002,610000002979,
0,s,Spine,0,1,1,100000001,610000003003,
0,s,Spine,4,3,1,100000001,610000003007,
0,s,Spine,1,1,1,100000003,610000003009,
0,s,Spine,4,2,1,100000001,610000003016,
0,s,Spine,5,2,1,100000003,610000003018,
0,s,Spine,3,2,1,100000001,610000003027,
0,s,Spine,3,2,1,100000003,610000003030,
0,s,Spine,0,1,1,100000003,610000003033,
0,s,Spine,5,4,1,100000001,610000003041,
0,s,Spine,6,2,1,100000003,610000003043,
0,s,Spine,3,1,1,100000003,610000003047,
0,s,Spine,5,4,1,100000001,610000003049,
0,s,Spine,3,1,1,100000003,610000003052,
0,s,Spine,1,1,1,100000001,610000003063,
0,s,Spine,4,2,1,100000002,610000003073,
0,s,Spine,7,1,1,100000003,610000003080,
0,s,Spine,5,1,1,100000003,610000003088,
0,s,Spine,0,1,1,100000000,610000003091,
