
Spine Branch Depth
 ==================== 
Spine Branch Depth,Unit,Category,Depth,Level,Time,FilamentID,ID,
2,,Spine,2,2,1,100000002,610000001446,
0,,Spine,0,1,1,100000002,610000001450,
2,,Spine,2,2,1,100000002,610000001461,
2,,Spine,2,2,1,100000002,610000001471,
2,,Spine,2,1,1,100000002,610000001477,
2,,Spine,2,2,1,100000002,610000001485,
2,,Spine,2,1,1,100000002,610000001492,
0,,Spine,0,1,1,100000001,610000001510,
1,,Spine,1,2,1,100000001,610000001524,
0,,Spine,0,1,1,100000001,610000001536,
1,,Spine,1,2,1,100000001,610000001542,
1,,Spine,1,2,1,100000001,610000001551,
1,,Spine,1,2,1,100000001,610000001562,
5,,Spine,5,3,1,100000001,610000001565,
2,,Spine,2,1,1,100000002,610000001571,
1,,Spine,1,2,1,100000001,610000001580,
0,,Spine,0,1,1,100000001,610000001593,
5,,Spine,5,2,1,100000003,610000001599,
1,,Spine,1,1,1,100000002,610000001604,
6,,Spine,6,3,1,100000001,610000001610,
1,,Spine,1,2,1,100000001,610000001618,
6,,Spine,6,4,1,100000001,610000001621,
1,,Spine,1,2,1,100000001,610000001626,
0,,Spine,0,1,1,100000001,610000001637,
1,,Spine,1,2,1,100000001,610000001649,
0,,Spine,0,1,1,100000001,610000001660,
0,,Spine,0,1,1,100000001,610000001664,
6,,Spine,6,2,1,100000003,610000001672,
1,,Spine,1,1,1,100000002,610000001685,
2,,Spine,2,1,1,100000002,610000001688,
1,,Spine,1,2,1,100000001,610000001695,
6,,Spine,6,5,1,100000001,610000001699,
2,,Spine,2,1,1,100000002,610000001703,
4,,Spine,4,1,1,100000003,610000001708,
6,,Spine,6,4,1,100000001,610000001710,
1,,Spine,1,1,1,100000000,610000001714,
1,,Spine,1,1,1,100000002,610000001720,
0,,Spine,0,1,1,100000001,610000001733,
1,,Spine,1,2,1,100000001,610000001735,
0,,Spine,0,1,1,100000001,610000001749,
6,,Spine,6,2,1,100000003,610000001755,
6,,Spine,6,2,1,100000003,610000001759,
2,,Spine,2,1,1,100000002,610000001761,
0,,Spine,0,1,1,100000003,610000001766,
0,,Spine,0,1,1,100000001,610000001779,
6,,Spine,6,3,1,100000001,610000001785,
2,,Spine,2,2,1,100000002,610000001789,
6,,Spine,6,2,1,100000003,610000001796,
-1,,Spine,4,4,1,100000000,610000001808,
-1,,Spine,4,4,1,100000000,610000001823,
0,,Spine,0,1,1,100000001,610000001835,
0,,Spine,0,1,1,100000001,610000001845,
2,,Spine,2,2,1,100000002,610000001848,
5,,Spine,5,4,1,100000001,610000001852,
0,,Spine,0,1,1,100000002,610000001857,
8,,Spine,8,3,1,100000003,610000001859,
-1,,Spine,0,1,1,100000001,610000001864,
0,,Spine,0,1,1,100000001,610000001877,
6,,Spine,6,3,1,100000001,610000001882,
1,,Spine,1,2,1,100000001,610000001885,
-1,,Spine,4,4,1,100000000,610000001898,
0,,Spine,0,1,1,100000002,610000001900,
1,,Spine,1,1,1,100000002,610000001903,
5,,Spine,5,3,1,100000001,610000001905,
1,,Spine,1,2,1,100000001,610000001910,
2,,Spine,2,1,1,100000002,610000001914,
6,,Spine,6,5,1,100000001,610000001918,
-1,,Spine,4,4,1,100000000,610000001929,
6,,Spine,6,4,1,100000001,610000001931,
0,,Spine,0,1,1,100000001,610000001935,
6,,Spine,6,3,1,100000001,610000001939,
0,,Spine,0,1,1,100000001,610000001951,
5,,Spine,5,3,1,100000001,610000001954,
-1,,Spine,4,4,1,100000000,610000001959,
8,,Spine,8,3,1,100000003,610000001961,
2,,Spine,2,1,1,100000002,610000001963,
-1,,Spine,0,1,1,100000001,610000001967,
2,,Spine,2,2,1,100000002,610000001969,
-1,,Spine,0,1,1,100000003,610000001973,
-1,,Spine,4,4,1,100000000,610000001984,
7,,Spine,7,5,1,100000001,610000001988,
-1,,Spine,0,1,1,100000001,610000001993,
0,,Spine,0,1,1,100000002,610000001996,
-1,,Spine,4,4,1,100000000,610000002005,
0,,Spine,0,1,1,100000001,610000002007,
2,,Spine,2,2,1,100000003,610000002010,
0,,Spine,0,1,1,100000002,610000002013,
1,,Spine,1,2,1,100000001,610000002016,
2,,Spine,2,2,1,100000000,610000002018,
5,,Spine,5,3,1,100000001,610000002020,
5,,Spine,5,3,1,100000001,610000002022,
5,,Spine,5,3,1,100000001,610000002024,
6,,Spine,6,5,1,100000001,610000002028,
6,,Spine,6,2,1,100000003,610000002031,
-1,,Spine,0,1,1,100000001,610000002035,
6,,Spine,6,2,1,100000003,610000002040,
0,,Spine,0,1,1,100000001,610000002043,
1,,Spine,1,1,1,100000002,610000002052,
-1,,Spine,4,4,1,100000000,610000002060,
-1,,Spine,0,1,1,100000001,610000002063,
-1,,Spine,4,4,1,100000000,610000002071,
4,,Spine,4,2,1,100000001,610000002073,
0,,Spine,0,1,1,100000000,610000002075,
0,,Spine,0,1,1,100000001,610000002086,
1,,Spine,1,1,1,100000002,610000002088,
-1,,Spine,4,4,1,100000000,610000002094,
4,,Spine,4,3,1,100000001,610000002097,
-1,,Spine,4,4,1,100000000,610000002106,
-1,,Spine,4,4,1,100000000,610000002115,
-1,,Spine,4,4,1,100000000,610000002124,
0,,Spine,0,1,1,100000001,610000002126,
4,,Spine,4,1,1,100000003,610000002129,
-1,,Spine,0,1,1,100000003,610000002133,
-1,,Spine,4,4,1,100000000,610000002140,
6,,Spine,6,2,1,100000003,610000002145,
3,,Spine,3,1,1,100000003,610000002149,
-1,,Spine,4,4,1,100000000,610000002159,
1,,Spine,1,2,1,100000001,610000002167,
5,,Spine,5,3,1,100000001,610000002170,
0,,Spine,0,1,1,100000002,610000002173,
0,,Spine,0,1,1,100000002,610000002176,
6,,Spine,6,4,1,100000001,610000002179,
-1,,Spine,0,1,1,100000001,610000002184,
6,,Spine,6,2,1,100000003,610000002187,
6,,Spine,6,3,1,100000001,610000002192,
0,,Spine,0,1,1,100000001,610000002195,
1,,Spine,1,1,1,100000000,610000002198,
0,,Spine,0,1,1,100000003,610000002201,
1,,Spine,1,2,1,100000001,610000002203,
1,,Spine,1,1,1,100000002,610000002206,
1,,Spine,1,1,1,100000002,610000002208,
4,,Spine,4,1,1,100000003,610000002212,
2,,Spine,2,1,1,100000003,610000002218,
6,,Spine,6,4,1,100000001,610000002221,
4,,Spine,4,3,1,100000002,610000002225,
