
Spine Part Min Diameter
 ==================== 
Spine Part Min Diameter Ground,Spine Part Min Diameter Head,Spine Part Min Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.162331,0.162331,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001450,
0.319944,0.218353,0.312114,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001510,
0.333778,0.177549,0.312114,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001536,
0.333778,0.189417,0.301097,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001593,
0.351528,0.213109,0.312114,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001637,
0.351528,0.220389,0.312114,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001660,
0.342602,0.162331,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001664,
0.333778,0.257744,0.312114,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001733,
0.333778,0.403522,0.312114,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001749,
0.284722,0.252426,0.358341,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000001766,
0.333778,0.253871,0.312114,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001779,
0.333778,0.162331,0.312114,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001835,
0.351528,0.209416,0.314879,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001845,
0.363623,0.19572,0.381997,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001857,
0.162331,0.390402,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001864,
0.333778,0.466912,0.312114,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001877,
0.272648,0.243496,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001900,
0.37539,0.209532,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001935,
0.333778,0.304627,0.312114,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001951,
0.249267,0.27026,0.25491,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001967,
0.231448,0.403307,0.481534,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000001973,
0.243496,0.754543,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001993,
0.260267,0.162331,0.178075,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001996,
0.415367,0.405827,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002007,
0.243896,0.201985,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002013,
0.303323,0.43884,0.382999,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002035,
0.403382,0.171952,0.342602,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002043,
0.224514,0.50052,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002063,
0.308725,0.197977,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000002075,
0.351528,0.466912,0.312114,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002086,
0.322955,0.33724,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002126,
0.280783,0.314516,0.446523,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002133,
0.289377,0.18282,0.23335,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002173,
0.206718,0.172447,0.201639,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002176,
0.289152,0.530795,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002184,
0.491116,0.252274,0.454019,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002195,
0.540954,0.466701,0.593184,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002201,
0.243496,0.544743,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002243,
0.431075,0.212611,0.37342,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002283,
0.36916,0.431492,0.522942,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002292,
0.381427,0.257922,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002295,
0.352044,0.315869,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002343,
