
Segment Center Intensity Min Ch=1 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,1,15,Image 1,6,1,100000000,510000000030,
0,,Segment,1,14,Image 1,5,1,100000000,510000000045,
0,,Segment,1,13,Image 1,5,1,100000000,510000000057,
0,,Segment,1,12,Image 1,5,1,100000000,510000000062,
4,,Segment,1,11,Image 1,5,1,100000000,510000000066,
0,,Segment,1,10,Image 1,5,1,100000000,510000000107,
0,,Segment,1,9,Image 1,5,1,100000000,510000000129,
0,,Segment,1,8,Image 1,5,1,100000000,510000000137,
0,,Segment,1,7,Image 1,4,1,100000000,510000000144,
0,,Segment,1,6,Image 1,4,1,100000000,510000000156,
0,,Segment,1,5,Image 1,3,1,100000000,510000000207,
0,,Segment,1,4,Image 1,3,1,100000000,510000000229,
0,,Segment,1,3,Image 1,2,1,100000000,510000000239,
0,,Segment,1,2,Image 1,1,1,100000000,510000000247,
0,,Segment,1,1,Image 1,1,1,100000000,510000000258,
0,,Segment,1,0,Image 1,1,1,100000000,510000000262,
0,,Segment,1,13,Image 1,6,1,100000000,510000000287,
0,,Segment,1,15,Image 1,5,1,100000000,510000000291,
2,,Segment,1,14,Image 1,6,1,100000000,510000000299,
0,,Segment,1,11,Image 1,6,1,100000000,510000000308,
1,,Segment,1,12,Image 1,6,1,100000000,510000000310,
9,,Segment,1,12,Image 1,5,1,100000000,510000000318,
0,,Segment,1,11,Image 1,5,1,100000000,510000000343,
0,,Segment,1,10,Image 1,5,1,100000000,510000000359,
2,,Segment,1,9,Image 1,5,1,100000000,510000000362,
0,,Segment,1,8,Image 1,5,1,100000000,510000000420,
0,,Segment,1,7,Image 1,4,1,100000000,510000000433,
0,,Segment,1,6,Image 1,4,1,100000000,510000000464,
0,,Segment,1,5,Image 1,4,1,100000000,510000000468,
8,,Segment,1,12,Image 1,6,1,100000000,510000000474,
0,,Segment,1,21,Image 1,9,1,100000000,510000000482,
0,,Segment,1,19,Image 1,8,1,100000000,510000000497,
0,,Segment,1,18,Image 1,8,1,100000000,510000000521,
0,,Segment,1,17,Image 1,7,1,100000000,510000000556,
0,,Segment,1,16,Image 1,7,1,100000000,510000000565,
0,,Segment,1,15,Image 1,7,1,100000000,510000000575,
0,,Segment,1,14,Image 1,7,1,100000000,510000000608,
1,,Segment,1,13,Image 1,6,1,100000000,510000000616,
0,,Segment,1,12,Image 1,6,1,100000000,510000000643,
0,,Segment,1,11,Image 1,6,1,100000000,510000000653,
0,,Segment,1,10,Image 1,6,1,100000000,510000000665,
0,,Segment,1,20,Image 1,9,1,100000000,510000000667,
0,,Segment,1,21,Image 1,8,1,100000000,510000000680,
0,,Segment,1,19,Image 1,9,1,100000000,510000000684,
0,,Segment,1,18,Image 1,7,1,100000000,510000000687,
0,,Segment,1,16,Image 1,8,1,100000000,510000000718,
0,,Segment,1,17,Image 1,8,1,100000000,510000000734,
0,,Segment,1,17,Image 1,8,1,100000000,510000000757,
0,,Segment,1,16,Image 1,8,1,100000000,510000000762,
1,,Segment,1,15,Image 1,8,1,100000000,510000000767,
0,,Segment,1,17,Image 1,9,1,100000000,510000000770,
0,,Segment,1,16,Image 1,9,1,100000000,510000000774,
1,,Segment,1,15,Image 1,7,1,100000000,510000000777,
0,,Segment,1,14,Image 1,6,1,100000000,510000000787,
0,,Segment,1,15,Image 1,6,1,100000000,510000000793,
3,,Segment,1,17,Image 1,9,1,100000000,510000000798,
0,,Segment,1,16,Image 1,9,1,100000000,510000000811,
0,,Segment,1,15,Image 1,8,1,100000000,510000000817,
0,,Segment,1,14,Image 1,8,1,100000000,510000000822,
1,,Segment,1,13,Image 1,7,1,100000000,510000000824,
0,,Segment,1,12,Image 1,7,1,100000000,510000000838,
0,,Segment,1,11,Image 1,6,1,100000000,510000000845,
5,,Segment,1,17,Image 1,10,1,100000000,510000000848,
3,,Segment,1,16,Image 1,9,1,100000000,510000000852,
0,,Segment,1,15,Image 1,9,1,100000000,510000000854,
0,,Segment,1,13,Image 1,7,1,100000000,510000000858,
53,,Segment,1,13,Image 1,8,1,100000000,510000000861,
0,,Segment,1,12,Image 1,7,1,100000000,510000000881,
1,,Segment,1,13,Image 1,7,1,100000000,510000000883,
0,,Segment,1,13,Image 1,8,1,100000000,510000000897,
1,,Segment,1,13,Image 1,7,1,100000000,510000000899,
0,,Segment,1,16,Image 1,10,1,100000000,510000000902,
3,,Segment,1,16,Image 1,8,1,100000000,510000000904,
0,,Segment,1,14,Image 1,7,1,100000000,510000000910,
0,,Segment,1,11,Image 1,6,1,100000000,510000000926,
0,,Segment,1,12,Image 1,6,1,100000000,510000000931,
2,,Segment,1,11,Image 1,7,1,100000000,510000000933,
5,,Segment,1,9,Image 1,6,1,100000000,510000000940,
7,,Segment,1,10,Image 1,6,1,100000000,510000000942,
0,,Segment,1,9,Image 1,4,1,100000000,510000000969,
1,,Segment,1,9,Image 1,5,1,100000000,510000000982,
0,,Segment,1,9,Image 1,6,1,100000000,510000000984,
0,,Segment,1,7,Image 1,5,1,100000000,510000000992,
0,,Segment,1,5,Image 1,5,1,100000000,510000001013,
0,,Segment,1,4,Image 1,5,1,100000000,510000001021,
0,,Segment,1,3,Image 1,4,1,100000000,510000001052,
0,,Segment,1,2,Image 1,3,1,100000000,510000001067,
0,,Segment,1,1,Image 1,2,1,100000000,510000001086,
0,,Segment,1,5,Image 1,6,1,100000000,510000001101,
0,,Segment,1,4,Image 1,4,1,100000000,510000001107,
0,,Segment,1,11,Image 1,6,1,100000000,510000001142,
0,,Segment,1,10,Image 1,5,1,100000000,510000001152,
0,,Segment,1,9,Image 1,5,1,100000000,510000001160,
3,,Segment,1,8,Image 1,4,1,100000000,510000001163,
0,,Segment,1,7,Image 1,4,1,100000000,510000001175,
0,,Segment,1,5,Image 1,2,1,100000000,510000001183,
0,,Segment,1,4,Image 1,2,1,100000000,510000001185,
0,,Segment,1,3,Image 1,2,1,100000000,510000001192,
0,,Segment,1,2,Image 1,2,1,100000000,510000001229,
0,,Segment,1,11,Image 1,5,1,100000000,510000001233,
0,,Segment,1,10,Image 1,6,1,100000000,510000001235,
0,,Segment,1,11,Image 1,2,1,100000000,510000001242,
0,,Segment,1,10,Image 1,2,1,100000000,510000001252,
0,,Segment,1,9,Image 1,2,1,100000000,510000001267,
0,,Segment,1,8,Image 1,2,1,100000000,510000001288,
0,,Segment,1,7,Image 1,2,1,100000000,510000001303,
0,,Segment,1,6,Image 1,2,1,100000000,510000001313,
0,,Segment,1,5,Image 1,1,1,100000000,510000001330,
0,,Segment,1,4,Image 1,1,1,100000000,510000001345,
0,,Segment,1,3,Image 1,1,1,100000000,510000001360,
0,,Segment,1,2,Image 1,1,1,100000000,510000001418,
0,,Segment,1,1,Image 1,1,1,100000000,510000001444,
0,,Segment,1,0,Image 1,1,1,100000000,510000001476,
0,,Segment,1,11,Image 1,3,1,100000000,510000001480,
0,,Segment,1,10,Image 1,3,1,100000000,510000001491,
0,,Segment,1,9,Image 1,3,1,100000000,510000001496,
0,,Segment,1,8,Image 1,3,1,100000000,510000001510,
0,,Segment,1,7,Image 1,3,1,100000000,510000001523,
3,,Segment,1,6,Image 1,1,1,100000000,510000001527,
1,,Segment,1,6,Image 1,3,1,100000000,510000001531,
0,,Segment,1,5,Image 1,2,1,100000000,510000001539,
1,,Segment,1,6,Image 1,2,1,100000000,510000001542,
