
Segment Center Number of Voxel Ch=2 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
26,,Segment,2,15,Image 1,6,1,100000000,510000000030,
16,,Segment,2,14,Image 1,5,1,100000000,510000000045,
13,,Segment,2,13,Image 1,5,1,100000000,510000000057,
6,,Segment,2,12,Image 1,5,1,100000000,510000000062,
5,,Segment,2,11,Image 1,5,1,100000000,510000000066,
42,,Segment,2,10,Image 1,5,1,100000000,510000000107,
23,,Segment,2,9,Image 1,5,1,100000000,510000000129,
9,,Segment,2,8,Image 1,5,1,100000000,510000000137,
8,,Segment,2,7,Image 1,4,1,100000000,510000000144,
13,,Segment,2,6,Image 1,4,1,100000000,510000000156,
52,,Segment,2,5,Image 1,3,1,100000000,510000000207,
23,,Segment,2,4,Image 1,3,1,100000000,510000000229,
11,,Segment,2,3,Image 1,2,1,100000000,510000000239,
9,,Segment,2,2,Image 1,1,1,100000000,510000000247,
12,,Segment,2,1,Image 1,1,1,100000000,510000000258,
2,,Segment,2,0,Image 1,1,1,100000000,510000000262,
21,,Segment,2,13,Image 1,6,1,100000000,510000000287,
5,,Segment,2,15,Image 1,5,1,100000000,510000000291,
9,,Segment,2,14,Image 1,6,1,100000000,510000000299,
10,,Segment,2,11,Image 1,6,1,100000000,510000000308,
3,,Segment,2,12,Image 1,6,1,100000000,510000000310,
9,,Segment,2,12,Image 1,5,1,100000000,510000000318,
26,,Segment,2,11,Image 1,5,1,100000000,510000000343,
17,,Segment,2,10,Image 1,5,1,100000000,510000000359,
4,,Segment,2,9,Image 1,5,1,100000000,510000000362,
59,,Segment,2,8,Image 1,5,1,100000000,510000000420,
14,,Segment,2,7,Image 1,4,1,100000000,510000000433,
32,,Segment,2,6,Image 1,4,1,100000000,510000000464,
5,,Segment,2,5,Image 1,4,1,100000000,510000000468,
7,,Segment,2,12,Image 1,6,1,100000000,510000000474,
9,,Segment,2,21,Image 1,9,1,100000000,510000000482,
15,,Segment,2,19,Image 1,8,1,100000000,510000000497,
25,,Segment,2,18,Image 1,8,1,100000000,510000000521,
36,,Segment,2,17,Image 1,7,1,100000000,510000000556,
10,,Segment,2,16,Image 1,7,1,100000000,510000000565,
11,,Segment,2,15,Image 1,7,1,100000000,510000000575,
34,,Segment,2,14,Image 1,7,1,100000000,510000000608,
9,,Segment,2,13,Image 1,6,1,100000000,510000000616,
28,,Segment,2,12,Image 1,6,1,100000000,510000000643,
11,,Segment,2,11,Image 1,6,1,100000000,510000000653,
13,,Segment,2,10,Image 1,6,1,100000000,510000000665,
3,,Segment,2,20,Image 1,9,1,100000000,510000000667,
14,,Segment,2,21,Image 1,8,1,100000000,510000000680,
