
Spine Neck Min Diameter
 ==================== 
Spine Neck Min Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.202155,µm,Spine,17,8,1,100000000,610000003101,
0.211485,µm,Spine,17,8,1,100000000,610000003108,
0.211485,µm,Spine,17,8,1,100000000,610000003114,
0.20223,µm,Spine,17,8,1,100000000,610000003120,
0.162331,µm,Spine,5,4,1,100000000,610000003126,
0.238423,µm,Spine,1,1,1,100000000,610000003131,
0.172294,µm,Spine,15,6,1,100000000,610000003139,
0.235459,µm,Spine,17,8,1,100000000,610000003144,
0.162331,µm,Spine,8,5,1,100000000,610000003149,
0.162331,µm,Spine,5,4,1,100000000,610000003154,
0.170707,µm,Spine,3,1,1,100000001,610000003159,
0.3409,µm,Spine,4,3,1,100000000,610000003165,
0.188523,µm,Spine,9,2,1,100000000,610000003169,
0.337579,µm,Spine,3,3,1,100000000,610000003171,
0.162331,µm,Spine,17,8,1,100000000,610000003174,
0.194974,µm,Spine,19,8,1,100000000,610000003178,
0.280529,µm,Spine,10,3,1,100000000,610000003182,
0.174875,µm,Spine,1,1,1,100000000,610000003186,
0.265264,µm,Spine,17,8,1,100000000,610000003190,
0.646905,µm,Spine,11,6,1,100000000,610000003193,
0.167574,µm,Spine,1,2,1,100000002,610000003198,
0.294478,µm,Spine,18,8,1,100000000,610000003201,
0.162331,µm,Spine,10,5,1,100000000,610000003205,
0.162331,µm,Spine,21,8,1,100000000,610000003209,
0.17738,µm,Spine,13,8,1,100000000,610000003212,
0.241675,µm,Spine,10,5,1,100000000,610000003214,
0.162331,µm,Spine,11,2,1,100000000,610000003217,
0.27647,µm,Spine,1,1,1,100000001,610000003220,
0.224364,µm,Spine,3,1,1,100000000,610000003223,
0.313369,µm,Spine,2,1,1,100000001,610000003227,
0.263787,µm,Spine,1,1,1,100000000,610000003230,
0,µm,Spine,11,6,1,100000000,610000003232,
0.254257,µm,Spine,17,7,1,100000000,610000003234,
0.162331,µm,Spine,19,8,1,100000000,610000003236,
0.186129,µm,Spine,13,8,1,100000000,610000003241,
0.248084,µm,Spine,10,5,1,100000000,610000003246,
0.228763,µm,Spine,13,5,1,100000000,610000003248,
0.334701,µm,Spine,1,1,1,100000001,610000003251,
0.390022,µm,Spine,1,2,1,100000000,610000003255,
0.392409,µm,Spine,1,1,1,100000000,610000003259,
0.250474,µm,Spine,1,1,1,100000002,610000003264,
0.345229,µm,Spine,1,2,1,100000000,610000003267,
0.167764,µm,Spine,2,2,1,100000001,610000003270,
0,µm,Spine,11,6,1,100000000,610000003272,
0.180078,µm,Spine,6,4,1,100000000,610000003274,
0.24047,µm,Spine,19,8,1,100000000,610000003276,
0.226598,µm,Spine,8,5,1,100000000,610000003280,
0.258106,µm,Spine,12,5,1,100000000,610000003283,
0.358809,µm,Spine,2,2,1,100000002,610000003286,
0.215596,µm,Spine,2,1,1,100000000,610000003289,
0.253758,µm,Spine,8,5,1,100000000,610000003292,
0.456346,µm,Spine,2,1,1,100000001,610000003295,
0.177033,µm,Spine,7,2,1,100000000,610000003298,
0.162331,µm,Spine,5,3,1,100000000,610000003301,
0.229441,µm,Spine,17,8,1,100000000,610000003303,
0.311321,µm,Spine,10,5,1,100000000,610000003306,
0.162331,µm,Spine,6,2,1,100000000,610000003309,
0.266828,µm,Spine,17,9,1,100000000,610000003311,
0.242821,µm,Spine,2,1,1,100000001,610000003314,
0,µm,Spine,11,6,1,100000000,610000003316,
0.195304,µm,Spine,1,2,1,100000001,610000003319,
0.21041,µm,Spine,13,6,1,100000000,610000003323,
0.26028,µm,Spine,1,2,1,100000001,610000003325,
0.365096,µm,Spine,11,5,1,100000000,610000003327,
0.425801,µm,Spine,11,3,1,100000000,610000003329,
0.313869,µm,Spine,10,5,1,100000000,610000003333,
0.188465,µm,Spine,10,5,1,100000000,610000003337,
0.258715,µm,Spine,1,1,1,100000002,610000003340,
0.266641,µm,Spine,11,5,1,100000000,610000003342,
0.423159,µm,Spine,11,6,1,100000000,610000003344,
0.339505,µm,Spine,1,1,1,100000002,610000003349,
0.189018,µm,Spine,14,7,1,100000000,610000003354,
0.758098,µm,Spine,11,5,1,100000000,610000003356,
0.189743,µm,Spine,12,7,1,100000000,610000003358,
0.280005,µm,Spine,14,5,1,100000000,610000003361,
0.164366,µm,Spine,21,8,1,100000000,610000003363,
0.187103,µm,Spine,17,8,1,100000000,610000003368,
0.568158,µm,Spine,9,4,1,100000000,610000003371,
0,µm,Spine,5,3,1,100000000,610000003373,
0,µm,Spine,11,6,1,100000000,610000003375,
0.263946,µm,Spine,10,5,1,100000000,610000003380,
0.162669,µm,Spine,13,8,1,100000000,610000003382,
0.243496,µm,Spine,18,8,1,100000000,610000003384,
0.221768,µm,Spine,12,5,1,100000000,610000003387,
0.249837,µm,Spine,5,3,1,100000000,610000003390,
0.311325,µm,Spine,1,2,1,100000002,610000003395,
0.21429,µm,Spine,7,4,1,100000000,610000003398,
0.220987,µm,Spine,8,5,1,100000000,610000003401,
0,µm,Spine,11,5,1,100000000,610000003403,
0.302045,µm,Spine,1,2,1,100000001,610000003407,
0.370523,µm,Spine,5,2,1,100000000,610000003409,
0,µm,Spine,9,5,1,100000000,610000003411,
0.197515,µm,Spine,5,4,1,100000000,610000003414,
0.237916,µm,Spine,21,8,1,100000000,610000003417,
