
Spine Part Mean Diameter
 ==================== 
Spine Part Mean Diameter Ground,Spine Part Mean Diameter Head,Spine Part Mean Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.265462,0.180015,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000006469,
0.179004,0.280663,0.369898,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000006613,
0.37218,0.343351,0.292555,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000006672,
0.3204,0.369898,0.503951,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000006698,
0.365855,0.413824,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000006703,
0.233615,0.173468,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000006751,
0.1625,0.219629,0.1625,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000006789,
0.212042,0.208521,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000006856,
0.510559,0.251278,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000006876,
0.222641,0.325,0.241988,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000006883,
0.347271,0.345312,0.332763,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000006890,
0.512036,0.209599,0.237956,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000006926,
0.18693,0.343351,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000006934,
0.483458,0.65833,0.238672,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000006938,
0.472525,0.369898,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000006953,
0.1625,0.219629,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000006967,
0.198698,0.219629,0.1625,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000006971,
0.1625,0.552696,0.549707,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007017,
0.193508,0.224516,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000007037,
0.344995,0.376416,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007040,
0.258684,0.16359,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007046,
0.427093,0.575302,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007071,
0.258221,0.1625,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000007087,
0.1625,0.376784,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007099,
0.284375,0.1625,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007119,
0.924483,1.36184,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007160,
0.206914,0.192449,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000007175,
0.434829,0.277765,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007200,
0.203125,0.471393,0.40625,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007213,
0.205421,0.2172,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000007215,
0.510559,0.194276,0.325316,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007225,
0.452021,0.510352,0.331185,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007253,
0.908147,0.671803,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007278,
0.289918,0.417335,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007282,
0.401448,0.231055,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000007288,
0.287225,0.344167,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007291,
0.344327,0.239424,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000007300,
0.249463,0.219629,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007303,
0.370413,0.22525,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007307,
0.284473,0.353547,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000007313,
0.189795,0.263428,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000007337,
0.362563,0.407549,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007347,
0.402649,0.563648,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007359,
0.563583,0.575302,0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007368,
