
Segment Center Intensity Median Ch=2 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
20.5625,,Segment,2,12,Image 1,6,1,100000000,510000000044,
24.0312,,Segment,2,11,Image 1,6,1,100000000,510000000053,
68.0625,,Segment,2,10,Image 1,5,1,100000000,510000000068,
70.0625,,Segment,2,9,Image 1,5,1,100000000,510000000074,
34.5312,,Segment,2,8,Image 1,5,1,100000000,510000000079,
7.5625,,Segment,2,7,Image 1,5,1,100000000,510000000120,
70.0625,,Segment,2,6,Image 1,4,1,100000000,510000000155,
70.0625,,Segment,2,5,Image 1,3,1,100000000,510000000183,
93.0625,,Segment,2,4,Image 1,3,1,100000000,510000000191,
47.0625,,Segment,2,3,Image 1,3,1,100000000,510000000252,
40.0312,,Segment,2,2,Image 1,2,1,100000000,510000000258,
66.0625,,Segment,2,1,Image 1,1,1,100000000,510000000266,
66.0039,,Segment,2,0,Image 1,1,1,100000000,510000000268,
19.0625,,Segment,2,12,Image 1,7,1,100000000,510000000294,
49.0312,,Segment,2,11,Image 1,5,1,100000000,510000000299,
7.03125,,Segment,2,9,Image 1,6,1,100000000,510000000304,
39.0625,,Segment,2,6,Image 1,3,1,100000003,510000000328,
37.5625,,Segment,2,5,Image 1,3,1,100000003,510000000345,
69.5625,,Segment,2,4,Image 1,3,1,100000003,510000000364,
76.0625,,Segment,2,3,Image 1,3,1,100000003,510000000375,
41.125,,Segment,2,2,Image 1,2,1,100000003,510000000403,
99.5312,,Segment,2,0,Image 1,1,1,100000003,510000000413,
14.0312,,Segment,2,7,Image 1,5,1,100000003,510000000437,
37.0312,,Segment,2,6,Image 1,4,1,100000003,510000000439,
54.0312,,Segment,2,7,Image 1,4,1,100000003,510000000449,
70.5625,,Segment,2,7,Image 1,5,1,100000003,510000000456,
91.5625,,Segment,2,6,Image 1,5,1,100000003,510000000461,
61.0625,,Segment,2,5,Image 1,4,1,100000003,510000000476,
63.0312,,Segment,2,7,Image 1,6,1,100000003,510000000478,
50.0625,,Segment,2,6,Image 1,4,1,100000003,510000000481,
35.0625,,Segment,2,4,Image 1,4,1,100000003,510000000495,
80.5312,,Segment,2,3,Image 1,2,1,100000003,510000000504,
26.0312,,Segment,2,8,Image 1,5,1,100000000,510000000506,
64.625,,Segment,2,7,Image 1,4,1,100000000,510000000523,
61.0625,,Segment,2,6,Image 1,4,1,100000000,510000000561,
86.0625,,Segment,2,5,Image 1,4,1,100000000,510000000566,
10.0625,,Segment,2,4,Image 1,4,1,100000000,510000000577,
97.0625,,Segment,2,8,Image 1,6,1,100000000,510000000581,
48.625,,Segment,2,7,Image 1,5,1,100000000,510000000588,
42.0625,,Segment,2,6,Image 1,5,1,100000000,510000000604,
68.0625,,Segment,2,5,Image 1,5,1,100000000,510000000607,
9.03125,,Segment,2,9,Image 1,3,1,100000001,510000000613,
82.0312,,Segment,2,8,Image 1,3,1,100000001,510000000617,
76.125,,Segment,2,7,Image 1,3,1,100000001,510000000630,
60.0625,,Segment,2,6,Image 1,2,1,100000001,510000000642,
101.531,,Segment,2,5,Image 1,2,1,100000001,510000000647,
64.0625,,Segment,2,4,Image 1,2,1,100000001,510000000677,
88.0312,,Segment,2,3,Image 1,2,1,100000001,510000000682,
123.031,,Segment,2,2,Image 1,1,1,100000001,510000000685,
124.062,,Segment,2,1,Image 1,1,1,100000001,510000000704,
113.031,,Segment,2,0,Image 1,1,1,100000001,510000000743,
8.5625,,Segment,2,10,Image 1,5,1,100000002,510000000750,
64.5312,,Segment,2,9,Image 1,4,1,100000002,510000000755,
81.0625,,Segment,2,8,Image 1,4,1,100000002,510000000761,
106.062,,Segment,2,7,Image 1,4,1,100000002,510000000775,
121.062,,Segment,2,6,Image 1,4,1,100000002,510000000785,
142.008,,Segment,2,5,Image 1,3,1,100000002,510000000788,
122.062,,Segment,2,4,Image 1,3,1,100000002,510000000804,
110.031,,Segment,2,3,Image 1,2,1,100000002,510000000828,
141.125,,Segment,2,2,Image 1,2,1,100000002,510000000834,
81.0625,,Segment,2,1,Image 1,1,1,100000002,510000000844,
122.062,,Segment,2,0,Image 1,1,1,100000002,510000000871,
25.0625,,Segment,2,16,Image 1,8,1,100000001,510000000881,
18.0312,,Segment,2,15,Image 1,8,1,100000001,510000000887,
86.0625,,Segment,2,14,Image 1,7,1,100000001,510000000903,
118.031,,Segment,2,13,Image 1,6,1,100000001,510000000910,
74.5625,,Segment,2,12,Image 1,6,1,100000001,510000000923,
104.031,,Segment,2,11,Image 1,5,1,100000001,510000000928,
109.031,,Segment,2,10,Image 1,5,1,100000001,510000000932,
88.5625,,Segment,2,9,Image 1,4,1,100000001,510000000953,
