
Spine Straightness
 ==================== 
Spine Straightness,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.744912,,Spine,13,8,1,100000001,610000004003,
0.9884,,Spine,13,8,1,100000001,610000004007,
0.763139,,Spine,11,6,1,100000000,610000004012,
0.989236,,Spine,5,1,1,100000001,610000004016,
0.859738,,Spine,13,8,1,100000001,610000004021,
0.921182,,Spine,11,6,1,100000000,610000004026,
0.935378,,Spine,13,8,1,100000001,610000004031,
0.995626,,Spine,13,8,1,100000001,610000004035,
0.962723,,Spine,11,6,1,100000000,610000004039,
0.918383,,Spine,5,2,1,100000000,610000004044,
0.966024,,Spine,2,1,1,100000000,610000004048,
0.975411,,Spine,10,5,1,100000000,610000004050,
0.930828,,Spine,0,1,1,100000000,610000004056,
0.938373,,Spine,5,2,1,100000001,610000004059,
0.98689,,Spine,6,1,1,100000000,610000004062,
0.999336,,Spine,21,6,1,100000001,610000004064,
0.996282,,Spine,7,2,1,100000001,610000004066,
0.98231,,Spine,11,1,1,100000001,610000004068,
0.978836,,Spine,7,2,1,100000001,610000004074,
0.987681,,Spine,23,6,1,100000001,610000004076,
0.998225,,Spine,16,2,1,100000000,610000004079,
0.913797,,Spine,0,1,1,100000000,610000004084,
0.950278,,Spine,4,2,1,100000001,610000004087,
0.997789,,Spine,11,3,1,100000001,610000004089,
0.981315,,Spine,1,2,1,100000001,610000004094,
0.993543,,Spine,13,3,1,100000001,610000004099,
0.998455,,Spine,10,3,1,100000000,610000004106,
0.996768,,Spine,5,2,1,100000000,610000004108,
0.972442,,Spine,4,2,1,100000001,610000004116,
0.994241,,Spine,5,4,1,100000001,610000004118,
0.996704,,Spine,3,2,1,100000001,610000004121,
0.989619,,Spine,16,2,1,100000000,610000004123,
0.998164,,Spine,18,5,1,100000001,610000004125,
0.990134,,Spine,9,3,1,100000000,610000004128,
0.895637,,Spine,0,1,1,100000000,610000004133,
0.99585,,Spine,12,1,1,100000001,610000004135,
0.986528,,Spine,12,3,1,100000000,610000004138,
0.996866,,Spine,5,1,1,100000001,610000004140,
0.987273,,Spine,4,1,1,100000000,610000004142,
0.991612,,Spine,1,2,1,100000001,610000004145,
0.993339,,Spine,10,3,1,100000000,610000004147,
0.953974,,Spine,5,3,1,100000000,610000004149,
0.99592,,Spine,14,1,1,100000000,610000004151,
0.996407,,Spine,9,5,1,100000000,610000004154,
0.980527,,Spine,3,2,1,100000001,610000004156,
0.968055,,Spine,3,2,1,100000001,610000004158,
0.988998,,Spine,12,2,1,100000001,610000004161,
0.957696,,Spine,0,1,1,100000000,610000004166,
0.978609,,Spine,3,1,1,100000000,610000004172,
0.997487,,Spine,17,6,1,100000001,610000004177,
0.981647,,Spine,21,7,1,100000001,610000004179,
0.993686,,Spine,16,4,1,100000001,610000004182,
0.963486,,Spine,0,1,1,100000000,610000004187,
0.9996,,Spine,12,2,1,100000000,610000004189,
0.99727,,Spine,8,2,1,100000001,610000004195,
0.999372,,Spine,7,2,1,100000001,610000004198,
0.998681,,Spine,9,3,1,100000000,610000004201,
0.99594,,Spine,4,1,1,100000000,610000004203,
1,,Spine,0,1,1,100000000,610000004208,
0.965542,,Spine,12,3,1,100000000,610000004210,
0.922661,,Spine,0,1,1,100000000,610000004217,
0.995963,,Spine,0,1,1,100000000,610000004220,
0.961845,,Spine,0,1,1,100000000,610000004232,
1,,Spine,0,1,1,100000000,610000004235,
0.999922,,Spine,6,4,1,100000000,610000004243,
0.98652,,Spine,6,4,1,100000000,610000004246,
0.996023,,Spine,17,1,1,100000000,610000004257,
0.981662,,Spine,13,1,1,100000000,610000004259,
1,,Spine,3,2,1,100000001,610000004264,
0.971576,,Spine,2,2,1,100000001,610000004268,
0.990776,,Spine,0,1,1,100000000,610000004273,
0.993529,,Spine,12,2,1,100000000,610000004276,
0.991866,,Spine,10,3,1,100000000,610000004282,
0.998559,,Spine,4,3,1,100000001,610000004291,
0.984072,,Spine,4,1,1,100000000,610000004293,
1,,Spine,0,1,1,100000000,610000004299,
1,,Spine,12,2,1,100000000,610000004347,
1,,Spine,17,4,1,100000000,610000004348,
1,,Spine,14,2,1,100000000,610000004349,
1,,Spine,14,3,1,100000000,610000004350,
1,,Spine,13,2,1,100000000,610000004351,
1,,Spine,13,2,1,100000000,610000004352,
1,,Spine,13,2,1,100000000,610000004353,
1,,Spine,18,3,1,100000000,610000004354,
1,,Spine,15,1,1,100000000,610000004355,
1,,Spine,15,1,1,100000000,610000004356,
1,,Spine,12,1,1,100000000,610000004357,
1,,Spine,12,1,1,100000000,610000004358,
1,,Spine,11,1,1,100000000,610000004359,
1,,Spine,9,1,1,100000000,610000004360,
1,,Spine,8,1,1,100000000,610000004361,
1,,Spine,8,1,1,100000000,610000004362,
1,,Spine,11,5,1,100000000,610000004363,
1,,Spine,11,5,1,100000000,610000004364,
1,,Spine,17,6,1,100000000,610000004365,
1,,Spine,16,7,1,100000000,610000004366,
1,,Spine,11,4,1,100000000,610000004367,
1,,Spine,8,3,1,100000000,610000004368,
1,,Spine,10,3,1,100000000,610000004369,
1,,Spine,9,3,1,100000000,610000004370,
1,,Spine,10,3,1,100000000,610000004371,
1,,Spine,8,2,1,100000000,610000004372,
1,,Spine,8,2,1,100000000,610000004373,
1,,Spine,4,1,1,100000000,610000004374,
1,,Spine,4,1,1,100000000,610000004375,
1,,Spine,4,2,1,100000000,610000004376,
1,,Spine,3,2,1,100000000,610000004377,
1,,Spine,3,2,1,100000000,610000004378,
1,,Spine,1,1,1,100000000,610000004379,
1,,Spine,1,1,1,100000000,610000004380,
1,,Spine,0,1,1,100000000,610000004381,
1,,Spine,0,1,1,100000000,610000004382,
1,,Spine,15,4,1,100000000,610000004385,
1,,Spine,15,4,1,100000000,610000004386,
1,,Spine,14,6,1,100000000,610000004387,
1,,Spine,12,4,1,100000000,610000004388,
1,,Spine,12,3,1,100000000,610000004389,
1,,Spine,10,3,1,100000000,610000004390,
1,,Spine,10,4,1,100000000,610000004391,
1,,Spine,8,2,1,100000000,610000004392,
1,,Spine,8,2,1,100000000,610000004393,
1,,Spine,7,1,1,100000000,610000004394,
1,,Spine,7,1,1,100000000,610000004395,
1,,Spine,5,1,1,100000000,610000004396,
1,,Spine,4,2,1,100000000,610000004397,
1,,Spine,7,4,1,100000000,610000004400,
1,,Spine,7,4,1,100000000,610000004401,
1,,Spine,7,4,1,100000000,610000004402,
1,,Spine,7,4,1,100000000,610000004403,
1,,Spine,6,4,1,100000000,610000004404,
1,,Spine,5,2,1,100000000,610000004405,
1,,Spine,5,1,1,100000000,610000004406,
1,,Spine,0,1,1,100000000,610000004407,
1,,Spine,0,1,1,100000000,610000004408,
1,,Spine,0,1,1,100000000,610000004409,
1,,Spine,0,1,1,100000000,610000004410,
1,,Spine,0,1,1,100000000,610000004411,
1,,Spine,0,1,1,100000000,610000004412,
1,,Spine,0,1,1,100000000,610000004413,
1,,Spine,11,6,1,100000000,610000004414,
1,,Spine,11,6,1,100000000,610000004415,
1,,Spine,11,6,1,100000000,610000004416,
1,,Spine,9,4,1,100000000,610000004417,
1,,Spine,6,2,1,100000000,610000004418,
1,,Spine,5,2,1,100000000,610000004419,
1,,Spine,3,2,1,100000000,610000004420,
1,,Spine,2,1,1,100000000,610000004421,
1,,Spine,21,6,1,100000001,610000004423,
1,,Spine,21,6,1,100000001,610000004424,
1,,Spine,20,6,1,100000001,610000004425,
1,,Spine,20,6,1,100000001,610000004426,
1,,Spine,19,5,1,100000001,610000004427,
1,,Spine,20,5,1,100000001,610000004428,
1,,Spine,20,5,1,100000001,610000004429,
1,,Spine,17,4,1,100000001,610000004430,
1,,Spine,17,5,1,100000001,610000004431,
1,,Spine,17,5,1,100000001,610000004432,
1,,Spine,16,5,1,100000001,610000004433,
1,,Spine,16,5,1,100000001,610000004434,
1,,Spine,15,4,1,100000001,610000004435,
1,,Spine,16,4,1,100000001,610000004436,
1,,Spine,16,3,1,100000001,610000004437,
1,,Spine,12,3,1,100000001,610000004438,
1,,Spine,12,2,1,100000001,610000004439,
1,,Spine,11,3,1,100000001,610000004440,
1,,Spine,10,4,1,100000001,610000004441,
1,,Spine,6,2,1,100000001,610000004442,
1,,Spine,6,2,1,100000001,610000004443,
1,,Spine,8,4,1,100000001,610000004444,
1,,Spine,8,3,1,100000001,610000004445,
1,,Spine,11,5,1,100000001,610000004446,
1,,Spine,11,4,1,100000001,610000004447,
1,,Spine,11,4,1,100000001,610000004448,
1,,Spine,10,4,1,100000001,610000004449,
1,,Spine,7,3,1,100000001,610000004450,
1,,Spine,6,4,1,100000001,610000004451,
1,,Spine,5,3,1,100000001,610000004452,
1,,Spine,5,3,1,100000001,610000004453,
1,,Spine,4,2,1,100000001,610000004454,
1,,Spine,4,2,1,100000001,610000004455,
1,,Spine,14,2,1,100000001,610000004456,
1,,Spine,11,1,1,100000001,610000004457,
1,,Spine,8,2,1,100000001,610000004458,
1,,Spine,7,1,1,100000001,610000004459,
1,,Spine,9,3,1,100000001,610000004460,
1,,Spine,13,4,1,100000001,610000004461,
1,,Spine,13,4,1,100000001,610000004462,
1,,Spine,13,4,1,100000001,610000004463,
1,,Spine,13,3,1,100000001,610000004464,
1,,Spine,12,3,1,100000001,610000004465,
1,,Spine,9,2,1,100000001,610000004466,
1,,Spine,7,2,1,100000001,610000004467,
1,,Spine,3,1,1,100000001,610000004468,
1,,Spine,3,1,1,100000001,610000004469,
1,,Spine,2,2,1,100000001,610000004470,
1,,Spine,1,1,1,100000001,610000004471,
1,,Spine,3,2,1,100000001,610000004472,
1,,Spine,1,2,1,100000001,610000004473,
1,,Spine,1,2,1,100000001,610000004474,
