
Spine Terminal Pt Time Index
 ==================== 
Spine Terminal Pt Time Index,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Spine,13,8,1,100000001,610000004003,
1,,Spine,13,8,1,100000001,610000004007,
1,,Spine,11,6,1,100000000,610000004012,
1,,Spine,5,1,1,100000001,610000004016,
1,,Spine,13,8,1,100000001,610000004021,
1,,Spine,11,6,1,100000000,610000004026,
1,,Spine,13,8,1,100000001,610000004031,
1,,Spine,13,8,1,100000001,610000004035,
1,,Spine,11,6,1,100000000,610000004039,
1,,Spine,5,2,1,100000000,610000004044,
1,,Spine,2,1,1,100000000,610000004048,
1,,Spine,10,5,1,100000000,610000004050,
1,,Spine,,,1,,610000004052,
1,,Spine,5,2,1,100000001,610000004059,
1,,Spine,6,1,1,100000000,610000004062,
1,,Spine,21,6,1,100000001,610000004064,
1,,Spine,7,2,1,100000001,610000004066,
1,,Spine,11,1,1,100000001,610000004068,
1,,Spine,7,2,1,100000001,610000004074,
1,,Spine,23,6,1,100000001,610000004076,
1,,Spine,16,2,1,100000000,610000004079,
1,,Spine,,,1,,610000004081,
1,,Spine,4,2,1,100000001,610000004087,
1,,Spine,11,3,1,100000001,610000004089,
1,,Spine,1,2,1,100000001,610000004094,
1,,Spine,13,3,1,100000001,610000004099,
1,,Spine,10,3,1,100000000,610000004106,
1,,Spine,5,2,1,100000000,610000004108,
1,,Spine,4,2,1,100000001,610000004116,
1,,Spine,5,4,1,100000001,610000004118,
1,,Spine,,,1,,610000004120,
1,,Spine,16,2,1,100000000,610000004123,
1,,Spine,18,5,1,100000001,610000004125,
1,,Spine,9,3,1,100000000,610000004128,
1,,Spine,12,1,1,100000001,610000004135,
1,,Spine,12,3,1,100000000,610000004138,
1,,Spine,5,1,1,100000001,610000004140,
1,,Spine,4,1,1,100000000,610000004142,
1,,Spine,1,2,1,100000001,610000004145,
1,,Spine,10,3,1,100000000,610000004147,
1,,Spine,5,3,1,100000000,610000004149,
1,,Spine,14,1,1,100000000,610000004151,
1,,Spine,9,5,1,100000000,610000004154,
1,,Spine,3,2,1,100000001,610000004156,
1,,Spine,3,2,1,100000001,610000004158,
1,,Spine,12,2,1,100000001,610000004161,
1,,Spine,3,1,1,100000000,610000004172,
1,,Spine,17,6,1,100000001,610000004177,
1,,Spine,21,7,1,100000001,610000004179,
1,,Spine,16,4,1,100000001,610000004182,
1,,Spine,,,1,,610000004185,
1,,Spine,12,2,1,100000000,610000004189,
1,,Spine,8,2,1,100000001,610000004195,
1,,Spine,7,2,1,100000001,610000004198,
1,,Spine,9,3,1,100000000,610000004201,
1,,Spine,4,1,1,100000000,610000004203,
1,,Spine,12,3,1,100000000,610000004210,
1,,Spine,,,1,,610000004219,
1,,Spine,6,4,1,100000000,610000004243,
1,,Spine,6,4,1,100000000,610000004246,
1,,Spine,17,1,1,100000000,610000004257,
1,,Spine,13,1,1,100000000,610000004259,
1,,Spine,2,2,1,100000001,610000004268,
1,,Spine,0,1,1,100000000,610000004273,
1,,Spine,12,2,1,100000000,610000004276,
1,,Spine,10,3,1,100000000,610000004282,
1,,Spine,4,3,1,100000001,610000004291,
1,,Spine,4,1,1,100000000,610000004293,
1,,Spine,1,1,1,,610000004479,
1,,Spine,1,1,1,,610000004480,
1,,Spine,2,2,1,,610000004480,
1,,Spine,3,2,1,,610000004481,
1,,Spine,14,2,1,,610000004481,
1,,Spine,3,2,1,,610000004482,
1,,Spine,11,1,1,,610000004482,
1,,Spine,8,2,1,,610000004483,
1,,Spine,4,2,1,,610000004483,
1,,Spine,7,1,1,,610000004484,
1,,Spine,4,1,1,,610000004484,
1,,Spine,9,3,1,,610000004485,
1,,Spine,4,1,1,,610000004485,
1,,Spine,13,4,1,,610000004486,
1,,Spine,11,5,1,,610000004486,
1,,Spine,13,4,1,,610000004487,
1,,Spine,11,5,1,,610000004487,
1,,Spine,13,4,1,,610000004488,
1,,Spine,17,6,1,,610000004488,
1,,Spine,16,7,1,,610000004489,
1,,Spine,13,3,1,,610000004489,
1,,Spine,12,3,1,,610000004490,
1,,Spine,11,4,1,,610000004490,
1,,Spine,9,2,1,,610000004491,
1,,Spine,8,3,1,,610000004491,
1,,Spine,7,2,1,,610000004492,
1,,Spine,10,3,1,,610000004492,
1,,Spine,9,3,1,,610000004493,
1,,Spine,3,1,1,,610000004493,
