
Spine Center Intensity Mean Ch=3 Img=1
 ==================== 
Spine Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Spine,3,2,Image 1,2,1,100000005,610000008294,
0,,Spine,3,2,Image 1,2,1,100000005,610000008306,
0,,Spine,3,2,Image 1,2,1,100000005,610000008317,
0,,Spine,3,4,Image 1,2,1,100000001,610000008328,
0,,Spine,3,2,Image 1,2,1,100000003,610000008341,
0,,Spine,3,10,Image 1,2,1,100000002,610000008349,
0,,Spine,3,10,Image 1,2,1,100000002,610000008357,
0,,Spine,3,2,Image 1,1,1,100000004,610000008372,
0,,Spine,3,2,Image 1,1,1,100000004,610000008386,
3.22222,,Spine,3,9,Image 1,6,1,100000003,610000008394,
0,,Spine,3,5,Image 1,3,1,100000003,610000008401,
0,,Spine,3,5,Image 1,3,1,100000003,610000008408,
0,,Spine,3,5,Image 1,3,1,100000003,610000008415,
0,,Spine,3,0,Image 1,1,1,100000004,610000008426,
23.5,,Spine,3,1,Image 1,1,1,100000005,610000008431,
3.57143,,Spine,3,13,Image 1,1,1,100000002,610000008437,
0,,Spine,3,4,Image 1,1,1,100000001,610000008442,
0,,Spine,3,6,Image 1,3,1,100000001,610000008449,
0,,Spine,3,6,Image 1,3,1,100000001,610000008455,
0,,Spine,3,2,Image 1,2,1,100000004,610000008460,
2.22222,,Spine,3,5,Image 1,2,1,100000002,610000008468,
0,,Spine,3,8,Image 1,4,1,100000002,610000008471,
0,,Spine,3,2,Image 1,2,1,100000000,610000008476,
0,,Spine,3,6,Image 1,3,1,100000002,610000008483,
0,,Spine,3,1,Image 1,1,1,100000001,610000008486,
0,,Spine,3,7,Image 1,2,1,100000003,610000008501,
31.2857,,Spine,3,5,Image 1,3,1,100000003,610000008507,
0,,Spine,3,6,Image 1,6,1,100000003,610000008511,
0,,Spine,3,1,Image 1,2,1,100000000,610000008516,
0,,Spine,3,6,Image 1,1,1,100000003,610000008523,
0,,Spine,3,6,Image 1,3,1,100000005,610000008527,
0,,Spine,3,5,Image 1,3,1,100000003,610000008532,
0,,Spine,3,1,Image 1,1,1,100000002,610000008536,
0,,Spine,3,5,Image 1,3,1,100000003,610000008539,
0,,Spine,3,6,Image 1,1,1,100000001,610000008544,
0,,Spine,3,7,Image 1,2,1,100000003,610000008552,
0,,Spine,3,1,Image 1,1,1,100000002,610000008555,
0,,Spine,3,1,Image 1,2,1,100000000,610000008560,
0,,Spine,3,5,Image 1,3,1,100000002,610000008563,
0,,Spine,3,6,Image 1,2,1,100000003,610000008569,
0,,Spine,3,0,Image 1,1,1,100000000,610000008576,
0,,Spine,3,6,Image 1,3,1,100000005,610000008578,
0,,Spine,3,0,Image 1,1,1,100000000,610000008584,
0,,Spine,3,1,Image 1,2,1,100000000,610000008589,
0,,Spine,3,6,Image 1,4,1,100000002,610000008595,
0,,Spine,3,6,Image 1,1,1,100000002,610000008600,
0,,Spine,3,0,Image 1,1,1,100000005,610000008602,
0,,Spine,3,7,Image 1,2,1,100000003,610000008608,
0,,Spine,3,0,Image 1,1,1,100000001,610000008616,
0,,Spine,3,0,Image 1,1,1,100000000,610000008620,
0,,Spine,3,9,Image 1,4,1,100000002,610000008623,
0,,Spine,3,6,Image 1,3,1,100000002,610000008626,
0,,Spine,3,6,Image 1,2,1,100000003,610000008628,
5.33333,,Spine,3,0,Image 1,1,1,100000000,610000008631,
0,,Spine,3,3,Image 1,2,1,100000000,610000008634,
0,,Spine,3,8,Image 1,4,1,100000002,610000008638,
0,,Spine,3,0,Image 1,1,1,100000000,610000008643,
26.25,,Spine,3,0,Image 1,1,1,100000003,610000008647,
0,,Spine,3,1,Image 1,1,1,100000002,610000008653,
0,,Spine,3,0,Image 1,1,1,100000001,610000008656,
0,,Spine,3,8,Image 1,4,1,100000002,610000008659,
0,,Spine,3,0,Image 1,1,1,100000004,610000008661,
0,,Spine,3,1,Image 1,1,1,100000003,610000008664,
0,,Spine,3,11,Image 1,1,1,100000002,610000008668,
0,,Spine,3,0,Image 1,1,1,100000000,610000008671,
0,,Spine,3,0,Image 1,1,1,100000001,610000008673,
1,,Spine,3,1,Image 1,1,1,100000002,610000008676,
0,,Spine,3,1,Image 1,1,1,100000000,610000008681,
0,,Spine,3,1,Image 1,2,1,100000000,610000008688,
0,,Spine,3,4,Image 1,1,1,100000003,610000008691,
0,,Spine,3,1,Image 1,2,1,100000000,610000008693,
0,,Spine,3,2,Image 1,2,1,100000002,610000008695,
0,,Spine,3,2,Image 1,2,1,100000000,610000008699,
0,,Spine,3,5,Image 1,2,1,100000003,610000008701,
0,,Spine,3,0,Image 1,1,1,100000000,610000008704,
0,,Spine,3,0,Image 1,1,1,100000000,610000008712,
0,,Spine,3,2,Image 1,1,1,100000002,610000008714,
0,,Spine,3,0,Image 1,1,1,100000000,610000008717,
47,,Spine,3,2,Image 1,2,1,100000000,610000008719,
0,,Spine,3,0,Image 1,1,1,100000001,610000008722,
0,,Spine,3,0,Image 1,1,1,100000000,610000008727,
0,,Spine,3,11,Image 1,5,1,100000001,610000008731,
0,,Spine,3,1,Image 1,2,1,100000000,610000008733,
0,,Spine,3,6,Image 1,4,1,100000002,610000008737,
4.25,,Spine,3,3,Image 1,2,1,100000000,610000008742,
0,,Spine,3,5,Image 1,2,1,100000003,610000008747,
10.25,,Spine,3,4,Image 1,2,1,100000002,610000008750,
0,,Spine,3,0,Image 1,1,1,100000001,610000008753,
18,,Spine,3,6,Image 1,4,1,100000002,610000008756,
0,,Spine,3,0,Image 1,1,1,100000000,610000008759,
0,,Spine,3,3,Image 1,1,1,100000003,610000008762,
0,,Spine,3,5,Image 1,2,1,100000002,610000008765,
0,,Spine,3,4,Image 1,3,1,100000001,610000008768,
0,,Spine,3,0,Image 1,1,1,100000000,610000008771,
0,,Spine,3,6,Image 1,4,1,100000002,610000008775,
0,,Spine,3,0,Image 1,1,1,100000000,610000008783,
0,,Spine,3,0,Image 1,1,1,100000000,610000008787,
0,,Spine,3,0,Image 1,1,1,100000001,610000008791,
0,,Spine,3,1,Image 1,1,1,100000002,610000008794,
0,,Spine,3,0,Image 1,1,1,100000000,610000008799,
0,,Spine,3,1,Image 1,1,1,100000000,610000008804,
0,,Spine,3,0,Image 1,1,1,100000000,610000008808,
0,,Spine,3,7,Image 1,3,1,100000002,610000008810,
0,,Spine,3,1,Image 1,1,1,100000000,610000008819,
0,,Spine,3,2,Image 1,2,1,100000000,610000008822,
0,,Spine,3,6,Image 1,4,1,100000002,610000008825,
0,,Spine,3,1,Image 1,2,1,100000003,610000008827,
0,,Spine,3,5,Image 1,1,1,100000005,610000008832,
0,,Spine,3,0,Image 1,1,1,100000003,610000008837,
0,,Spine,3,1,Image 1,2,1,100000000,610000008839,
2,,Spine,3,1,Image 1,1,1,100000002,610000008842,
0,,Spine,3,0,Image 1,1,1,100000000,610000008844,
0,,Spine,3,1,Image 1,1,1,100000000,610000008847,
0,,Spine,3,1,Image 1,2,1,100000000,610000008858,
0,,Spine,3,1,Image 1,2,1,100000000,610000008864,
0,,Spine,3,1,Image 1,2,1,100000000,610000008883,
7,,Spine,3,2,Image 1,1,1,100000000,610000008943,
15,,Spine,3,2,Image 1,1,1,100000000,610000008944,
0,,Spine,3,1,Image 1,1,1,100000000,610000008945,
0,,Spine,3,3,Image 1,2,1,100000000,610000008947,
35,,Spine,3,3,Image 1,2,1,100000000,610000008948,
0,,Spine,3,2,Image 1,2,1,100000000,610000008949,
0,,Spine,3,2,Image 1,2,1,100000000,610000008950,
0,,Spine,3,2,Image 1,2,1,100000000,610000008951,
0,,Spine,3,0,Image 1,1,1,100000000,610000008952,
0,,Spine,3,0,Image 1,1,1,100000000,610000008953,
0,,Spine,3,0,Image 1,1,1,100000000,610000008954,
11,,Spine,3,2,Image 1,2,1,100000000,610000008955,
0,,Spine,3,2,Image 1,2,1,100000000,610000008956,
22,,Spine,3,1,Image 1,1,1,100000000,610000008957,
0,,Spine,3,3,Image 1,4,1,100000000,610000008958,
81.5,,Spine,3,3,Image 1,4,1,100000000,610000008959,
48.5,,Spine,3,3,Image 1,3,1,100000000,610000008960,
0,,Spine,3,2,Image 1,3,1,100000000,610000008961,
0,,Spine,3,2,Image 1,3,1,100000000,610000008962,
0,,Spine,3,1,Image 1,1,1,100000000,610000008964,
28,,Spine,3,0,Image 1,1,1,100000000,610000008966,
10,,Spine,3,0,Image 1,1,1,100000000,610000008969,
67,,Spine,3,0,Image 1,1,1,100000000,610000008970,
0,,Spine,3,0,Image 1,1,1,100000000,610000008971,
0,,Spine,3,2,Image 1,1,1,100000001,610000008973,
0,,Spine,3,0,Image 1,1,1,100000001,610000008974,
0,,Spine,3,4,Image 1,2,1,100000001,610000008975,
0,,Spine,3,4,Image 1,2,1,100000001,610000008976,
0,,Spine,3,5,Image 1,2,1,100000001,610000008977,
0,,Spine,3,1,Image 1,1,1,100000001,610000008978,
0,,Spine,3,0,Image 1,1,1,100000001,610000008979,
