
Spine Position Z
 ==================== 
Spine Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1446.6,µm,Spine,Spine Position,2,2,1,100000005,610000008294,
1446.44,µm,Spine,Spine Position,2,2,1,100000005,610000008306,
1446.22,µm,Spine,Spine Position,2,2,1,100000005,610000008317,
1444.09,µm,Spine,Spine Position,4,2,1,100000001,610000008328,
1456.51,µm,Spine,Spine Position,2,2,1,100000003,610000008341,
1442.9,µm,Spine,Spine Position,10,2,1,100000002,610000008349,
1442.98,µm,Spine,Spine Position,10,2,1,100000002,610000008357,
1459.95,µm,Spine,Spine Position,2,1,1,100000004,610000008372,
1459.95,µm,Spine,Spine Position,2,1,1,100000004,610000008386,
1452.73,µm,Spine,Spine Position,9,6,1,100000003,610000008394,
1440.68,µm,Spine,Spine Position,5,3,1,100000003,610000008401,
1440.6,µm,Spine,Spine Position,5,3,1,100000003,610000008408,
1440.62,µm,Spine,Spine Position,5,3,1,100000003,610000008415,
1451.03,µm,Spine,Spine Position,0,1,1,100000004,610000008426,
1453.35,µm,Spine,Spine Position,1,1,1,100000005,610000008431,
1455.6,µm,Spine,Spine Position,13,1,1,100000002,610000008437,
1441.71,µm,Spine,Spine Position,4,1,1,100000001,610000008442,
1458.94,µm,Spine,Spine Position,6,3,1,100000001,610000008449,
1459.06,µm,Spine,Spine Position,6,3,1,100000001,610000008455,
1441.62,µm,Spine,Spine Position,2,2,1,100000004,610000008460,
1452.71,µm,Spine,Spine Position,5,2,1,100000002,610000008468,
1443.12,µm,Spine,Spine Position,8,4,1,100000002,610000008471,
1441.92,µm,Spine,Spine Position,2,2,1,100000000,610000008476,
1453.63,µm,Spine,Spine Position,6,3,1,100000002,610000008483,
1456.98,µm,Spine,Spine Position,1,1,1,100000001,610000008486,
1439.24,µm,Spine,Spine Position,7,2,1,100000003,610000008501,
1441,µm,Spine,Spine Position,5,3,1,100000003,610000008507,
1452.53,µm,Spine,Spine Position,6,6,1,100000003,610000008511,
1441.03,µm,Spine,Spine Position,1,2,1,100000000,610000008516,
1439.89,µm,Spine,Spine Position,6,1,1,100000003,610000008523,
1455.14,µm,Spine,Spine Position,4,2,1,100000005,610000008527,
1440.86,µm,Spine,Spine Position,5,3,1,100000003,610000008532,
1458.35,µm,Spine,Spine Position,1,1,1,100000002,610000008536,
1440.84,µm,Spine,Spine Position,5,3,1,100000003,610000008539,
1459.1,µm,Spine,Spine Position,6,1,1,100000001,610000008544,
1439.3,µm,Spine,Spine Position,7,2,1,100000003,610000008552,
1458.09,µm,Spine,Spine Position,1,1,1,100000002,610000008555,
1443.36,µm,Spine,Spine Position,0,1,1,100000000,610000008560,
1444.77,µm,Spine,Spine Position,5,3,1,100000002,610000008563,
1439.14,µm,Spine,Spine Position,6,2,1,100000003,610000008569,
1443.29,µm,Spine,Spine Position,0,1,1,100000000,610000008576,
1450.94,µm,Spine,Spine Position,4,2,1,100000005,610000008578,
1444.5,µm,Spine,Spine Position,0,1,1,100000000,610000008584,
1443.06,µm,Spine,Spine Position,0,1,1,100000000,610000008589,
1453.18,µm,Spine,Spine Position,6,4,1,100000002,610000008595,
1449.82,µm,Spine,Spine Position,6,1,1,100000002,610000008600,
1447.18,µm,Spine,Spine Position,0,1,1,100000005,610000008602,
1439.39,µm,Spine,Spine Position,7,2,1,100000003,610000008608,
1440.1,µm,Spine,Spine Position,0,1,1,100000001,610000008616,
1443.83,µm,Spine,Spine Position,0,1,1,100000000,610000008620,
1448.74,µm,Spine,Spine Position,9,4,1,100000002,610000008623,
1449.95,µm,Spine,Spine Position,6,3,1,100000002,610000008626,
1439.31,µm,Spine,Spine Position,6,2,1,100000003,610000008628,
1444.57,µm,Spine,Spine Position,0,1,1,100000000,610000008631,
1439.24,µm,Spine,Spine Position,3,2,1,100000000,610000008634,
