
Spine Terminal Pt Distance from Origin
 ==================== 
Spine Terminal Pt Distance from Origin,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
19384.9,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000005,610000008294,
19384.5,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000005,610000008306,
19384.7,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000005,610000008317,
19440.8,µm,Spine,Spine Terminal Pt Distance from Origin,4,2,1,100000001,610000008328,
19462.7,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000003,610000008341,
19447.1,µm,Spine,Spine Terminal Pt Distance from Origin,10,2,1,100000002,610000008349,
19447.2,µm,Spine,Spine Terminal Pt Distance from Origin,10,2,1,100000002,610000008357,
19383.5,µm,Spine,Spine Terminal Pt Distance from Origin,2,1,1,100000004,610000008372,
19384,µm,Spine,Spine Terminal Pt Distance from Origin,2,1,1,100000004,610000008386,
19435.2,µm,Spine,Spine Terminal Pt Distance from Origin,9,6,1,100000003,610000008394,
19447.2,µm,Spine,Spine Terminal Pt Distance from Origin,5,3,1,100000003,610000008401,
19447.2,µm,Spine,Spine Terminal Pt Distance from Origin,5,3,1,100000003,610000008408,
19447.1,µm,Spine,Spine Terminal Pt Distance from Origin,5,3,1,100000003,610000008415,
19422.3,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000004,610000008426,
19407,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000005,610000008431,
19441.7,µm,Spine,Spine Terminal Pt Distance from Origin,13,1,1,100000002,610000008437,
19445.8,µm,Spine,Spine Terminal Pt Distance from Origin,4,1,1,100000001,610000008442,
19431,µm,Spine,Spine Terminal Pt Distance from Origin,6,3,1,100000001,610000008449,
19431.9,µm,Spine,Spine Terminal Pt Distance from Origin,6,3,1,100000001,610000008455,
19382,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000004,610000008460,
19475.5,µm,Spine,Spine Terminal Pt Distance from Origin,5,2,1,100000002,610000008468,
19492.3,µm,Spine,Spine Terminal Pt Distance from Origin,8,4,1,100000002,610000008471,
19469,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000000,610000008476,
19476.7,µm,Spine,Spine Terminal Pt Distance from Origin,6,3,1,100000002,610000008483,
19452.6,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000001,610000008486,
19437.4,µm,Spine,Spine Terminal Pt Distance from Origin,7,2,1,100000003,610000008501,
19450.1,µm,Spine,Spine Terminal Pt Distance from Origin,5,3,1,100000003,610000008507,
19425.4,µm,Spine,Spine Terminal Pt Distance from Origin,6,6,1,100000003,610000008511,
19449.5,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,100000000,610000008516,
19429.7,µm,Spine,Spine Terminal Pt Distance from Origin,6,1,1,100000003,610000008523,
19406.8,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000008525,
19451.3,µm,Spine,Spine Terminal Pt Distance from Origin,5,3,1,100000003,610000008532,
19477.6,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000002,610000008536,
19450.5,µm,Spine,Spine Terminal Pt Distance from Origin,5,3,1,100000003,610000008539,
19442.3,µm,Spine,Spine Terminal Pt Distance from Origin,6,1,1,100000001,610000008544,
19436.9,µm,Spine,Spine Terminal Pt Distance from Origin,7,2,1,100000003,610000008552,
19477.8,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000002,610000008555,
19486.9,µm,Spine,Spine Terminal Pt Distance from Origin,5,3,1,100000002,610000008563,
19435.5,µm,Spine,Spine Terminal Pt Distance from Origin,6,2,1,100000003,610000008569,
19449.8,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000000,610000008576,
19449.2,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000008586,
19470.1,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000008591,
19456.8,µm,Spine,Spine Terminal Pt Distance from Origin,6,1,1,100000002,610000008600,
19396.7,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000005,610000008602,
19436.4,µm,Spine,Spine Terminal Pt Distance from Origin,7,2,1,100000003,610000008608,
19446.5,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000001,610000008616,
19450.7,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000000,610000008620,
19495.8,µm,Spine,Spine Terminal Pt Distance from Origin,9,4,1,100000002,610000008623,
