
Segment Intensity Mean Ch=4 Img=1
 ==================== 
Segment Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,4,13,Image 1,4,1,100000001,510000000024,
0,,Segment,4,12,Image 1,3,1,100000001,510000000036,
0,,Segment,4,11,Image 1,2,1,100000001,510000000073,
0,,Segment,4,10,Image 1,2,1,100000001,510000000082,
0,,Segment,4,9,Image 1,2,1,100000001,510000000087,
0,,Segment,4,8,Image 1,2,1,100000001,510000000092,
0,,Segment,4,7,Image 1,2,1,100000001,510000000112,
0,,Segment,4,5,Image 1,2,1,100000001,510000000120,
0,,Segment,4,4,Image 1,1,1,100000001,510000000132,
0,,Segment,4,3,Image 1,1,1,100000001,510000000138,
0,,Segment,4,2,Image 1,1,1,100000001,510000000155,
0,,Segment,4,1,Image 1,1,1,100000001,510000000161,
3.76978,,Segment,4,0,Image 1,1,1,100000001,510000000174,
2.42623,,Segment,4,3,Image 1,2,1,100000000,510000000192,
0.0128205,,Segment,4,2,Image 1,2,1,100000000,510000000200,
0,,Segment,4,1,Image 1,1,1,100000000,510000000205,
0,,Segment,4,0,Image 1,1,1,100000000,510000000224,
0,,Segment,4,6,Image 1,4,1,100000000,510000000276,
0,,Segment,4,5,Image 1,3,1,100000000,510000000280,
0,,Segment,4,4,Image 1,2,1,100000000,510000000293,
0.982558,,Segment,4,3,Image 1,1,1,100000000,510000000298,
0.591954,,Segment,4,2,Image 1,1,1,100000000,510000000303,
1.74453,,Segment,4,1,Image 1,1,1,100000000,510000000306,
0.394389,,Segment,4,0,Image 1,1,1,100000000,510000000371,
0,,Segment,4,1,Image 1,1,1,100000004,510000000437,
0,,Segment,4,0,Image 1,1,1,100000004,510000000457,
0,,Segment,4,7,Image 1,5,1,100000004,510000000482,
0,,Segment,4,6,Image 1,5,1,100000004,510000000486,
0,,Segment,4,4,Image 1,4,1,100000004,510000000492,
0,,Segment,4,3,Image 1,3,1,100000004,510000000499,
0,,Segment,4,2,Image 1,3,1,100000004,510000000508,
0,,Segment,4,1,Image 1,2,1,100000004,510000000544,
0,,Segment,4,6,Image 1,6,1,100000004,510000000556,
0,,Segment,4,5,Image 1,2,1,100000004,510000000571,
0,,Segment,4,4,Image 1,2,1,100000004,510000000581,
0,,Segment,4,3,Image 1,2,1,100000004,510000000614,
0,,Segment,4,2,Image 1,2,1,100000004,510000000625,
0,,Segment,4,5,Image 1,3,1,100000004,510000000630,
0,,Segment,4,5,Image 1,4,1,100000004,510000000637,
0,,Segment,4,4,Image 1,3,1,100000004,510000000642,
0,,Segment,4,4,Image 1,3,1,100000004,510000000644,
0,,Segment,4,3,Image 1,3,1,100000004,510000000649,
0,,Segment,4,3,Image 1,4,1,100000004,510000000651,
0,,Segment,4,12,Image 1,7,1,100000003,510000000665,
0,,Segment,4,11,Image 1,6,1,100000003,510000000671,
0.114219,,Segment,4,10,Image 1,5,1,100000003,510000000709,
0,,Segment,4,9,Image 1,4,1,100000003,510000000713,
17.2885,,Segment,4,8,Image 1,4,1,100000003,510000000737,
29.7629,,Segment,4,7,Image 1,4,1,100000003,510000000741,
6.095,,Segment,4,5,Image 1,4,1,100000003,510000000752,
10.4269,,Segment,4,4,Image 1,4,1,100000003,510000000769,
0,,Segment,4,3,Image 1,3,1,100000003,510000000786,
0,,Segment,4,2,Image 1,2,1,100000003,510000000811,
0,,Segment,4,1,Image 1,2,1,100000003,510000000814,
