
Spine Position
 ==================== 
Spine Position X,Spine Position Y,Spine Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-16403.2,24506.9,1389.21,µm,Spine,Spine Position,0,1,1,100000000,610000007722,
-16442.6,24516.4,1397.53,µm,Spine,Spine Position,0,1,1,100000001,610000007859,
-16443,24515.4,1392.16,µm,Spine,Spine Position,0,1,1,100000001,610000007952,
-16393,24497.7,1388.76,µm,Spine,Spine Position,0,1,1,100000000,610000008038,
-16498,24459.9,1407.29,µm,Spine,Spine Position,0,1,1,100000002,610000008063,
-16438.6,24511,1393.76,µm,Spine,Spine Position,0,1,1,100000001,610000008086,
-16436.2,24511.2,1394.33,µm,Spine,Spine Position,0,1,1,100000001,610000008090,
-16392.3,24509.6,1388.72,µm,Spine,Spine Position,0,1,1,100000000,610000008127,
-16437.8,24509.4,1393.18,µm,Spine,Spine Position,0,1,1,100000001,610000008130,
-16488,24555.5,1408.22,µm,Spine,Spine Position,0,1,1,100000004,610000008135,
-16501.2,24551.9,1388.33,µm,Spine,Spine Position,0,1,1,100000004,610000008141,
-16390.5,24500.4,1391.09,µm,Spine,Spine Position,0,1,1,100000000,610000008188,
-16443.2,24515.2,1392.07,µm,Spine,Spine Position,0,1,1,100000001,610000008234,
-16444.3,24520.1,1392.32,µm,Spine,Spine Position,0,1,1,100000001,610000008248,
-16398.6,24507,1395.21,µm,Spine,Spine Position,0,1,1,100000000,610000008305,
-16407.8,24508,1389.29,µm,Spine,Spine Position,0,1,1,100000000,610000008311,
-16392.6,24497.6,1388.61,µm,Spine,Spine Position,0,1,1,100000000,610000008325,
-16391.3,24498.8,1390,µm,Spine,Spine Position,0,1,1,100000000,610000008326,
-16390.5,24500,1390.86,µm,Spine,Spine Position,0,1,1,100000000,610000008327,
-16400.3,24500.2,1389.17,µm,Spine,Spine Position,0,1,1,100000000,610000008333,
-16437.1,24510.4,1395.07,µm,Spine,Spine Position,0,1,1,100000001,610000008400,
-16439.7,24513,1390.05,µm,Spine,Spine Position,0,1,1,100000001,610000008403,
-16507.6,24463.7,1398.82,µm,Spine,Spine Position,0,1,1,100000002,610000008406,
-16507.5,24463.1,1398.93,µm,Spine,Spine Position,0,1,1,100000002,610000008407,
-16497.4,24458.4,1397.76,µm,Spine,Spine Position,0,1,1,100000002,610000008434,
-16501.1,24549.4,1388.65,µm,Spine,Spine Position,0,1,1,100000004,610000008477,
-16496.3,24553.5,1391.84,µm,Spine,Spine Position,0,1,1,100000004,610000008485,
-16489.5,24554.7,1402.19,µm,Spine,Spine Position,0,1,1,100000004,610000008486,
-16399.4,24504.6,1394.44,µm,Spine,Spine Position,1,1,1,100000000,610000007754,
-16496.1,24458.9,1394.49,µm,Spine,Spine Position,1,1,1,100000002,610000007863,
-16391.2,24503.9,1396.28,µm,Spine,Spine Position,1,1,1,100000000,610000007881,
-16393.3,24505.9,1396.17,µm,Spine,Spine Position,1,1,1,100000000,610000007915,
-16396.3,24503.8,1388.58,µm,Spine,Spine Position,1,1,1,100000000,610000007932,
