
Segment Center Intensity Max Ch=1 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
3,,Segment,1,6,Image 1,3,1,100000003,510000000045,
3,,Segment,1,5,Image 1,2,1,100000003,510000000102,
1,,Segment,1,4,Image 1,2,1,100000003,510000000104,
9,,Segment,1,3,Image 1,2,1,100000003,510000000144,
3,,Segment,1,2,Image 1,1,1,100000003,510000000184,
3,,Segment,1,1,Image 1,1,1,100000003,510000000197,
2,,Segment,1,0,Image 1,1,1,100000003,510000000220,
4,,Segment,1,5,Image 1,3,1,100000003,510000000245,
1,,Segment,1,4,Image 1,3,1,100000003,510000000248,
1,,Segment,1,7,Image 1,2,1,100000003,510000000252,
2,,Segment,1,6,Image 1,1,1,100000003,510000000272,
2,,Segment,1,5,Image 1,1,1,100000003,510000000298,
5,,Segment,1,4,Image 1,1,1,100000003,510000000393,
2,,Segment,1,3,Image 1,1,1,100000003,510000000425,
3,,Segment,1,2,Image 1,1,1,100000003,510000000454,
4,,Segment,1,1,Image 1,1,1,100000003,510000000496,
4,,Segment,1,0,Image 1,1,1,100000003,510000000537,
1,,Segment,1,7,Image 1,1,1,100000003,510000000559,
1,,Segment,1,5,Image 1,2,1,100000003,510000000574,
3,,Segment,1,3,Image 1,3,1,100000003,510000000644,
1,,Segment,1,2,Image 1,2,1,100000003,510000000669,
2,,Segment,1,3,Image 1,2,1,100000003,510000000682,
1,,Segment,1,1,Image 1,2,1,100000003,510000000702,
2,,Segment,1,0,Image 1,1,1,100000003,510000000760,
2,,Segment,1,1,Image 1,1,1,100000003,510000000779,
133,,Segment,1,5,Image 1,5,1,100000001,510000000781,
25,,Segment,1,4,Image 1,4,1,100000001,510000000797,
2,,Segment,1,3,Image 1,3,1,100000001,510000000813,
2,,Segment,1,2,Image 1,2,1,100000001,510000000837,
7,,Segment,1,1,Image 1,2,1,100000001,510000000844,
2,,Segment,1,0,Image 1,1,1,100000001,510000000857,
11,,Segment,1,5,Image 1,3,1,100000001,510000000909,
1,,Segment,1,4,Image 1,3,1,100000001,510000000911,
25,,Segment,1,4,Image 1,3,1,100000001,510000000974,
2,,Segment,1,3,Image 1,2,1,100000001,510000000996,
3,,Segment,1,5,Image 1,3,1,100000001,510000001033,
2,,Segment,1,4,Image 1,2,1,100000001,510000001037,
