
Segment Center Number of Voxel Ch=5 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
18,,Segment,5,6,Image 1,3,1,100000003,510000000045,
58,,Segment,5,5,Image 1,2,1,100000003,510000000102,
3,,Segment,5,4,Image 1,2,1,100000003,510000000104,
41,,Segment,5,3,Image 1,2,1,100000003,510000000144,
41,,Segment,5,2,Image 1,1,1,100000003,510000000184,
14,,Segment,5,1,Image 1,1,1,100000003,510000000197,
17,,Segment,5,0,Image 1,1,1,100000003,510000000220,
8,,Segment,5,5,Image 1,3,1,100000003,510000000245,
4,,Segment,5,4,Image 1,3,1,100000003,510000000248,
5,,Segment,5,7,Image 1,2,1,100000003,510000000252,
21,,Segment,5,6,Image 1,1,1,100000003,510000000272,
27,,Segment,5,5,Image 1,1,1,100000003,510000000298,
96,,Segment,5,4,Image 1,1,1,100000003,510000000393,
33,,Segment,5,3,Image 1,1,1,100000003,510000000425,
17,,Segment,5,2,Image 1,1,1,100000003,510000000454,
43,,Segment,5,1,Image 1,1,1,100000003,510000000496,
41,,Segment,5,0,Image 1,1,1,100000003,510000000537,
9,,Segment,5,7,Image 1,1,1,100000003,510000000559,
16,,Segment,5,5,Image 1,2,1,100000003,510000000574,
70,,Segment,5,3,Image 1,3,1,100000003,510000000644,
26,,Segment,5,2,Image 1,2,1,100000003,510000000669,
14,,Segment,5,3,Image 1,2,1,100000003,510000000682,
18,,Segment,5,1,Image 1,2,1,100000003,510000000702,
42,,Segment,5,0,Image 1,1,1,100000003,510000000760,
7,,Segment,5,1,Image 1,1,1,100000003,510000000779,
3,,Segment,5,5,Image 1,5,1,100000001,510000000781,
17,,Segment,5,4,Image 1,4,1,100000001,510000000797,
17,,Segment,5,3,Image 1,3,1,100000001,510000000813,
25,,Segment,5,2,Image 1,2,1,100000001,510000000837,
8,,Segment,5,1,Image 1,2,1,100000001,510000000844,
8,,Segment,5,0,Image 1,1,1,100000001,510000000857,
52,,Segment,5,5,Image 1,3,1,100000001,510000000909,
3,,Segment,5,4,Image 1,3,1,100000001,510000000911,
64,,Segment,5,4,Image 1,3,1,100000001,510000000974,
23,,Segment,5,3,Image 1,2,1,100000001,510000000996,
38,,Segment,5,5,Image 1,3,1,100000001,510000001033,
5,,Segment,5,4,Image 1,2,1,100000001,510000001037,
6,,Segment,5,5,Image 1,2,1,100000001,510000001042,
4,,Segment,5,5,Image 1,4,1,100000001,510000001045,
76,,Segment,5,0,Image 1,1,1,100000005,510000001124,
14,,Segment,5,5,Image 1,2,1,100000005,510000001186,
23,,Segment,5,4,Image 1,2,1,100000005,510000001208,
6,,Segment,5,3,Image 1,1,1,100000005,510000001213,
5,,Segment,5,2,Image 1,1,1,100000005,510000001217,
13,,Segment,5,1,Image 1,1,1,100000005,510000001229,
3,,Segment,5,0,Image 1,1,1,100000005,510000001235,
17,,Segment,5,6,Image 1,2,1,100000000,510000001269,
8,,Segment,5,5,Image 1,1,1,100000000,510000001276,
4,,Segment,5,4,Image 1,1,1,100000000,510000001279,
13,,Segment,5,3,Image 1,1,1,100000000,510000001291,
17,,Segment,5,2,Image 1,1,1,100000000,510000001307,
61,,Segment,5,1,Image 1,1,1,100000000,510000001367,
29,,Segment,5,0,Image 1,1,1,100000000,510000001412,
5,,Segment,5,5,Image 1,3,1,100000005,510000001434,
3,,Segment,5,7,Image 1,2,1,100000000,510000001436,
3,,Segment,5,6,Image 1,1,1,100000000,510000001438,
40,,Segment,5,1,Image 1,1,1,100000005,510000001477,
24,,Segment,5,0,Image 1,1,1,100000005,510000001503,
19,,Segment,5,3,Image 1,2,1,100000000,510000001528,
8,,Segment,5,2,Image 1,2,1,100000000,510000001535,
4,,Segment,5,4,Image 1,2,1,100000003,510000001538,
8,,Segment,5,3,Image 1,3,1,100000005,510000001545,
8,,Segment,5,2,Image 1,2,1,100000005,510000001552,
12,,Segment,5,1,Image 1,1,1,100000005,510000001563,
13,,Segment,5,4,Image 1,1,1,100000005,510000001585,
27,,Segment,5,3,Image 1,1,1,100000005,510000001611,
8,,Segment,5,4,Image 1,2,1,100000005,510000001619,
4,,Segment,5,5,Image 1,2,1,100000000,510000001622,
4,,Segment,5,3,Image 1,2,1,100000003,510000001625,
4,,Segment,5,4,Image 1,2,1,100000000,510000001628,
3,,Segment,5,3,Image 1,2,1,100000000,510000001631,
6,,Segment,5,3,Image 1,3,1,100000000,510000001636,
8,,Segment,5,1,Image 1,2,1,100000005,510000001643,
7,,Segment,5,3,Image 1,2,1,100000005,510000001649,
4,,Segment,5,2,Image 1,2,1,100000005,510000001652,
3,,Segment,5,1,Image 1,1,1,100000005,510000001654,
7,,Segment,5,0,Image 1,1,1,100000005,510000001666,
6,,Segment,5,4,Image 1,1,1,100000005,510000001675,
7,,Segment,5,1,Image 1,2,1,100000005,510000001681,
6,,Segment,5,0,Image 1,1,1,100000005,510000001686,
5,,Segment,5,2,Image 1,1,1,100000005,510000001699,
7,,Segment,5,0,Image 1,1,1,100000005,510000001705,
35,,Segment,5,2,Image 1,2,1,100000000,510000001739,
21,,Segment,5,1,Image 1,2,1,100000000,510000001759,
4,,Segment,5,0,Image 1,1,1,100000005,510000001765,
8,,Segment,5,0,Image 1,1,1,100000005,510000001775,
17,,Segment,5,7,Image 1,3,1,100000001,510000001793,
26,,Segment,5,6,Image 1,3,1,100000001,510000001818,
3,,Segment,5,5,Image 1,2,1,100000001,510000001820,
47,,Segment,5,4,Image 1,1,1,100000001,510000001866,
7,,Segment,5,3,Image 1,1,1,100000001,510000001872,
5,,Segment,5,2,Image 1,1,1,100000001,510000001876,
12,,Segment,5,1,Image 1,1,1,100000001,510000001887,
12,,Segment,5,0,Image 1,1,1,100000001,510000001917,
8,,Segment,5,0,Image 1,1,1,100000005,510000001934,
14,,Segment,5,7,Image 1,4,1,100000001,510000001953,
4,,Segment,5,1,Image 1,2,1,100000005,510000001956,
9,,Segment,5,0,Image 1,1,1,100000005,510000001965,
3,,Segment,5,0,Image 1,1,1,100000005,510000001986,
3,,Segment,5,2,Image 1,3,1,100000003,510000001989,
16,,Segment,5,1,Image 1,2,1,100000003,510000002004,
4,,Segment,5,1,Image 1,1,1,100000005,510000002007,
3,,Segment,5,1,Image 1,2,1,100000005,510000002009,
26,,Segment,5,1,Image 1,1,1,100000001,510000002034,
24,,Segment,5,0,Image 1,1,1,100000001,510000002062,
3,,Segment,5,2,Image 1,2,1,100000003,510000002080,
4,,Segment,5,2,Image 1,2,1,100000005,510000002087,
4,,Segment,5,0,Image 1,1,1,100000005,510000002090,
5,,Segment,5,7,Image 1,3,1,100000001,510000002095,
6,,Segment,5,6,Image 1,2,1,100000001,510000002100,
27,,Segment,5,5,Image 1,1,1,100000001,510000002126,
56,,Segment,5,0,Image 1,1,1,100000002,510000002200,
8,,Segment,5,0,Image 1,1,1,100000005,510000002214,
2,,Segment,5,0,Image 1,1,1,100000005,510000002222,
19,,Segment,5,2,Image 1,3,1,100000000,510000002240,
3,,Segment,5,0,Image 1,1,1,100000005,510000002242,
2,,Segment,5,0,Image 1,1,1,100000005,510000002255,
25,,Segment,5,1,Image 1,1,1,100000004,510000002280,
41,,Segment,5,0,Image 1,1,1,100000004,510000002324,
2,,Segment,5,0,Image 1,1,1,100000005,510000002349,
3,,Segment,5,3,Image 1,1,1,100000003,510000002351,
3,,Segment,5,7,Image 1,2,1,100000001,510000002356,
48,,Segment,5,1,Image 1,2,1,100000001,510000002403,
29,,Segment,5,2,Image 1,2,1,100000001,510000002432,
8,,Segment,5,0,Image 1,1,1,100000001,510000002445,
18,,Segment,5,2,Image 1,2,1,100000003,510000002462,
7,,Segment,5,1,Image 1,1,1,100000003,510000002468,
16,,Segment,5,0,Image 1,1,1,100000003,510000002484,
6,,Segment,5,4,Image 1,2,1,100000001,510000002491,
2,,Segment,5,1,Image 1,2,1,100000004,510000002500,
35,,Segment,5,0,Image 1,1,1,100000004,510000002538,
12,,Segment,5,2,Image 1,2,1,100000003,510000002581,
7,,Segment,5,1,Image 1,2,1,100000004,510000002587,
5,,Segment,5,1,Image 1,2,1,100000003,510000002591,
4,,Segment,5,1,Image 1,1,1,100000004,510000002594,
5,,Segment,5,3,Image 1,2,1,100000001,510000002598,
3,,Segment,5,2,Image 1,1,1,100000001,510000002600,
17,,Segment,5,2,Image 1,1,1,100000003,510000002629,
5,,Segment,5,0,Image 1,1,1,100000005,510000002633,
4,,Segment,5,3,Image 1,1,1,100000001,510000002644,
15,,Segment,5,3,Image 1,2,1,100000001,510000002659,
2,,Segment,5,0,Image 1,1,1,100000005,510000002665,
4,,Segment,5,1,Image 1,2,1,100000001,510000002668,
2,,Segment,5,0,Image 1,1,1,100000003,510000002678,
8,,Segment,5,0,Image 1,1,1,100000002,510000002705,
13,,Segment,5,2,Image 1,2,1,100000002,510000002730,
3,,Segment,5,1,Image 1,2,1,100000002,510000002732,
5,,Segment,5,0,Image 1,1,1,100000002,510000002745,
4,,Segment,5,1,Image 1,2,1,100000001,510000002748,
20,,Segment,5,1,Image 1,1,1,100000002,510000002767,
3,,Segment,5,0,Image 1,1,1,100000002,510000002773,
33,,Segment,5,4,Image 1,3,1,100000001,510000002806,
4,,Segment,5,3,Image 1,3,1,100000001,510000002809,
8,,Segment,5,1,Image 1,1,1,100000002,510000002817,
2,,Segment,5,0,Image 1,1,1,100000002,510000002821,
3,,Segment,5,0,Image 1,1,1,100000002,510000002825,
4,,Segment,5,0,Image 1,1,1,100000002,510000002832,
4,,Segment,5,0,Image 1,1,1,100000000,510000002885,
3,,Segment,5,1,Image 1,2,1,100000002,510000002901,
8,,Segment,5,1,Image 1,2,1,100000001,510000002908,
3,,Segment,5,0,Image 1,1,1,100000002,510000002911,
4,,Segment,5,1,Image 1,2,1,100000003,510000002914,
1,,Segment,5,0,Image 1,1,1,100000003,510000002922,
3,,Segment,5,2,Image 1,2,1,100000001,510000002924,
5,,Segment,5,0,Image 1,1,1,100000004,510000002928,
3,,Segment,5,0,Image 1,1,1,100000004,510000002944,
4,,Segment,5,0,Image 1,1,1,100000004,510000002947,
6,,Segment,5,1,Image 1,1,1,100000002,510000002952,
2,,Segment,5,0,Image 1,1,1,100000002,510000002957,
11,,Segment,5,0,Image 1,1,1,100000002,510000002987,
8,,Segment,5,1,Image 1,1,1,100000001,510000002996,
3,,Segment,5,0,Image 1,1,1,100000000,510000003000,
7,,Segment,5,1,Image 1,2,1,100000002,510000003020,
2,,Segment,5,0,Image 1,1,1,100000004,510000003025,
9,,Segment,5,0,Image 1,1,1,100000000,510000003056,
2,,Segment,5,0,Image 1,1,1,100000002,510000003061,
2,,Segment,5,7,Image 1,1,1,100000000,510000003073,
2,,Segment,5,5,Image 1,4,1,100000001,510000003075,
2,,Segment,5,2,Image 1,3,1,100000001,510000003076,
2,,Segment,5,4,Image 1,4,1,100000001,510000003077,
2,,Segment,5,3,Image 1,4,1,100000001,510000003078,
2,,Segment,5,1,Image 1,1,1,100000001,510000003080,
2,,Segment,5,0,Image 1,1,1,100000002,510000003082,
2,,Segment,5,2,Image 1,3,1,100000002,510000003084,
2,,Segment,5,6,Image 1,2,1,100000003,510000003088,
2,,Segment,5,6,Image 1,2,1,100000003,510000003089,
2,,Segment,5,0,Image 1,1,1,100000005,510000003094,
2,,Segment,5,3,Image 1,2,1,100000005,510000003095,
2,,Segment,5,2,Image 1,1,1,100000005,510000003096,
2,,Segment,5,3,Image 1,2,1,100000005,510000003104,
2,,Segment,5,1,Image 1,2,1,100000005,510000003105,
2,,Segment,5,0,Image 1,1,1,100000005,510000003108,
