
Segment Intensity Sum Ch=5 Img=1
 ==================== 
Segment Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
15487,,Segment,5,6,Image 1,3,1,100000003,510000000045,
38838,,Segment,5,5,Image 1,2,1,100000003,510000000102,
4106,,Segment,5,4,Image 1,2,1,100000003,510000000104,
11850,,Segment,5,3,Image 1,2,1,100000003,510000000144,
40384,,Segment,5,2,Image 1,1,1,100000003,510000000184,
18107,,Segment,5,1,Image 1,1,1,100000003,510000000197,
32936,,Segment,5,0,Image 1,1,1,100000003,510000000220,
5714,,Segment,5,5,Image 1,3,1,100000003,510000000245,
3889,,Segment,5,4,Image 1,3,1,100000003,510000000248,
2333,,Segment,5,7,Image 1,2,1,100000003,510000000252,
17887,,Segment,5,6,Image 1,1,1,100000003,510000000272,
8246,,Segment,5,5,Image 1,1,1,100000003,510000000298,
39556,,Segment,5,4,Image 1,1,1,100000003,510000000393,
33624,,Segment,5,3,Image 1,1,1,100000003,510000000425,
26028,,Segment,5,2,Image 1,1,1,100000003,510000000454,
32171,,Segment,5,1,Image 1,1,1,100000003,510000000496,
91103,,Segment,5,0,Image 1,1,1,100000003,510000000537,
6627,,Segment,5,7,Image 1,1,1,100000003,510000000559,
5801,,Segment,5,5,Image 1,2,1,100000003,510000000574,
44567,,Segment,5,3,Image 1,3,1,100000003,510000000644,
7446,,Segment,5,2,Image 1,2,1,100000003,510000000669,
10858,,Segment,5,3,Image 1,2,1,100000003,510000000682,
18996,,Segment,5,1,Image 1,2,1,100000003,510000000702,
96076,,Segment,5,0,Image 1,1,1,100000003,510000000760,
23238,,Segment,5,1,Image 1,1,1,100000003,510000000779,
300,,Segment,5,5,Image 1,5,1,100000001,510000000781,
6598,,Segment,5,4,Image 1,4,1,100000001,510000000797,
36615,,Segment,5,3,Image 1,3,1,100000001,510000000813,
24398,,Segment,5,2,Image 1,2,1,100000001,510000000837,
1570,,Segment,5,1,Image 1,2,1,100000001,510000000844,
903,,Segment,5,0,Image 1,1,1,100000001,510000000857,
24745,,Segment,5,5,Image 1,3,1,100000001,510000000909,
