
Segment Center Intensity Max Ch=1 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
54,,Segment,1,3,Image 1,1,1,100000002,510000000021,
124,,Segment,1,2,Image 1,1,1,100000002,510000000051,
132,,Segment,1,1,Image 1,1,1,100000002,510000000069,
73,,Segment,1,0,Image 1,1,1,100000002,510000000074,
116,,Segment,1,3,Image 1,2,1,100000002,510000000088,
69,,Segment,1,3,Image 1,3,1,100000000,510000000100,
85,,Segment,1,2,Image 1,2,1,100000000,510000000165,
85,,Segment,1,1,Image 1,1,1,100000000,510000000171,
97,,Segment,1,0,Image 1,1,1,100000000,510000000255,
82,,Segment,1,2,Image 1,3,1,100000000,510000000285,
71,,Segment,1,1,Image 1,2,1,100000000,510000000320,
142,,Segment,1,6,Image 1,4,1,100000001,510000000346,
176,,Segment,1,5,Image 1,3,1,100000001,510000000357,
102,,Segment,1,4,Image 1,2,1,100000001,510000000418,
127,,Segment,1,3,Image 1,1,1,100000001,510000000422,
145,,Segment,1,2,Image 1,1,1,100000001,510000000448,
153,,Segment,1,1,Image 1,1,1,100000001,510000000455,
137,,Segment,1,0,Image 1,1,1,100000001,510000000465,
76,,Segment,1,3,Image 1,2,1,100000000,510000000529,
82,,Segment,1,2,Image 1,2,1,100000000,510000000541,
130,,Segment,1,1,Image 1,1,1,100000000,510000000560,
122,,Segment,1,0,Image 1,1,1,100000000,510000000594,
137,,Segment,1,4,Image 1,2,1,100000001,510000000615,
137,,Segment,1,3,Image 1,2,1,100000001,510000000674,
156,,Segment,1,2,Image 1,2,1,100000001,510000000703,
137,,Segment,1,4,Image 1,3,1,100000001,510000000718,
137,,Segment,1,4,Image 1,3,1,100000001,510000000733,
136,,Segment,1,3,Image 1,3,1,100000000,510000000754,
69,,Segment,1,2,Image 1,3,1,100000000,510000000761,
168,,Segment,1,1,Image 1,2,1,100000000,510000000898,
162,,Segment,1,0,Image 1,1,1,100000000,510000000909,
66,,Segment,1,3,Image 1,2,1,100000000,510000000924,
80,,Segment,1,4,Image 1,2,1,100000002,510000000958,
122,,Segment,1,3,Image 1,1,1,100000002,510000000982,
138,,Segment,1,2,Image 1,1,1,100000002,510000000990,
116,,Segment,1,1,Image 1,1,1,100000002,510000001000,
167,,Segment,1,0,Image 1,1,1,100000002,510000001065,
153,,Segment,1,6,Image 1,3,1,100000001,510000001092,
127,,Segment,1,6,Image 1,2,1,100000001,510000001103,
104,,Segment,1,5,Image 1,2,1,100000001,510000001112,
104,,Segment,1,6,Image 1,3,1,100000001,510000001114,
122,,Segment,1,2,Image 1,1,1,100000000,510000001152,
85,,Segment,1,6,Image 1,3,1,100000002,510000001178,
175,,Segment,1,5,Image 1,2,1,100000002,510000001210,
156,,Segment,1,3,Image 1,2,1,100000002,510000001246,
135,,Segment,1,2,Image 1,2,1,100000002,510000001259,
194,,Segment,1,1,Image 1,2,1,100000002,510000001273,
144,,Segment,1,0,Image 1,1,1,100000002,510000001337,
71,,Segment,1,2,Image 1,2,1,100000000,510000001339,
93,,Segment,1,5,Image 1,4,1,100000002,510000001346,
113,,Segment,1,4,Image 1,3,1,100000002,510000001407,
43,,Segment,1,7,Image 1,5,1,100000002,510000001416,
104,,Segment,1,6,Image 1,4,1,100000002,510000001436,
107,,Segment,1,5,Image 1,3,1,100000002,510000001443,
115,,Segment,1,6,Image 1,3,1,100000002,510000001463,
150,,Segment,1,1,Image 1,2,1,100000002,510000001566,
101,,Segment,1,3,Image 1,3,1,100000002,510000001612,
101,,Segment,1,2,Image 1,2,1,100000002,510000001636,
164,,Segment,1,2,Image 1,1,1,100000002,510000001681,
140,,Segment,1,1,Image 1,1,1,100000002,510000001711,
99,,Segment,1,2,Image 1,2,1,100000002,510000001719,
94,,Segment,1,3,Image 1,3,1,100000001,510000001755,
180,,Segment,1,1,Image 1,2,1,100000000,510000001817,
123,,Segment,1,0,Image 1,1,1,100000000,510000001830,
121,,Segment,1,5,Image 1,2,1,100000000,510000001888,
60,,Segment,1,4,Image 1,2,1,100000000,510000001890,
62,,Segment,1,3,Image 1,2,1,100000000,510000001900,
94,,Segment,1,2,Image 1,2,1,100000000,510000001919,
94,,Segment,1,0,Image 1,1,1,100000000,510000001929,
138,,Segment,1,3,Image 1,3,1,100000000,510000001965,
95,,Segment,1,2,Image 1,2,1,100000000,510000001980,
101,,Segment,1,3,Image 1,2,1,100000002,510000002005,
123,,Segment,1,3,Image 1,4,1,100000000,510000002020,
175,,Segment,1,5,Image 1,3,1,100000002,510000002030,
57,,Segment,1,5,Image 1,1,1,100000002,510000002033,
50,,Segment,1,4,Image 1,1,1,100000002,510000002040,
50,,Segment,1,5,Image 1,2,1,100000002,510000002042,
93,,Segment,1,3,Image 1,3,1,100000000,510000002063,
153,,Segment,1,2,Image 1,2,1,100000000,510000002108,
139,,Segment,1,1,Image 1,1,1,100000000,510000002113,
82,,Segment,1,6,Image 1,4,1,100000000,510000002123,
101,,Segment,1,5,Image 1,3,1,100000000,510000002151,
115,,Segment,1,4,Image 1,3,1,100000000,510000002165,
128,,Segment,1,3,Image 1,2,1,100000000,510000002186,
155,,Segment,1,2,Image 1,1,1,100000000,510000002220,
188,,Segment,1,1,Image 1,1,1,100000000,510000002237,
144,,Segment,1,0,Image 1,1,1,100000000,510000002252,
115,,Segment,1,4,Image 1,2,1,100000000,510000002256,
69,,Segment,1,6,Image 1,3,1,100000000,510000002258,
132,,Segment,1,6,Image 1,2,1,100000002,510000002278,
122,,Segment,1,3,Image 1,2,1,100000002,510000002283,
118,,Segment,1,3,Image 1,3,1,100000002,510000002285,
98,,Segment,1,5,Image 1,4,1,100000000,510000002300,
111,,Segment,1,4,Image 1,3,1,100000000,510000002334,
83,,Segment,1,3,Image 1,3,1,100000000,510000002342,
158,,Segment,1,5,Image 1,3,1,100000000,510000002345,
174,,Segment,1,0,Image 1,1,1,100000000,510000002405,
93,,Segment,1,2,Image 1,1,1,100000000,510000002417,
88,,Segment,1,2,Image 1,2,1,100000002,510000002435,
163,,Segment,1,1,Image 1,1,1,100000002,510000002445,
163,,Segment,1,0,Image 1,1,1,100000002,510000002506,
129,,Segment,1,3,Image 1,2,1,100000000,510000002515,
64,,Segment,1,4,Image 1,3,1,100000000,510000002521,
47,,Segment,1,3,Image 1,1,1,100000000,510000002527,
114,,Segment,1,2,Image 1,1,1,100000000,510000002553,
145,,Segment,1,1,Image 1,1,1,100000000,510000002583,
161,,Segment,1,0,Image 1,1,1,100000000,510000002603,
44,,Segment,1,3,Image 1,2,1,100000000,510000002606,
106,,Segment,1,2,Image 1,1,1,100000002,510000002623,
132,,Segment,1,1,Image 1,2,1,100000002,510000002627,
130,,Segment,1,3,Image 1,3,1,100000000,510000002676,
157,,Segment,1,1,Image 1,1,1,100000000,510000002727,
136,,Segment,1,3,Image 1,2,1,100000000,510000002763,
123,,Segment,1,2,Image 1,1,1,100000000,510000002772,
122,,Segment,1,3,Image 1,1,1,100000000,510000002779,
122,,Segment,1,1,Image 1,2,1,100000000,510000002803,
137,,Segment,1,1,Image 1,2,1,100000001,510000002811,
84,,Segment,1,0,Image 1,1,1,100000001,510000002847,
122,,Segment,1,3,Image 1,1,1,100000000,510000002855,
72,,Segment,1,0,Image 1,1,1,100000001,510000002883,
90,,Segment,1,2,Image 1,2,1,100000000,510000002885,
70,,Segment,1,1,Image 1,2,1,100000000,510000002891,
46,,Segment,1,0,Image 1,1,1,100000000,510000002897,
85,,Segment,1,1,Image 1,2,1,100000000,510000002899,
99,,Segment,1,1,Image 1,2,1,100000000,510000002951,
145,,Segment,1,2,Image 1,2,1,100000000,510000002955,
185,,Segment,1,4,Image 1,1,1,100000001,510000002958,
30,,Segment,1,3,Image 1,2,1,100000000,510000002975,
93,,Segment,1,1,Image 1,1,1,100000000,510000002976,
76,,Segment,1,4,Image 1,4,1,100000000,510000002977,
67,,Segment,1,2,Image 1,1,1,100000000,510000002979,
121,,Segment,1,3,Image 1,2,1,100000001,510000002981,
91,,Segment,1,1,Image 1,2,1,100000002,510000002982,
175,,Segment,1,4,Image 1,2,1,100000002,510000002983,
38,,Segment,1,7,Image 1,4,1,100000002,510000002984,
