
Spine Center Intensity Max Ch=3 Img=1
 ==================== 
Spine Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
68,,Spine,3,1,Image 1,2,1,100000002,610000003165,
100,,Spine,3,1,Image 1,2,1,100000000,610000003178,
96,,Spine,3,0,Image 1,1,1,100000000,610000003189,
39,,Spine,3,5,Image 1,4,1,100000000,610000003198,
39,,Spine,3,5,Image 1,4,1,100000000,610000003206,
70,,Spine,3,3,Image 1,3,1,100000000,610000003211,
67,,Spine,3,2,Image 1,1,1,100000000,610000003217,
59,,Spine,3,4,Image 1,2,1,100000002,610000003225,
126,,Spine,3,0,Image 1,1,1,100000001,610000003230,
137,,Spine,3,1,Image 1,1,1,100000000,610000003240,
137,,Spine,3,1,Image 1,1,1,100000000,610000003249,
104,,Spine,3,1,Image 1,1,1,100000000,610000003255,
59,,Spine,3,1,Image 1,2,1,100000000,610000003258,
65,,Spine,3,2,Image 1,2,1,100000000,610000003261,
92,,Spine,3,0,Image 1,1,1,100000001,610000003264,
51,,Spine,3,2,Image 1,1,1,100000002,610000003268,
59,,Spine,3,0,Image 1,1,1,100000000,610000003270,
25,,Spine,3,2,Image 1,2,1,100000000,610000003272,
60,,Spine,3,0,Image 1,1,1,100000000,610000003275,
75,,Spine,3,2,Image 1,1,1,100000002,610000003278,
109,,Spine,3,0,Image 1,1,1,100000000,610000003282,
77,,Spine,3,2,Image 1,1,1,100000002,610000003285,
87,,Spine,3,0,Image 1,1,1,100000000,610000003290,
91,,Spine,3,3,Image 1,3,1,100000000,610000003292,
166,,Spine,3,1,Image 1,2,1,100000000,610000003297,
107,,Spine,3,0,Image 1,1,1,100000000,610000003299,
54,,Spine,3,0,Image 1,1,1,100000000,610000003302,
80,,Spine,3,0,Image 1,1,1,100000000,610000003306,
144,,Spine,3,0,Image 1,1,1,100000000,610000003309,
115,,Spine,3,0,Image 1,1,1,100000002,610000003312,
120,,Spine,3,3,Image 1,3,1,100000000,610000003327,
100,,Spine,3,1,Image 1,2,1,100000000,610000003328,
34,,Spine,3,0,Image 1,1,1,100000000,610000003332,
129,,Spine,3,3,Image 1,2,1,100000000,610000003333,
118,,Spine,3,1,Image 1,1,1,100000000,610000003334,
118,,Spine,3,1,Image 1,1,1,100000000,610000003335,
79,,Spine,3,2,Image 1,1,1,100000000,610000003337,
63,,Spine,3,0,Image 1,1,1,100000001,610000003339,
91,,Spine,3,2,Image 1,1,1,100000002,610000003341,
70,,Spine,3,0,Image 1,1,1,100000002,610000003342,
79,,Spine,3,0,Image 1,1,1,100000002,610000003343,
116,,Spine,3,0,Image 1,1,1,100000002,610000003344,
96,,Spine,3,0,Image 1,1,1,100000002,610000003345,
115,,Spine,3,0,Image 1,1,1,100000002,610000003346,
110,,Spine,3,0,Image 1,1,1,100000002,610000003347,
97,,Spine,3,0,Image 1,1,1,100000002,610000003348,
68,,Spine,3,1,Image 1,2,1,100000002,610000003349,
95,,Spine,3,1,Image 1,2,1,100000002,610000003350,
145,,Spine,3,0,Image 1,1,1,100000002,610000003351,
