
Spine Number of Voxel Ch=5 Img=1
 ==================== 
Spine Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
163,,Spine,5,1,Image 1,2,1,100000002,610000003165,
148,,Spine,5,1,Image 1,2,1,100000000,610000003178,
652,,Spine,5,0,Image 1,1,1,100000000,610000003189,
86,,Spine,5,5,Image 1,4,1,100000000,610000003198,
79,,Spine,5,5,Image 1,4,1,100000000,610000003206,
51,,Spine,5,3,Image 1,3,1,100000000,610000003211,
89,,Spine,5,2,Image 1,1,1,100000000,610000003217,
170,,Spine,5,4,Image 1,2,1,100000002,610000003225,
124,,Spine,5,0,Image 1,1,1,100000001,610000003230,
232,,Spine,5,1,Image 1,1,1,100000000,610000003240,
198,,Spine,5,1,Image 1,1,1,100000000,610000003249,
150,,Spine,5,1,Image 1,1,1,100000000,610000003255,
63,,Spine,5,1,Image 1,2,1,100000000,610000003258,
37,,Spine,5,2,Image 1,2,1,100000000,610000003261,
37,,Spine,5,0,Image 1,1,1,100000001,610000003264,
492,,Spine,5,2,Image 1,1,1,100000002,610000003268,
247,,Spine,5,0,Image 1,1,1,100000000,610000003270,
30,,Spine,5,2,Image 1,2,1,100000000,610000003272,
168,,Spine,5,0,Image 1,1,1,100000000,610000003275,
583,,Spine,5,2,Image 1,1,1,100000002,610000003278,
53,,Spine,5,0,Image 1,1,1,100000000,610000003282,
330,,Spine,5,2,Image 1,1,1,100000002,610000003285,
24,,Spine,5,0,Image 1,1,1,100000000,610000003290,
137,,Spine,5,3,Image 1,3,1,100000000,610000003292,
80,,Spine,5,1,Image 1,2,1,100000000,610000003297,
18,,Spine,5,0,Image 1,1,1,100000000,610000003299,
327,,Spine,5,0,Image 1,1,1,100000000,610000003302,
30,,Spine,5,0,Image 1,1,1,100000000,610000003306,
139,,Spine,5,0,Image 1,1,1,100000000,610000003309,
136,,Spine,5,0,Image 1,1,1,100000002,610000003312,
77,,Spine,5,3,Image 1,3,1,100000000,610000003327,
36,,Spine,5,1,Image 1,2,1,100000000,610000003328,
36,,Spine,5,0,Image 1,1,1,100000000,610000003332,
78,,Spine,5,3,Image 1,2,1,100000000,610000003333,
427,,Spine,5,1,Image 1,1,1,100000000,610000003334,
438,,Spine,5,1,Image 1,1,1,100000000,610000003335,
113,,Spine,5,2,Image 1,1,1,100000000,610000003337,
206,,Spine,5,0,Image 1,1,1,100000001,610000003339,
146,,Spine,5,2,Image 1,1,1,100000002,610000003341,
128,,Spine,5,0,Image 1,1,1,100000002,610000003342,
48,,Spine,5,0,Image 1,1,1,100000002,610000003343,
81,,Spine,5,0,Image 1,1,1,100000002,610000003344,
87,,Spine,5,0,Image 1,1,1,100000002,610000003345,
85,,Spine,5,0,Image 1,1,1,100000002,610000003346,
348,,Spine,5,0,Image 1,1,1,100000002,610000003347,
183,,Spine,5,0,Image 1,1,1,100000002,610000003348,
146,,Spine,5,1,Image 1,2,1,100000002,610000003349,
91,,Spine,5,1,Image 1,2,1,100000002,610000003350,
151,,Spine,5,0,Image 1,1,1,100000002,610000003351,
