
Spine Part Length
 ==================== 
Spine Part Length Ground,Spine Part Length Head,Spine Part Length Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1.32176,1.62828,2.58345,µm,Spine,Spine Part Length,0,1,1,100000000,610000003189,
1.10259,0.657765,0.420176,µm,Spine,Spine Part Length,0,1,1,100000001,610000003230,
0.93056,0.374882,0,µm,Spine,Spine Part Length,0,1,1,100000001,610000003264,
1.76036,0.501412,0,µm,Spine,Spine Part Length,0,1,1,100000000,610000003270,
1.17583,0.433757,0.786412,µm,Spine,Spine Part Length,0,1,1,100000000,610000003275,
0.823566,0.31122,0.455048,µm,Spine,Spine Part Length,0,1,1,100000000,610000003282,
0.837807,0.31122,0,µm,Spine,Spine Part Length,0,1,1,100000000,610000003290,
0.821388,0.208333,0,µm,Spine,Spine Part Length,0,1,1,100000000,610000003299,
1.41446,1.02708,0,µm,Spine,Spine Part Length,0,1,1,100000000,610000003302,
0.758995,0.367943,0,µm,Spine,Spine Part Length,0,1,1,100000000,610000003306,
1.52184,0.719842,0,µm,Spine,Spine Part Length,0,1,1,100000000,610000003309,
0.614454,0.423235,0,µm,Spine,Spine Part Length,0,1,1,100000002,610000003312,
0.658146,0.240343,0,µm,Spine,Spine Part Length,0,1,1,100000000,610000003332,
0.983277,0.431606,0,µm,Spine,Spine Part Length,0,1,1,100000001,610000003339,
1.17259,0.571854,0,µm,Spine,Spine Part Length,0,1,1,100000002,610000003342,
1.00721,0.439998,0,µm,Spine,Spine Part Length,0,1,1,100000002,610000003343,
0.950847,0.29449,0,µm,Spine,Spine Part Length,0,1,1,100000002,610000003344,
0.792896,0.443191,0,µm,Spine,Spine Part Length,0,1,1,100000002,610000003345,
0.90647,0.274622,0,µm,Spine,Spine Part Length,0,1,1,100000002,610000003346,
1.43154,0.998882,0,µm,Spine,Spine Part Length,0,1,1,100000002,610000003347,
1.11739,0.644847,0,µm,Spine,Spine Part Length,0,1,1,100000002,610000003348,
1.0946,0.565984,0,µm,Spine,Spine Part Length,0,1,1,100000002,610000003351,
1.32855,1.36842,1.62984,µm,Spine,Spine Part Length,1,1,1,100000000,610000003240,
1.32637,1.2298,1.14984,µm,Spine,Spine Part Length,1,1,1,100000000,610000003249,
0.971716,0.965124,0.85674,µm,Spine,Spine Part Length,1,1,1,100000000,610000003255,
0.986386,0.702721,0,µm,Spine,Spine Part Length,1,1,1,100000000,610000003334,
0.912798,0.813802,0,µm,Spine,Spine Part Length,1,1,1,100000000,610000003335,
2.03624,1.68867,2.61274,µm,Spine,Spine Part Length,1,2,1,100000002,610000003165,
1.68543,1.32957,1.4755,µm,Spine,Spine Part Length,1,2,1,100000000,610000003178,
0.942987,0.416667,0.342191,µm,Spine,Spine Part Length,1,2,1,100000000,610000003258,
0.770864,0.3125,0,µm,Spine,Spine Part Length,1,2,1,100000000,610000003297,
0.791881,0.3125,0,µm,Spine,Spine Part Length,1,2,1,100000000,610000003328,
0.934504,0.62592,0,µm,Spine,Spine Part Length,1,2,1,100000002,610000003349,
0.896106,0.378358,0,µm,Spine,Spine Part Length,1,2,1,100000002,610000003350,
1.35947,0.83743,0.684914,µm,Spine,Spine Part Length,2,1,1,100000000,610000003217,
0.85904,1.17631,0.481418,µm,Spine,Spine Part Length,2,1,1,100000002,610000003268,
0.970414,0.682671,0,µm,Spine,Spine Part Length,2,1,1,100000002,610000003278,
0.919356,0.92714,0,µm,Spine,Spine Part Length,2,1,1,100000002,610000003285,
0.720771,0.378438,0,µm,Spine,Spine Part Length,2,1,1,100000000,610000003337,
1.25846,0.520833,0,µm,Spine,Spine Part Length,2,1,1,100000002,610000003341,
1.14654,0.286458,0.427251,µm,Spine,Spine Part Length,2,2,1,100000000,610000003261,
0.980656,0.208333,0,µm,Spine,Spine Part Length,2,2,1,100000000,610000003272,
0.712847,0.356059,0,µm,Spine,Spine Part Length,3,2,1,100000000,610000003333,
1.34916,0.741505,0.471275,µm,Spine,Spine Part Length,3,3,1,100000000,610000003211,
0.729053,0.350403,0,µm,Spine,Spine Part Length,3,3,1,100000000,610000003292,
0.943161,0.450083,0,µm,Spine,Spine Part Length,3,3,1,100000000,610000003327,
1.42624,0.958743,0.662578,µm,Spine,Spine Part Length,4,2,1,100000002,610000003225,
1.30783,1.30205,1.35846,µm,Spine,Spine Part Length,5,4,1,100000000,610000003198,
1.30864,1.2082,0.841737,µm,Spine,Spine Part Length,5,4,1,100000000,610000003206,
