
Spine Position
 ==================== 
Spine Position X,Spine Position Y,Spine Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-14492.1,24104.4,1470.84,µm,Spine,Spine Position,0,1,1,100000000,610000003189,
-14528.8,24131.7,1471.81,µm,Spine,Spine Position,0,1,1,100000001,610000003230,
-14524.8,24137.7,1474.17,µm,Spine,Spine Position,0,1,1,100000001,610000003264,
-14488.4,24104.5,1467.04,µm,Spine,Spine Position,0,1,1,100000000,610000003270,
-14488.3,24104.8,1466.99,µm,Spine,Spine Position,0,1,1,100000000,610000003275,
-14487.9,24106,1465.76,µm,Spine,Spine Position,0,1,1,100000000,610000003282,
-14488.3,24106.2,1465.78,µm,Spine,Spine Position,0,1,1,100000000,610000003290,
-14488.2,24106.1,1464.78,µm,Spine,Spine Position,0,1,1,100000000,610000003299,
-14487.3,24098.1,1459.28,µm,Spine,Spine Position,0,1,1,100000000,610000003302,
-14490,24103.6,1466.78,µm,Spine,Spine Position,0,1,1,100000000,610000003306,
-14489.8,24098.6,1460.28,µm,Spine,Spine Position,0,1,1,100000000,610000003309,
-14555.5,24167.8,1458.96,µm,Spine,Spine Position,0,1,1,100000002,610000003312,
-14485,24103.5,1455.39,µm,Spine,Spine Position,0,1,1,100000000,610000003332,
-14523.3,24136.6,1473.48,µm,Spine,Spine Position,0,1,1,100000001,610000003339,
-14556.5,24168.3,1459.11,µm,Spine,Spine Position,0,1,1,100000002,610000003342,
-14556.7,24168.5,1459.12,µm,Spine,Spine Position,0,1,1,100000002,610000003343,
-14557.5,24168.5,1459.02,µm,Spine,Spine Position,0,1,1,100000002,610000003344,
-14557.9,24168.6,1458.94,µm,Spine,Spine Position,0,1,1,100000002,610000003345,
-14559.1,24169.3,1457.93,µm,Spine,Spine Position,0,1,1,100000002,610000003346,
-14562.2,24169.5,1457.08,µm,Spine,Spine Position,0,1,1,100000002,610000003347,
-14562.4,24169.3,1456.93,µm,Spine,Spine Position,0,1,1,100000002,610000003348,
-14574.3,24171.3,1453.98,µm,Spine,Spine Position,0,1,1,100000002,610000003351,
-14484.3,24113.1,1455.74,µm,Spine,Spine Position,1,1,1,100000000,610000003240,
-14484.3,24112.8,1455.75,µm,Spine,Spine Position,1,1,1,100000000,610000003249,
-14484.1,24112.3,1455.73,µm,Spine,Spine Position,1,1,1,100000000,610000003255,
-14488.6,24113.5,1468.37,µm,Spine,Spine Position,1,1,1,100000000,610000003334,
-14488.6,24113.5,1468.37,µm,Spine,Spine Position,1,1,1,100000000,610000003335,
-14563.2,24184.2,1473.21,µm,Spine,Spine Position,1,2,1,100000002,610000003165,
-14495.5,24108.6,1454.32,µm,Spine,Spine Position,1,2,1,100000000,610000003178,
-14498.1,24094.5,1453.31,µm,Spine,Spine Position,1,2,1,100000000,610000003258,
-14493.7,24095.2,1452.62,µm,Spine,Spine Position,1,2,1,100000000,610000003297,
-14496.5,24094.3,1452.64,µm,Spine,Spine Position,1,2,1,100000000,610000003328,
-14564.4,24184.1,1462.27,µm,Spine,Spine Position,1,2,1,100000002,610000003349,
-14564.4,24184.1,1462.27,µm,Spine,Spine Position,1,2,1,100000002,610000003350,
-14495.1,24104.2,1454.87,µm,Spine,Spine Position,2,1,1,100000000,610000003217,
-14562.6,24168,1457.99,µm,Spine,Spine Position,2,1,1,100000002,610000003268,
-14566.3,24169.3,1456.72,µm,Spine,Spine Position,2,1,1,100000002,610000003278,
-14565.8,24169.1,1457.73,µm,Spine,Spine Position,2,1,1,100000002,610000003285,
-14493.4,24107.9,1472.73,µm,Spine,Spine Position,2,1,1,100000000,610000003337,
-14549.5,24171.8,1466.66,µm,Spine,Spine Position,2,1,1,100000002,610000003341,
-14502.8,24105.8,1452.55,µm,Spine,Spine Position,2,2,1,100000000,610000003261,
-14503,24106,1452.57,µm,Spine,Spine Position,2,2,1,100000000,610000003272,
-14483.4,24119.6,1471.38,µm,Spine,Spine Position,3,2,1,100000000,610000003333,
-14477.7,24114.3,1464.8,µm,Spine,Spine Position,3,3,1,100000000,610000003211,
-14502.7,24074,1459.81,µm,Spine,Spine Position,3,3,1,100000000,610000003292,
-14507.6,24071,1459.54,µm,Spine,Spine Position,3,3,1,100000000,610000003327,
-14586.5,24171.6,1462.57,µm,Spine,Spine Position,4,2,1,100000002,610000003225,
-14505.9,24115.8,1468.58,µm,Spine,Spine Position,5,4,1,100000000,610000003198,
-14505.7,24115.8,1468.74,µm,Spine,Spine Position,5,4,1,100000000,610000003206,
