
Spine Position Y
 ==================== 
Spine Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
24184.2,µm,Spine,Spine Position,1,2,1,100000002,610000003165,
24108.6,µm,Spine,Spine Position,1,2,1,100000000,610000003178,
24104.4,µm,Spine,Spine Position,0,1,1,100000000,610000003189,
24115.8,µm,Spine,Spine Position,5,4,1,100000000,610000003198,
24115.8,µm,Spine,Spine Position,5,4,1,100000000,610000003206,
24114.3,µm,Spine,Spine Position,3,3,1,100000000,610000003211,
24104.2,µm,Spine,Spine Position,2,1,1,100000000,610000003217,
24171.6,µm,Spine,Spine Position,4,2,1,100000002,610000003225,
24131.7,µm,Spine,Spine Position,0,1,1,100000001,610000003230,
24113.1,µm,Spine,Spine Position,1,1,1,100000000,610000003240,
24112.8,µm,Spine,Spine Position,1,1,1,100000000,610000003249,
24112.3,µm,Spine,Spine Position,1,1,1,100000000,610000003255,
24094.5,µm,Spine,Spine Position,1,2,1,100000000,610000003258,
24105.8,µm,Spine,Spine Position,2,2,1,100000000,610000003261,
24137.7,µm,Spine,Spine Position,0,1,1,100000001,610000003264,
24168,µm,Spine,Spine Position,2,1,1,100000002,610000003268,
24104.5,µm,Spine,Spine Position,0,1,1,100000000,610000003270,
24106,µm,Spine,Spine Position,2,2,1,100000000,610000003272,
24104.8,µm,Spine,Spine Position,0,1,1,100000000,610000003275,
24169.3,µm,Spine,Spine Position,2,1,1,100000002,610000003278,
24106,µm,Spine,Spine Position,0,1,1,100000000,610000003282,
24169.1,µm,Spine,Spine Position,2,1,1,100000002,610000003285,
24106.2,µm,Spine,Spine Position,0,1,1,100000000,610000003290,
24074,µm,Spine,Spine Position,3,3,1,100000000,610000003292,
24095.2,µm,Spine,Spine Position,1,2,1,100000000,610000003297,
24106.1,µm,Spine,Spine Position,0,1,1,100000000,610000003299,
24098.1,µm,Spine,Spine Position,0,1,1,100000000,610000003302,
24103.6,µm,Spine,Spine Position,0,1,1,100000000,610000003306,
24098.6,µm,Spine,Spine Position,0,1,1,100000000,610000003309,
24167.8,µm,Spine,Spine Position,0,1,1,100000002,610000003312,
24071,µm,Spine,Spine Position,3,3,1,100000000,610000003327,
24094.3,µm,Spine,Spine Position,1,2,1,100000000,610000003328,
24103.5,µm,Spine,Spine Position,0,1,1,100000000,610000003332,
24119.6,µm,Spine,Spine Position,3,2,1,100000000,610000003333,
24113.5,µm,Spine,Spine Position,1,1,1,100000000,610000003334,
24113.5,µm,Spine,Spine Position,1,1,1,100000000,610000003335,
24107.9,µm,Spine,Spine Position,2,1,1,100000000,610000003337,
24136.6,µm,Spine,Spine Position,0,1,1,100000001,610000003339,
24171.8,µm,Spine,Spine Position,2,1,1,100000002,610000003341,
24168.3,µm,Spine,Spine Position,0,1,1,100000002,610000003342,
24168.5,µm,Spine,Spine Position,0,1,1,100000002,610000003343,
24168.5,µm,Spine,Spine Position,0,1,1,100000002,610000003344,
24168.6,µm,Spine,Spine Position,0,1,1,100000002,610000003345,
24169.3,µm,Spine,Spine Position,0,1,1,100000002,610000003346,
24169.5,µm,Spine,Spine Position,0,1,1,100000002,610000003347,
24169.3,µm,Spine,Spine Position,0,1,1,100000002,610000003348,
24184.1,µm,Spine,Spine Position,1,2,1,100000002,610000003349,
24184.1,µm,Spine,Spine Position,1,2,1,100000002,610000003350,
24171.3,µm,Spine,Spine Position,0,1,1,100000002,610000003351,
