
Spine Terminal Pt Distance
 ==================== 
Spine Terminal Pt Distance,Unit,Category,Depth,Level,Time,FilamentID,ID,
52.9847,µm,Spine,13,7,1,100000003,610000006143,
12.2804,µm,Spine,3,3,1,100000002,610000006150,
8.31464,µm,Spine,1,1,1,100000002,610000006156,
30.824,µm,Spine,5,2,1,100000002,610000006164,
29.7602,µm,Spine,5,2,1,100000002,610000006171,
29.7564,µm,Spine,3,4,1,100000001,610000006174,
3.94691,µm,Spine,0,1,1,100000001,610000006182,
72.7197,µm,Spine,14,8,1,100000001,610000006193,
72.2392,µm,Spine,14,8,1,100000001,610000006203,
49.9337,µm,Spine,10,6,1,100000003,610000006211,
8.20383,µm,Spine,1,1,1,100000002,610000006219,
11.0763,µm,Spine,1,2,1,100000003,610000006225,
70.3189,µm,Spine,14,8,1,100000001,610000006228,
65.9359,µm,Spine,12,4,1,100000003,610000006235,
65.7705,µm,Spine,12,4,1,100000003,610000006241,
64.7329,µm,Spine,12,4,1,100000003,610000006245,
96.2025,µm,Spine,20,10,1,100000001,610000006264,
95.1288,µm,Spine,20,10,1,100000001,610000006266,
72.577,µm,Spine,15,7,1,100000001,610000006269,
93.2887,µm,Spine,17,4,1,100000003,610000006274,
31.0757,µm,Spine,6,4,1,100000003,610000006279,
38.8707,µm,Spine,3,3,1,100000003,610000006283,
67.5645,µm,Spine,13,4,1,100000003,610000006286,
24.0294,µm,Spine,4,4,1,100000003,610000006291,
87.3134,µm,Spine,20,8,1,100000001,610000006309,
22.0144,µm,Spine,2,2,1,100000003,610000006312,
79.5994,µm,Spine,17,9,1,100000001,610000006316,
113.11,µm,Spine,19,6,1,100000003,610000006321,
6.14978,µm,Spine,0,1,1,100000001,610000006331,
118.194,µm,Spine,22,10,1,100000001,610000006335,
27.8492,µm,Spine,6,4,1,100000003,610000006342,
23.5385,µm,Spine,4,4,1,100000003,610000006345,
92.566,µm,Spine,17,4,1,100000003,610000006354,
86.8038,µm,Spine,20,8,1,100000001,610000006376,
7.63266,µm,Spine,0,1,1,100000001,610000006381,
117.724,µm,Spine,22,10,1,100000001,610000006388,
103.342,µm,Spine,20,10,1,100000001,610000006397,
10.0903,µm,Spine,1,1,1,100000003,610000006401,
3.91834,µm,Spine,0,1,1,100000003,610000006410,
5.5632,µm,Spine,0,1,1,100000001,610000006420,
66.7959,µm,Spine,13,4,1,100000003,610000006422,
30.2592,µm,Spine,6,4,1,100000003,610000006430,
21.8699,µm,Spine,4,4,1,100000003,610000006441,
2.99936,µm,Spine,0,1,1,100000002,610000006446,
45.9739,µm,Spine,9,1,1,100000003,610000006449,
43.3996,µm,Spine,10,7,1,100000003,610000006453,
2.81615,µm,Spine,0,1,1,100000002,610000006457,
37.116,µm,Spine,8,5,1,100000003,610000006464,
