
Spine Terminal Pt Intensity Center Ch=3 Img=1
 ==================== 
Spine Terminal Pt Intensity Center,Unit,Category,Channel,Depth,Image,Time,FilamentID,ID,
90,,Spine,3,2,Image 1,1,,610000006120,
101,,Spine,3,13,Image 1,1,100000003,610000006143,
85,,Spine,3,3,Image 1,1,100000002,610000006150,
103,,Spine,3,1,Image 1,1,100000002,610000006156,
59,,Spine,3,5,Image 1,1,100000002,610000006164,
97,,Spine,3,5,Image 1,1,100000002,610000006171,
85,,Spine,3,3,Image 1,1,100000001,610000006174,
131,,Spine,3,0,Image 1,1,100000001,610000006182,
135,,Spine,3,14,Image 1,1,100000001,610000006193,
137,,Spine,3,14,Image 1,1,100000001,610000006203,
65,,Spine,3,10,Image 1,1,100000003,610000006211,
113,,Spine,3,1,Image 1,1,100000002,610000006219,
91,,Spine,3,1,Image 1,1,100000003,610000006225,
98,,Spine,3,14,Image 1,1,100000001,610000006228,
76,,Spine,3,12,Image 1,1,100000003,610000006235,
69,,Spine,3,12,Image 1,1,100000003,610000006241,
69,,Spine,3,12,Image 1,1,100000003,610000006245,
123,,Spine,3,0,Image 1,1,,610000006247,
100,,Spine,3,20,Image 1,1,100000001,610000006264,
75,,Spine,3,20,Image 1,1,100000001,610000006266,
64,,Spine,3,15,Image 1,1,100000001,610000006269,
65,,Spine,3,17,Image 1,1,100000003,610000006274,
42,,Spine,3,6,Image 1,1,100000003,610000006279,
68,,Spine,3,3,Image 1,1,100000003,610000006283,
52,,Spine,3,13,Image 1,1,100000003,610000006286,
73,,Spine,3,4,Image 1,1,100000003,610000006291,
142,,Spine,3,0,Image 1,1,,610000006293,
77,,Spine,3,20,Image 1,1,100000001,610000006309,
68,,Spine,3,2,Image 1,1,100000003,610000006312,
103,,Spine,3,17,Image 1,1,100000001,610000006316,
74,,Spine,3,19,Image 1,1,100000003,610000006321,
103,,Spine,3,0,Image 1,1,,610000006323,
65,,Spine,3,0,Image 1,1,100000001,610000006331,
144,,Spine,3,22,Image 1,1,100000001,610000006335,
60,,Spine,3,6,Image 1,1,100000003,610000006342,
52,,Spine,3,4,Image 1,1,100000003,610000006345,
93,,Spine,3,0,Image 1,1,,610000006347,
84,,Spine,3,17,Image 1,1,100000003,610000006354,
102,,Spine,3,0,Image 1,1,,610000006356,
128,,Spine,3,0,Image 1,1,,610000006364,
79,,Spine,3,20,Image 1,1,100000001,610000006376,
68,,Spine,3,0,Image 1,1,100000001,610000006381,
103,,Spine,3,0,Image 1,1,,610000006383,
118,,Spine,3,22,Image 1,1,100000001,610000006388,
140,,Spine,3,0,Image 1,1,,610000006390,
71,,Spine,3,20,Image 1,1,100000001,610000006397,
60,,Spine,3,1,Image 1,1,100000003,610000006401,
73,,Spine,3,0,Image 1,1,,610000006403,
61,,Spine,3,0,Image 1,1,100000003,610000006410,
128,,Spine,3,0,Image 1,1,,610000006412,
115,,Spine,3,0,Image 1,1,100000001,610000006420,
53,,Spine,3,13,Image 1,1,100000003,610000006422,
82,,Spine,3,0,Image 1,1,,610000006424,
85,,Spine,3,6,Image 1,1,100000003,610000006430,
133,,Spine,3,0,Image 1,1,,610000006432,
103,,Spine,3,4,Image 1,1,100000003,610000006441,
140,,Spine,3,0,Image 1,1,100000002,610000006446,
66,,Spine,3,9,Image 1,1,100000003,610000006449,
116,,Spine,3,10,Image 1,1,100000003,610000006453,
170,,Spine,3,0,Image 1,1,100000002,610000006457,
64,,Spine,3,2,Image 1,1,,610000006459,
59,,Spine,3,8,Image 1,1,100000003,610000006464,
75,,Spine,3,0,Image 1,1,,610000006466,
106,,Spine,3,2,Image 1,1,,610000006470,
69,,Spine,3,18,Image 1,1,100000001,610000006474,
80,,Spine,3,2,Image 1,1,,610000006477,
85,,Spine,3,6,Image 1,1,100000003,610000006484,
60,,Spine,3,2,Image 1,1,100000003,610000006488,
81,,Spine,3,0,Image 1,1,100000001,610000006491,
165,,Spine,3,0,Image 1,1,,610000006493,
89,,Spine,3,0,Image 1,1,100000001,610000006499,
153,,Spine,3,0,Image 1,1,,610000006501,
104,,Spine,3,2,Image 1,1,,610000006508,
75,,Spine,3,1,Image 1,1,100000002,610000006513,
56,,Spine,3,0,Image 1,1,,610000006515,
70,,Spine,3,10,Image 1,1,100000003,610000006518,
61,,Spine,3,2,Image 1,1,,610000006520,
142,,Spine,3,0,Image 1,1,100000002,610000006526,
113,,Spine,3,2,Image 1,1,100000003,610000006529,
93,,Spine,3,15,Image 1,1,100000001,610000006532,
94,,Spine,3,0,Image 1,1,,610000006534,
133,,Spine,3,0,Image 1,1,100000002,610000006539,
113,,Spine,3,19,Image 1,1,100000003,610000006542,
79,,Spine,3,0,Image 1,1,,610000006545,
153,,Spine,3,0,Image 1,1,100000002,610000006550,
66,,Spine,3,18,Image 1,1,100000001,610000006552,
93,,Spine,3,0,Image 1,1,100000001,610000006555,
82,,Spine,3,0,Image 1,1,,610000006557,
124,,Spine,3,19,Image 1,1,100000003,610000006560,
124,,Spine,3,0,Image 1,1,,610000006562,
136,,Spine,3,0,Image 1,1,,610000006568,
128,,Spine,3,0,Image 1,1,,610000006572,
63,,Spine,3,0,Image 1,1,100000001,610000006575,
189,,Spine,3,19,Image 1,1,100000003,610000006581,
93,,Spine,3,1,Image 1,1,100000003,610000006584,
134,,Spine,3,4,Image 1,1,100000003,610000006588,
151,,Spine,3,14,Image 1,1,100000001,610000006591,
73,,Spine,3,15,Image 1,1,100000003,610000006594,
132,,Spine,3,15,Image 1,1,100000001,610000006597,
79,,Spine,3,13,Image 1,1,100000003,610000006600,
111,,Spine,3,2,Image 1,1,,610000006605,
92,,Spine,3,0,Image 1,1,,610000006611,
105,,Spine,3,0,Image 1,1,,610000006615,
134,,Spine,3,0,Image 1,1,100000001,610000006618,
115,,Spine,3,0,Image 1,1,,610000006620,
150,,Spine,3,7,Image 1,1,100000003,610000006628,
69,,Spine,3,0,Image 1,1,,610000006630,
132,,Spine,3,0,Image 1,1,,610000006633,
85,,Spine,3,6,Image 1,1,100000003,610000006637,
124,,Spine,3,1,Image 1,1,100000003,610000006640,
111,,Spine,3,6,Image 1,1,100000003,610000006644,
141,,Spine,3,0,Image 1,1,100000001,610000006647,
85,,Spine,3,1,Image 1,1,100000001,610000006650,
178,,Spine,3,0,Image 1,1,100000003,610000006656,
98,,Spine,3,8,Image 1,1,100000003,610000006658,
88,,Spine,3,6,Image 1,1,100000001,610000006665,
162,,Spine,3,0,Image 1,1,100000002,610000006667,
103,,Spine,3,6,Image 1,1,100000003,610000006669,
105,,Spine,3,6,Image 1,1,100000003,610000006671,
169,,Spine,3,5,Image 1,1,100000003,610000006676,
129,,Spine,3,1,Image 1,1,100000001,610000006684,
106,,Spine,3,2,Image 1,1,100000002,610000006687,
99,,Spine,3,2,Image 1,1,100000002,610000006689,
132,,Spine,3,0,Image 1,1,,610000006695,
156,,Spine,3,1,Image 1,1,100000002,610000006698,
161,,Spine,3,4,Image 1,1,100000003,610000006706,
115,,Spine,3,1,Image 1,1,100000003,610000006708,
163,,Spine,3,0,Image 1,1,100000003,610000006714,
147,,Spine,3,0,Image 1,1,100000003,610000006716,
179,,Spine,3,0,Image 1,1,100000003,610000006722,
158,,Spine,3,7,Image 1,1,100000003,610000006726,
132,,Spine,3,6,Image 1,1,100000003,610000006729,
171,,Spine,3,0,Image 1,1,100000001,610000006741,
