
Spine Part Length Head
 ==================== 
Spine Part Length Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
2.04216,µm,Spine,Spine Part Length,1,2,1,100000000,610000003039,
1.27683,µm,Spine,Spine Part Length,1,2,1,100000000,610000003050,
1.38327,µm,Spine,Spine Part Length,1,2,1,100000000,610000003059,
0.513553,µm,Spine,Spine Part Length,2,2,1,100000000,610000003065,
1.18942,µm,Spine,Spine Part Length,4,2,1,100000001,610000003073,
1.43865,µm,Spine,Spine Part Length,2,2,1,100000000,610000003082,
1.26708,µm,Spine,Spine Part Length,2,2,1,100000000,610000003090,
0.751559,µm,Spine,Spine Part Length,2,2,1,100000000,610000003096,
0.902028,µm,Spine,Spine Part Length,4,3,1,100000000,610000003102,
0.81552,µm,Spine,Spine Part Length,4,3,1,100000000,610000003106,
0.273438,µm,Spine,Spine Part Length,2,3,1,100000000,610000003108,
0.943047,µm,Spine,Spine Part Length,3,3,1,100000000,610000003112,
0.688314,µm,Spine,Spine Part Length,0,1,1,100000000,610000003117,
0.65693,µm,Spine,Spine Part Length,0,1,1,100000000,610000003121,
0.740167,µm,Spine,Spine Part Length,7,4,1,100000000,610000003127,
0.682031,µm,Spine,Spine Part Length,6,3,1,100000001,610000003133,
1.0081,µm,Spine,Spine Part Length,6,3,1,100000001,610000003137,
0.406211,µm,Spine,Spine Part Length,6,3,1,100000001,610000003140,
1.21194,µm,Spine,Spine Part Length,2,2,1,100000000,610000003148,
0.726334,µm,Spine,Spine Part Length,2,2,1,100000000,610000003155,
1.1897,µm,Spine,Spine Part Length,0,1,1,100000001,610000003169,
1.33873,µm,Spine,Spine Part Length,0,1,1,100000001,610000003183,
1.28736,µm,Spine,Spine Part Length,0,1,1,100000001,610000003193,
1.48189,µm,Spine,Spine Part Length,0,1,1,100000001,610000003204,
1.63941,µm,Spine,Spine Part Length,0,1,1,100000001,610000003214,
0.335335,µm,Spine,Spine Part Length,2,2,1,100000000,610000003217,
1.04295,µm,Spine,Spine Part Length,0,1,1,100000001,610000003228,
1.54341,µm,Spine,Spine Part Length,0,1,1,100000001,610000003236,
0.263672,µm,Spine,Spine Part Length,0,1,1,100000000,610000003239,
1.61833,µm,Spine,Spine Part Length,0,1,1,100000001,610000003247,
1.78867,µm,Spine,Spine Part Length,0,1,1,100000001,610000003256,
