
Segment Number of Voxel Ch=3 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
165,,Segment,3,2,Image 1,2,1,100000000,510000000009,
484,,Segment,3,1,Image 1,2,1,100000000,510000000061,
909,,Segment,3,0,Image 1,1,1,100000000,510000000125,
119,,Segment,3,2,Image 1,3,1,100000000,510000000134,
749,,Segment,3,0,Image 1,1,1,100000000,510000000197,
1000,,Segment,3,6,Image 1,3,1,100000000,510000000273,
1438,,Segment,3,5,Image 1,2,1,100000000,510000000350,
534,,Segment,3,4,Image 1,1,1,100000000,510000000358,
813,,Segment,3,3,Image 1,1,1,100000000,510000000374,
1112,,Segment,3,2,Image 1,1,1,100000000,510000000391,
1617,,Segment,3,1,Image 1,1,1,100000000,510000000396,
1559,,Segment,3,0,Image 1,1,1,100000000,510000000415,
343,,Segment,3,2,Image 1,3,1,100000001,510000000481,
208,,Segment,3,1,Image 1,2,1,100000001,510000000492,
920,,Segment,3,0,Image 1,1,1,100000001,510000000542,
523,,Segment,3,1,Image 1,2,1,100000000,510000000603,
1171,,Segment,3,0,Image 1,1,1,100000000,510000000654,
870,,Segment,3,0,Image 1,1,1,100000001,510000000716,
632,,Segment,3,5,Image 1,3,1,100000000,510000000833,
304,,Segment,3,4,Image 1,2,1,100000000,510000000846,
585,,Segment,3,3,Image 1,2,1,100000000,510000000871,
112,,Segment,3,3,Image 1,1,1,100000000,510000000875,
767,,Segment,3,2,Image 1,1,1,100000000,510000000884,
614,,Segment,3,1,Image 1,1,1,100000000,510000000888,
443,,Segment,3,0,Image 1,1,1,100000000,510000000913,
603,,Segment,3,2,Image 1,2,1,100000000,510000000922,
1001,,Segment,3,1,Image 1,2,1,100000000,510000000939,
807,,Segment,3,0,Image 1,1,1,100000000,510000000966,
51,,Segment,3,0,Image 1,1,1,100000000,510000000975,
769,,Segment,3,3,Image 1,2,1,100000000,510000001031,
1244,,Segment,3,2,Image 1,2,1,100000000,510000001096,
426,,Segment,3,3,Image 1,2,1,100000000,510000001128,
243,,Segment,3,2,Image 1,2,1,100000000,510000001135,
792,,Segment,3,1,Image 1,1,1,100000000,510000001149,
179,,Segment,3,6,Image 1,2,1,100000000,510000001151,
143,,Segment,3,3,Image 1,3,1,100000000,510000001165,
254,,Segment,3,6,Image 1,2,1,100000000,510000001185,
398,,Segment,3,5,Image 1,1,1,100000000,510000001191,
197,,Segment,3,3,Image 1,3,1,100000000,510000001200,
437,,Segment,3,2,Image 1,3,1,100000001,510000001255,
368,,Segment,3,1,Image 1,2,1,100000001,510000001268,
453,,Segment,3,0,Image 1,1,1,100000001,510000001283,
2024,,Segment,3,2,Image 1,1,1,100000000,510000001344,
206,,Segment,3,5,Image 1,3,1,100000000,510000001356,
591,,Segment,3,4,Image 1,2,1,100000000,510000001363,
142,,Segment,3,6,Image 1,1,1,100000000,510000001367,
266,,Segment,3,5,Image 1,2,1,100000000,510000001380,
121,,Segment,3,4,Image 1,3,1,100000000,510000001390,
113,,Segment,3,1,Image 1,1,1,100000000,510000001392,
159,,Segment,3,5,Image 1,2,1,100000000,510000001396,
1401,,Segment,3,2,Image 1,2,1,100000001,510000001494,
821,,Segment,3,1,Image 1,1,1,100000001,510000001506,
197,,Segment,3,0,Image 1,1,1,100000001,510000001511,
746,,Segment,3,1,Image 1,2,1,100000000,510000001537,
1138,,Segment,3,0,Image 1,1,1,100000001,510000001597,
746,,Segment,3,0,Image 1,1,1,100000001,510000001643,
1201,,Segment,3,0,Image 1,1,1,100000001,510000001700,
646,,Segment,3,1,Image 1,2,1,100000000,510000001713,
806,,Segment,3,1,Image 1,2,1,100000001,510000001729,
305,,Segment,3,1,Image 1,1,1,100000001,510000001737,
295,,Segment,3,2,Image 1,2,1,100000001,510000001755,
49,,Segment,3,0,Image 1,1,1,100000001,510000001785,
279,,Segment,3,2,Image 1,1,1,100000001,510000001789,
29,,Segment,3,0,Image 1,1,1,100000000,510000001797,
271,,Segment,3,1,Image 1,1,1,100000001,510000001799,
15,,Segment,3,0,Image 1,1,1,100000001,510000001806,
411,,Segment,3,0,Image 1,1,1,100000001,510000001819,
67,,Segment,3,3,Image 1,2,1,100000000,510000001832,
45,,Segment,3,2,Image 1,2,1,100000001,510000001834,
