
Spine Part Max Diameter Ground
 ==================== 
Spine Part Max Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.49022,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000001938,
0.955203,µm,Spine,Spine Part Max Diameter,3,1,1,100000000,610000001940,
0.981941,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000001949,
0.981941,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000001956,
0.578166,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000001967,
1.79146,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000001974,
0.463053,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000001984,
1.49341,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000001990,
0.905902,µm,Spine,Spine Part Max Diameter,5,3,1,100000000,610000001995,
1.04167,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000001998,
0.416667,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002005,
0.416667,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002013,
0.416667,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002019,
0.64825,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002026,
0.416667,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002032,
0.578166,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002040,
0.879809,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000002044,
0.980231,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000002059,
0.416667,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002065,
2.0955,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002071,
0.987516,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000002075,
0.54224,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002081,
0.416667,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002085,
0.416667,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002090,
0.73175,µm,Spine,Spine Part Max Diameter,5,3,1,100000000,610000002093,
1.45437,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002101,
0.980231,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000002112,
1.26465,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000002116,
1.00767,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000002121,
0.845064,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002124,
0.980697,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000002127,
0.787826,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000002131,
1.09788,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000002134,
0.70638,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000002137,
1.86676,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000002142,
0.416667,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002146,
0.578166,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002149,
1.90689,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002152,
1.21006,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000002154,
0.65335,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000002156,
0.742188,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000002158,
1.24984,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000002161,
0.982609,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000002165,
0.981941,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002168,
0.416667,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002171,
1.29063,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000002173,
1.14866,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000002175,
1.59686,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000002178,
0.708822,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002182,
0.92568,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002184,
2.23259,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000002187,
1.68755,µm,Spine,Spine Part Max Diameter,2,1,1,100000000,610000002191,
0.543902,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002194,
1.60482,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000002197,
0.416667,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002199,
0.980231,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000002205,
0.771484,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000002212,
1.08801,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002217,
0.771004,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002246,
1.56639,µm,Spine,Spine Part Max Diameter,2,1,1,100000000,610000002247,
1.56639,µm,Spine,Spine Part Max Diameter,2,1,1,100000000,610000002248,
1.92654,µm,Spine,Spine Part Max Diameter,1,2,1,100000000,610000002249,
0.574451,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002250,
1.02956,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002251,
0.628621,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002252,
0.625,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002253,
0.829356,µm,Spine,Spine Part Max Diameter,6,3,1,100000000,610000002254,
1.14315,µm,Spine,Spine Part Max Diameter,6,1,1,100000000,610000002255,
0.73175,µm,Spine,Spine Part Max Diameter,5,3,1,100000000,610000002256,
1.21006,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000002257,
1.08801,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002258,
1.28674,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002259,
0.502959,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000002260,
1.80743,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000002265,
1.20467,µm,Spine,Spine Part Max Diameter,2,1,1,100000001,610000002266,
0.928103,µm,Spine,Spine Part Max Diameter,2,3,1,100000001,610000002271,
