
Spine Part Volume Ground
 ==================== 
Spine Part Volume Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.293549,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001938,
0.407676,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000001940,
1.73969,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001949,
1.57991,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001956,
0.376688,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001967,
2.0856,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001974,
0.229252,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001984,
2.0248,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001990,
0.733231,µm^3,Spine,Spine Part Volume,5,3,1,100000000,610000001995,
1.02827,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001998,
0.217978,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002005,
0.172177,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002013,
0.178775,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002019,
0.200725,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002026,
0.163042,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002032,
0.381956,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002040,
0.615831,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002044,
0.846828,µm^3,Spine,Spine Part Volume,2,2,1,100000001,610000002059,
0.178449,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002065,
2.54116,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002071,
0.92186,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002075,
0.281063,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002081,
0.190958,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002085,
0.200448,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002090,
0.486353,µm^3,Spine,Spine Part Volume,5,3,1,100000000,610000002093,
1.84379,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002101,
0.738023,µm^3,Spine,Spine Part Volume,2,2,1,100000001,610000002112,
0.714282,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002116,
1.27537,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002121,
0.377216,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002124,
0.936274,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002127,
0.250612,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002131,
1.03701,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002134,
0.387011,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002137,
1.74126,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002142,
0.101951,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002146,
0.264826,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002149,
1.28785,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002152,
0.505982,µm^3,Spine,Spine Part Volume,3,2,1,100000000,610000002154,
0.248017,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002156,
0.307092,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002158,
1.36516,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002161,
0.608178,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002165,
1.57773,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002168,
0.127938,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002171,
1.26658,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002173,
0.866569,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002175,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002178,
0.287698,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002182,
0.974385,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002184,
1.84771,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002187,
1.73345,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000002191,
0.0890723,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002194,
1.88718,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002197,
0.0791768,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002199,
0.69355,µm^3,Spine,Spine Part Volume,2,2,1,100000001,610000002205,
0.317336,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002212,
1.12954,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002217,
0.274067,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002246,
1.25836,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000002247,
1.92928,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000002248,
1.41778,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000002249,
0.195054,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002250,
0.298666,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002251,
0.286286,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002252,
0.444173,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002253,
0.744498,µm^3,Spine,Spine Part Volume,6,3,1,100000000,610000002254,
0.186678,µm^3,Spine,Spine Part Volume,6,1,1,100000000,610000002255,
0.269947,µm^3,Spine,Spine Part Volume,5,3,1,100000000,610000002256,
0.252619,µm^3,Spine,Spine Part Volume,3,2,1,100000000,610000002257,
0.913126,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002258,
1.68821,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002259,
0.21734,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002260,
0.55498,µm^3,Spine,Spine Part Volume,2,2,1,100000001,610000002265,
1.1349,µm^3,Spine,Spine Part Volume,2,1,1,100000001,610000002266,
0.274956,µm^3,Spine,Spine Part Volume,2,3,1,100000001,610000002271,
2.35382,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002276,
1.97675,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002277,
0.819196,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002278,
0.700598,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002284,
0.566023,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002285,
0.85421,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002286,
3.39281,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002291,
