
Segment Position
 ==================== 
Segment Position X,Segment Position Y,Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-18460.6,24324.1,1521.02,µm,Segment,Segment Position,0,1,1,100000003,510000000258,
-18542.8,24325.2,1517.55,µm,Segment,Segment Position,0,1,1,100000000,510000000510,
-18461,24333.1,1514.81,µm,Segment,Segment Position,0,1,1,100000003,510000000580,
-18458,24263.9,1508.58,µm,Segment,Segment Position,0,1,1,100000002,510000000801,
-18463.1,24254.7,1508.26,µm,Segment,Segment Position,0,1,1,100000002,510000000935,
-18508.3,24283.7,1514.96,µm,Segment,Segment Position,0,1,1,100000001,510000001377,
-18509.6,24271.3,1518.54,µm,Segment,Segment Position,0,1,1,100000001,510000001858,
-18469.7,24329.6,1515.24,µm,Segment,Segment Position,0,1,1,100000003,510000002005,
-18457,24329.3,1518.16,µm,Segment,Segment Position,0,1,1,100000003,510000002110,
-18540.6,24322.3,1506.25,µm,Segment,Segment Position,0,1,1,100000000,510000002214,
-18472.2,24321.6,1516.37,µm,Segment,Segment Position,0,1,1,100000003,510000002371,
-18470.1,24326.9,1518.02,µm,Segment,Segment Position,0,1,1,100000003,510000002566,
-18518.2,24274.6,1518.86,µm,Segment,Segment Position,0,1,1,100000001,510000002635,
-18514.9,24279.3,1513.73,µm,Segment,Segment Position,0,1,1,100000001,510000002859,
-18507.3,24275.5,1517.46,µm,Segment,Segment Position,0,1,1,100000001,510000003227,
-18506.7,24278.8,1514.77,µm,Segment,Segment Position,0,1,1,100000001,510000003276,
-18516.5,24265.9,1523.46,µm,Segment,Segment Position,0,1,1,100000001,510000003494,
-18514.6,24280.3,1519.28,µm,Segment,Segment Position,0,1,1,100000001,510000003515,
-18455.5,24251.7,1505.67,µm,Segment,Segment Position,0,1,1,100000002,510000004029,
-18461.3,24335.2,1521.81,µm,Segment,Segment Position,0,1,1,100000003,510000004158,
-18451.7,24258.7,1505.23,µm,Segment,Segment Position,0,1,1,100000002,510000004192,
-18518.2,24279.2,1522.2,µm,Segment,Segment Position,0,1,1,100000001,510000004254,
-18508.5,24274.3,1514.33,µm,Segment,Segment Position,0,1,1,100000001,510000004275,
-18458.7,24256.8,1504.23,µm,Segment,Segment Position,0,1,1,100000002,510000004285,
-18543.6,24326.6,1506.86,µm,Segment,Segment Position,0,1,1,100000000,510000004290,
-18510.4,24274.6,1513.53,µm,Segment,Segment Position,0,1,1,100000001,510000004310,
-18459.4,24321.9,1522.41,µm,Segment,Segment Position,1,1,1,100000003,510000000220,
-18458.4,24335.3,1512.45,µm,Segment,Segment Position,1,1,1,100000003,510000000567,
-18452.1,24269.2,1512.83,µm,Segment,Segment Position,1,1,1,100000002,510000000752,
-18474.3,24256.5,1522.09,µm,Segment,Segment Position,1,1,1,100000002,510000000889,
-18506.4,24288.5,1511.57,µm,Segment,Segment Position,1,1,1,100000001,510000001317,
-18544.6,24329.6,1522.42,µm,Segment,Segment Position,1,1,1,100000000,510000002917,
-18443.9,24327.1,1516.73,µm,Segment,Segment Position,1,1,1,100000003,510000003112,
-18478.4,24317.7,1516.22,µm,Segment,Segment Position,1,1,1,100000003,510000003131,
-18503.1,24282.1,1516.27,µm,Segment,Segment Position,1,1,1,100000001,510000003290,
-18522.5,24272.6,1520.1,µm,Segment,Segment Position,1,1,1,100000001,510000003410,
