
Spine Center Intensity Mean Ch=5 Img=1
 ==================== 
Spine Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
6,,Spine,5,4,Image 1,3,1,100000001,610000008017,
3.23529,,Spine,5,4,Image 1,3,1,100000001,610000008033,
12.0625,,Spine,5,3,Image 1,2,1,100000000,610000008048,
17,,Spine,5,3,Image 1,3,1,100000002,610000008059,
11.3,,Spine,5,3,Image 1,3,1,100000002,610000008068,
9.625,,Spine,5,3,Image 1,3,1,100000002,610000008075,
6.75,,Spine,5,2,Image 1,1,1,100000000,610000008086,
20.75,,Spine,5,5,Image 1,3,1,100000003,610000008093,
18.3333,,Spine,5,5,Image 1,2,1,100000003,610000008101,
0,,Spine,5,9,Image 1,4,1,100000003,610000008103,
33,,Spine,5,1,Image 1,1,1,100000002,610000008108,
24.8,,Spine,5,6,Image 1,1,1,100000003,610000008113,
21,,Spine,5,1,Image 1,1,1,100000001,610000008116,
8.66667,,Spine,5,3,Image 1,3,1,100000002,610000008121,
3.8,,Spine,5,3,Image 1,3,1,100000002,610000008125,
48,,Spine,5,4,Image 1,3,1,100000003,610000008132,
32.3333,,Spine,5,1,Image 1,1,1,100000001,610000008140,
33.6,,Spine,5,13,Image 1,6,1,100000001,610000008144,
26.5,,Spine,5,13,Image 1,6,1,100000001,610000008147,
29.625,,Spine,5,2,Image 1,1,1,100000000,610000008154,
32,,Spine,5,1,Image 1,1,1,100000002,610000008158,
27,,Spine,5,12,Image 1,6,1,100000003,610000008162,
40.4286,,Spine,5,2,Image 1,1,1,100000000,610000008168,
33,,Spine,5,2,Image 1,1,1,100000000,610000008173,
55.1429,,Spine,5,4,Image 1,3,1,100000000,610000008186,
38,,Spine,5,2,Image 1,1,1,100000000,610000008192,
37.4,,Spine,5,2,Image 1,1,1,100000000,610000008197,
16,,Spine,5,2,Image 1,1,1,100000000,610000008201,
37.8,,Spine,5,2,Image 1,1,1,100000000,610000008205,
59.8571,,Spine,5,9,Image 1,3,1,100000001,610000008218,
38.1667,,Spine,5,0,Image 1,1,1,100000000,610000008223,
57.6364,,Spine,5,9,Image 1,3,1,100000001,610000008233,
25.3333,,Spine,5,0,Image 1,1,1,100000000,610000008238,
59.8462,,Spine,5,9,Image 1,3,1,100000001,610000008250,
13.2,,Spine,5,14,Image 1,6,1,100000003,610000008254,
50.3333,,Spine,5,4,Image 1,2,1,100000003,610000008259,
49.8,,Spine,5,9,Image 1,3,1,100000001,610000008268,
37.6667,,Spine,5,12,Image 1,4,1,100000001,610000008273,
24,,Spine,5,0,Image 1,1,1,100000000,610000008276,
51.1667,,Spine,5,12,Image 1,4,1,100000001,610000008281,
32.75,,Spine,5,4,Image 1,2,1,100000000,610000008284,
38,,Spine,5,2,Image 1,3,1,100000000,610000008286,
52.8333,,Spine,5,5,Image 1,2,1,100000003,610000008291,
51,,Spine,5,10,Image 1,2,1,100000003,610000008298,
40.5,,Spine,5,5,Image 1,2,1,100000003,610000008303,
29.6667,,Spine,5,10,Image 1,2,1,100000001,610000008305,
43.1429,,Spine,5,10,Image 1,2,1,100000003,610000008311,
0,,Spine,5,8,Image 1,3,1,100000003,610000008319,
