
Segment Center Intensity Min Ch=5 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,5,1,Image 1,2,1,100000000,510000000132,
71,,Segment,5,0,Image 1,1,1,100000000,510000000157,
0,,Segment,5,7,Image 1,7,1,100000003,510000000178,
0,,Segment,5,6,Image 1,6,1,100000003,510000000227,
23,,Segment,5,5,Image 1,5,1,100000003,510000000236,
0,,Segment,5,4,Image 1,5,1,100000003,510000000333,
0,,Segment,5,3,Image 1,4,1,100000003,510000000395,
9,,Segment,5,2,Image 1,3,1,100000003,510000000428,
0,,Segment,5,1,Image 1,2,1,100000003,510000000437,
64,,Segment,5,0,Image 1,1,1,100000003,510000000440,
0,,Segment,5,5,Image 1,2,1,100000001,510000000558,
0,,Segment,5,4,Image 1,2,1,100000001,510000000625,
37,,Segment,5,3,Image 1,2,1,100000001,510000000645,
25,,Segment,5,2,Image 1,2,1,100000001,510000000654,
33,,Segment,5,1,Image 1,2,1,100000001,510000000673,
46,,Segment,5,0,Image 1,1,1,100000001,510000000682,
0,,Segment,5,7,Image 1,4,1,100000001,510000000707,
0,,Segment,5,6,Image 1,4,1,100000001,510000000733,
18,,Segment,5,5,Image 1,3,1,100000001,510000000758,
43,,Segment,5,7,Image 1,5,1,100000001,510000000767,
33,,Segment,5,6,Image 1,3,1,100000001,510000000772,
0,,Segment,5,2,Image 1,2,1,100000003,510000000963,
17,,Segment,5,1,Image 1,1,1,100000003,510000000977,
0,,Segment,5,7,Image 1,6,1,100000003,510000000991,
13,,Segment,5,3,Image 1,3,1,100000000,510000001000,
0,,Segment,5,2,Image 1,3,1,100000000,510000001198,
85,,Segment,5,1,Image 1,2,1,100000000,510000001202,
62,,Segment,5,0,Image 1,1,1,100000000,510000001215,
30,,Segment,5,3,Image 1,4,1,100000000,510000001218,
0,,Segment,5,4,Image 1,3,1,100000000,510000001232,
38,,Segment,5,3,Image 1,2,1,100000000,510000001271,
54,,Segment,5,2,Image 1,1,1,100000000,510000001277,
60,,Segment,5,1,Image 1,1,1,100000000,510000001283,
14,,Segment,5,0,Image 1,1,1,100000000,510000001302,
0,,Segment,5,6,Image 1,5,1,100000003,510000001316,
0,,Segment,5,5,Image 1,6,1,100000003,510000001336,
0,,Segment,5,7,Image 1,3,1,100000002,510000001378,
54,,Segment,5,6,Image 1,2,1,100000002,510000001392,
53,,Segment,5,5,Image 1,2,1,100000002,510000001408,
60,,Segment,5,3,Image 1,2,1,100000002,510000001411,
37,,Segment,5,2,Image 1,2,1,100000002,510000001432,
37,,Segment,5,1,Image 1,1,1,100000002,510000001441,
0,,Segment,5,0,Image 1,1,1,100000002,510000001466,
0,,Segment,5,3,Image 1,4,1,100000001,510000001501,
0,,Segment,5,5,Image 1,3,1,100000000,510000001529,
68,,Segment,5,4,Image 1,2,1,100000000,510000001536,
0,,Segment,5,4,Image 1,3,1,100000002,510000001562,
