
Segment Intensity Mean Ch=5 Img=1
 ==================== 
Segment Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
39.0184,,Segment,5,1,Image 1,2,1,100000000,510000000132,
70.5336,,Segment,5,0,Image 1,1,1,100000000,510000000157,
23.5797,,Segment,5,7,Image 1,7,1,100000003,510000000178,
25.0474,,Segment,5,6,Image 1,6,1,100000003,510000000227,
29.4595,,Segment,5,5,Image 1,5,1,100000003,510000000236,
23.5112,,Segment,5,4,Image 1,5,1,100000003,510000000333,
25.6667,,Segment,5,3,Image 1,4,1,100000003,510000000395,
29.8224,,Segment,5,2,Image 1,3,1,100000003,510000000428,
37.1319,,Segment,5,1,Image 1,2,1,100000003,510000000437,
43.2007,,Segment,5,0,Image 1,1,1,100000003,510000000440,
31.7189,,Segment,5,5,Image 1,2,1,100000001,510000000558,
33.3477,,Segment,5,4,Image 1,2,1,100000001,510000000625,
35.9843,,Segment,5,3,Image 1,2,1,100000001,510000000645,
49.2207,,Segment,5,2,Image 1,2,1,100000001,510000000654,
53.9642,,Segment,5,1,Image 1,2,1,100000001,510000000673,
49.9677,,Segment,5,0,Image 1,1,1,100000001,510000000682,
35.4186,,Segment,5,7,Image 1,4,1,100000001,510000000707,
28.7436,,Segment,5,6,Image 1,4,1,100000001,510000000733,
39.6627,,Segment,5,5,Image 1,3,1,100000001,510000000758,
37.77,,Segment,5,7,Image 1,5,1,100000001,510000000767,
27.0476,,Segment,5,6,Image 1,3,1,100000001,510000000772,
14.1381,,Segment,5,2,Image 1,2,1,100000003,510000000963,
44.047,,Segment,5,1,Image 1,1,1,100000003,510000000977,
25.5087,,Segment,5,7,Image 1,6,1,100000003,510000000991,
30.3673,,Segment,5,3,Image 1,3,1,100000000,510000001000,
29.1959,,Segment,5,2,Image 1,3,1,100000000,510000001198,
72.5623,,Segment,5,1,Image 1,2,1,100000000,510000001202,
78.8033,,Segment,5,0,Image 1,1,1,100000000,510000001215,
24.2435,,Segment,5,3,Image 1,4,1,100000000,510000001218,
46.4396,,Segment,5,4,Image 1,3,1,100000000,510000001232,
64.7529,,Segment,5,3,Image 1,2,1,100000000,510000001271,
67.3466,,Segment,5,2,Image 1,1,1,100000000,510000001277,
60.7948,,Segment,5,1,Image 1,1,1,100000000,510000001283,
51.9355,,Segment,5,0,Image 1,1,1,100000000,510000001302,
25.548,,Segment,5,6,Image 1,5,1,100000003,510000001316,
25.1302,,Segment,5,5,Image 1,6,1,100000003,510000001336,
27.9465,,Segment,5,7,Image 1,3,1,100000002,510000001378,
48.0562,,Segment,5,6,Image 1,2,1,100000002,510000001392,
46.3492,,Segment,5,5,Image 1,2,1,100000002,510000001408,
54.5036,,Segment,5,3,Image 1,2,1,100000002,510000001411,
40.0241,,Segment,5,2,Image 1,2,1,100000002,510000001432,
45.4236,,Segment,5,1,Image 1,1,1,100000002,510000001441,
32.5777,,Segment,5,0,Image 1,1,1,100000002,510000001466,
14.2445,,Segment,5,3,Image 1,4,1,100000001,510000001501,
57.7736,,Segment,5,5,Image 1,3,1,100000000,510000001529,
69.0888,,Segment,5,4,Image 1,2,1,100000000,510000001536,
29.2857,,Segment,5,4,Image 1,3,1,100000002,510000001562,
38.7303,,Segment,5,3,Image 1,2,1,100000002,510000001607,
50.02,,Segment,5,2,Image 1,2,1,100000002,510000001611,
47.5322,,Segment,5,1,Image 1,2,1,100000002,510000001629,
44.8256,,Segment,5,0,Image 1,1,1,100000002,510000001644,
28.9551,,Segment,5,4,Image 1,3,1,100000003,510000001688,
23.8696,,Segment,5,3,Image 1,2,1,100000003,510000001741,
40.5119,,Segment,5,2,Image 1,1,1,100000003,510000001760,
32.527,,Segment,5,7,Image 1,2,1,100000001,510000001794,
37.9134,,Segment,5,6,Image 1,1,1,100000001,510000001829,
35.4292,,Segment,5,5,Image 1,1,1,100000001,510000001868,
54.033,,Segment,5,4,Image 1,1,1,100000001,510000001875,
47.2109,,Segment,5,3,Image 1,1,1,100000001,510000001898,
41.669,,Segment,5,2,Image 1,1,1,100000001,510000001906,
59.2222,,Segment,5,1,Image 1,1,1,100000001,510000001912,
32.9085,,Segment,5,4,Image 1,4,1,100000003,510000001936,
18.5566,,Segment,5,3,Image 1,3,1,100000003,510000001961,
